ID,Level,Card,Class,Properties,ISO 21377,XBRL-GL
GL03-GL04-CC05_CC24-02,4,0..1,Amount_ Monetary Amounts,Functional Currency Code,/AdcGlDetails /GlDtls /TrAmt /FuncCurCd,//gl-muc:amountCurrency
GL03-GL04-CC05_CC24-03,4,0..1,Amount_ Monetary Amounts,Transaction Amount,/AdcGlDetails /GlDtls /TrAmt /TrAmt,//gl-adc:amountTransactionAmount
GL03-GL04-CC05_CC24-04,4,0..1,Amount_ Monetary Amounts,Transaction Currency Code,/AdcGlDetails /GlDtls /TrAmt /TrCurCd,//gl-adc:amountTransactionCurrency
GL03-GL04-CC05_CC24-05,4,0..1,Amount_ Monetary Amounts,Reporting Amount,/AdcGlDetails /GlDtls /TrAmt /RprtAmt, //gl-cor:amountTriangulationAmount
GL03-GL04-CC05_CC24-06,4,0..1,Amount_ Monetary Amounts,Reporting Currency Code,/AdcGlDetails /GlDtls /TrAmt /RprtCurCd,//gl-muc:amountTriangulationCurrency
GL03-GL04-CC05_CC24-07,4,0..1,Amount_ Monetary Amounts,Local Amount,/AdcGlDetails /GlDtls /TrAmt /LocAmt,//gl-muc:amountOriginalAmount
GL03-GL04-CC05_CC24-08,4,0..1,Amount_ Monetary Amounts,Local Currency Code,/AdcGlDetails /GlDtls /TrAmt /LocCurCd,//gl-muc:amountOriginalCurrency
GL03-GL04-CC06_CC02,3,0..1,Approved_ Activity,,/AdcGlDetails /GlDtls /Aprv,
GL03-GL04-CC06_CC02-01,4,0..1,Approved_ Activity,User ID,/AdcGlDetails /GlDtls /Aprv /UserId,//gl-cor:entryResponsiblePerson
GL03-GL04-CC06_CC02-02,4,0..1,Approved_ Activity,Date,/AdcGlDetails /GlDtls /Aprv /Dt,//gl-usk:nextDateRepeat 
GL03-GL04-CC06_CC02-03,4,0..1,Approved_ Activity,Time,/AdcGlDetails /GlDtls /Aprv /Tm,
GL03-GL04-CC15_CC02,3,0..1,Created_ Activity,,/AdcGlDetails /GlDtls /Crea,
GL03-GL04-CC15_CC02-01,4,0..1,Created_ Activity,User ID,/AdcGlDetails /GlDtls /Crea /UserId,//gl-cor:enteredBy  
GL03-GL04-CC15_CC02-02,4,0..1,Created_ Activity,Date,/AdcGlDetails /GlDtls /Crea /Dt,//gl-cor:enteredDate 
GL03-GL04-CC15_CC02-03,4,0..1,Created_ Activity,Time,/AdcGlDetails /GlDtls /Crea /Tm,
GL03-GL04-CC28_CC02,3,0..1,Posted_ Activity,,/AdcGlDetails /GlDtls /Posted,
GL03-GL04-CC28_CC02-01,4,0..1,Posted_ Activity,User ID,/AdcGlDetails /GlDtls /Posted /UserId,//gl-adc:postedBy
GL03-GL04-GL02,3,0..*,Account Segment,,/AdcGlDetails /GlDtls /AcntSg,
GL03-GL04-GL02-01,4,1..1,Account Segment,,/AdcGlDetails /GlDtls /AcntSg,
GL03-GL04-GL02-02,4,0..1,Account Segment,GL Account Number,,//gl-cor:accountSubID
GL03-GL04-GL02-03,4,1..1,Account Segment,Account Segment Number,/AdcGlDetails /GlDtls /AcntSg /AcntSgNr,//gl-cor:accountSubType
GL03-GL04-GL02-04,4,0..1,Account Segment,Account Segment Name,,
GL03-GL04-GL02-05,4,0..1,Account Segment,Corresponding File,,//gl-cor:accountSubDescription
GL03-GL04-GL02-06,4,0..1,Account Segment,Account Segment Description,,
GL03-GL04-BS04,3,__,Business Segment,,/AdcGlDetails /GlDtls /BusSg,
GL03-GL04-BS04-01,4,1..1,Business Segment,Business Segment Code,/AdcGlDetails /GlDtls /BusSg /BusSgCd,//gl-cor:accountSubID
GL03-GL04-BS04-02,4,0..1,Business Segment,Business Segment Name,,//gl-cor:accountSubDescription
GL03-GL04-BS04-03,4,0..1,Business Segment,Segment Reference Level,,
GL03-GL04-BS04-04,4,0..1,Business Segment,Organization Type Name,,//gl-cor:accountSubType
