semSort,id,card,semPath,businessTerm,dataType,SMESemSort,syntaxID,businessTerm_en,desc,businessTerm_ja,desc_ja,Syntax Sort,UBL syntax binding XPath,Card_consolidated,
1270,JC0a_13,,/JC00/JC0a/JC0a_13,バージョンID,Code,27,UN01005478,IssueDateTime,"The date, time, date time or other date time value of issue of this CI document version.",バージョンID,ドメインのバージョン識別番号,27,/ SMEInvoice/ CIExchangedDocumentContext/ SubsetSpecifiedCIDocumentContextParameter/ SpecifiedCIDocumentVersion/ ID,0..1,
1280,JC0a_14,,/JC00/JC0a/JC0a_14,バージョン発行日,Date,28,UN01005861,CIIHExchangedDocument,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",バージョン発行日,ドメインのバージョン発行日,28,/ SMEInvoice/ CIExchangedDocumentContext/ SubsetSpecifiedCIDocumentContextParameter/ SpecifiedCIDocumentVersion/ IssueDateTime,0..1,
1290,,,,,,29,UN01005862,ID,The unique identifier of this CIIH exchanged document.,インボイス文書クラス,インボイス文書に関する情報項目のクラス,29,/ SMEInvoice/ CIIHExchangedDocument,1..1,
1300,JC0a_15,,/JC00/JC0a/JC0a_15,インボイスID,Identifier,30,UN01005863,Name,"A name, expressed as text, of this CIIH exchanged document.",インボイス文書ID,インボイス文書を識別する文書ID,30,/ SMEInvoice/ CIIHExchangedDocument/ ID,1..1,
1310,JC0a_16,,/JC00/JC0a/JC0a_16,インボイス名,Text,31,UN01005864,TypeCode,The code specifying the type of CIIH exchanged document.,インボイス文書名,インボイス文書の文書名称,31,/ SMEInvoice/ CIIHExchangedDocument/ Name,0..1,
1320,JC0a_17,,/JC00/JC0a/JC0a_17,インボイスタイプコード,Code,32,UN01005865,IssueDateTime,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「統合請求書」",32,/ SMEInvoice/ CIIHExchangedDocument/ TypeCode,0..1,
1330,JC0a_18,,/JC00/JC0a/JC0a_18,インボイス発効日,Date,33,UN01005869,PurposeCode,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,33,/ SMEInvoice/ CIIHExchangedDocument/ IssueDateTime,1..1,
1340,JC0a_19,,/JC00/JC0a/JC0a_19,インボイス目的コード,Code,34,UN01005874,PreviousRevisionID,The unique identifier of the previous revision of this CIIH exchanged document.,インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,34,/ SMEInvoice/ CIIHExchangedDocument/ PurposeCode,0..1,
1350,JC0a_20,,/JC00/JC0a/JC0a_20,インボイス履歴ID,Code,35,UN01005875,CategoryCode,The code specifying the category for this CIIH exchanged document.,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID,35,/ SMEInvoice/ CIIHExchangedDocument/ PreviousRevisionID,0..1,
1360,JC0a_21,,/JC00/JC0a/JC0a_21,インボイス類型コード,Code,36,UN01014636,SubtypeCode,The code specifying the subtype of this CIIH exchanged document.,インボイス文書類型コード,"インボイス文書の類型（単一文書日本円取引、単一文書外貨建て取引、統合文書日本円取引等）を識別するコード
デフォルトは「統合文書日本円取引」",36,/ SMEInvoice/ CIIHExchangedDocument/ CategoryCode,0..1,
1370,JC0a_22,,/JC00/JC0a/JC0a_22,インボイスサブタイプコード,Code,37,UN01005876,IncludedCINote,A note included in this CIIH exchanged document.,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",37,/ SMEInvoice/ CIIHExchangedDocument/ SubtypeCode,0..1,
1380,JC30_JC10,n,/JC00/JC30_JC10,ヘッダ注釈,Code,38,UN01005557,CINote,"A textual or coded Cross Industry (CI) description, such as a remark or additional information.",インボイス文書／注釈グループ,インボイス文書に含まれる注釈。,38,/ SMEInvoice/ CIIHExchangedDocument/ IncludedCINote,0..n,
1390,,,,,,39,UN01005558,Subject,"The subject, expressed as text, of this CI note.",インボイス文書注釈クラス,インボイス文書の注釈を記述するためのクラス,39,, -,
1400,JC30_JC10_01,,/JC00/JC30_JC10/JC30_JC10_01,ヘッダ注釈表題,Code,40,UN01005560,Content,"Content, expressed as text, of this CI note.",インボイス文書注釈表題,注釈内容の表題を示す。,40,/ SMEInvoice/ CIIHExchangedDocument/ IncludedCINote/ Subject,0..1,
1410,JC30_JC10_02,,/JC00/JC30_JC10/JC30_JC10_02,ヘッダ注釈内容,Code,41,UN01005562,ID,The unique identifier for this CI note.,インボイス文書注釈内容,注釈項目毎の内容情報を入力するフリースペース。,41,/ SMEInvoice/ CIIHExchangedDocument/ IncludedCINote/ Content,0..1,
1420,JC30_JC10_03,,/JC00/JC30_JC10/JC30_JC10_03,ヘッダ注釈ID,Code,42,UN01012702,ReferenceCIReferencedDocument,Other documents referenced by this CIIH exchanged document.,インボイス文書注釈ID,注釈の識別ID,42,/ SMEInvoice/ CIIHExchangedDocument/ IncludedCINote/ ID,0..1,
1430,JC72_JC13,n,/JC00/JC72_JC13,ヘッダ参照文書,Code,43,UN01005579,CIReferencedDocument,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,43,/ SMEInvoice/ CIIHExchangedDocument/ ReferenceCIReferencedDocument,0..n,
1440,,,,,,44,UN01005580,IssuerAssignedID,The issuer assigned identifier for this CI referenced document.,（鑑ヘッダ参照）文書クラス,インボイス文書が参照する文書クラス,44,,－,
1450,JC72_JC13_01,,/JC00/JC72_JC13/JC72_JC13_01,文書ID,Code,45,UN01005581,URIID,The unique Uniform Resource Identifier (URI) for this CI referenced document.,（鑑ヘッダ参照）文書ID,インボイス文書が参照する参照文書のID,45,/ SMEInvoice/ CIIHExchangedDocument/ ReferenceCIReferencedDocument/ IssuerAssignedID,1..1,
1460,JC72_JC13_02,,/JC00/JC72_JC13/JC72_JC13_02,文書URL_ID,Code,46,UN01005582,IssueDateTime,The date or date time for the issuance of this CI referenced document.,（鑑ヘッダ参照）文書URL_ID,インボイス文書が参照する文書が所在するURL_ID,46,/ SMEInvoice/ CIIHExchangedDocument/ ReferenceCIReferencedDocument/ URIID,0..1,
1470,JC72_JC13_03,,/JC00/JC72_JC13/JC72_JC13_03,文書発行日,Code,47,UN01005586,ReferenceTypeCode,The code specifying the reference type of this CI referenced document.,（鑑ヘッダ参照）文書発行日,インボイス文書が参照する参照文書の発行日,47,/ SMEInvoice/ CIIHExchangedDocument/ ReferenceCIReferencedDocument/ IssueDateTime,0..1,
1480,JC72_JC13_04,,/JC00/JC72_JC13/JC72_JC13_04,文書参照タイプコード,Code,48,UN01005588,RevisionID,The unique identifier for a revision of this CI referenced document.,（鑑ヘッダ参照）文書参照タイプコード,この調整で参照するインボイス文書の参照タイプを指定するコード　,48,/ SMEInvoice/ CIIHExchangedDocument/ ReferenceCIReferencedDocument/ ReferenceTypeCode,0..1,
1490,JC72_JC13_05,,/JC00/JC72_JC13/JC72_JC13_05,文書履歴ID,Code,49,UN01006415,Information,"Information, expressed as text, for this CI referenced document.",（鑑ヘッダ参照）文書履歴ID,インボイス文書が参照する文書の変更履歴を管理するID。,49,/ SMEInvoice/ CIIHExchangedDocument/ ReferenceCIReferencedDocument/ RevisionID,0..1,
1500,JC72_JC13_06,,/JC00/JC72_JC13/JC72_JC13_06,文書情報,Code,50,UN01009672,TypeCode,The code specifying the type of CI referenced document.,（鑑ヘッダ参照）文書情報,インボイス文書が参照する参照文書に記載の情報,50,/ SMEInvoice/ CIIHExchangedDocument/ ReferenceCIReferencedDocument/ Information,0..1,
1510,JC72_JC13_07,,/JC00/JC72_JC13/JC72_JC13_07,文書タイプコード,Code,51,UN01011455,AttachmentBinaryObject,A binary object that is attached or otherwise appended to this CI referenced document.,（鑑ヘッダ参照）文書タイプコード,インボイス文書が参照する参照文書の文書タイプを識別するコード,51,/ SMEInvoice/ CIIHExchangedDocument/ ReferenceCIReferencedDocument/ TypeCode,0..1,
1520,JC72_JC13_08,,/JC00/JC72_JC13/JC72_JC13_08,文書添付ファイル,Code,52,UN01014899,SubtypeCode,A code specifying a subtype of this CI referenced document.,（鑑ヘッダ参照）文書添付ファイル,"この文書ヘッダ参照文書の添付バイナリファイルの有無を指定
ありの場合はUN01006015のバイナリファイルID（BASE64）を入力",52,/ SMEInvoice/ CIIHExchangedDocument/ ReferenceCIReferencedDocument/ AttachmentBinaryObject,0..1,
1530,JC72_JC13_09,,/JC00/JC72_JC13/JC72_JC13_09,文書サブタイプコード,Code,53,UN01015490,AttachedSpecifiedBinaryFile,A binary file attached to this CIIH exchanged document.,（鑑ヘッダ参照）文書サブタイプコード,インボイス文書が参照する参照文書の文書サブタイプを識別するコード,53,/ SMEInvoice/ CIIHExchangedDocument/ ReferenceCIReferencedDocument/ SubtypeCode,0..1,
1540,JC79_JC5d,n,/JC00/JC79_JC5d,ヘッダ添付ファイル,Binary object,54,UN01006014,SpecifiedBinaryFile,A specified computer file or program stored in a binary format.,付加文書／添付ファイルグループ,参照文書の添付バイナリファイルに関するグループ,54,/ SMEInvoice/ CIIHExchangedDocument/ AttachedSpecifiedBinaryFile,0..n,
1550,,,,,,55,UN01006015,ID,A unique identifier for this specified binary file.,添付バイナリファイルクラス,添付バイナリファイルを記述するためのクラス,55,,－,
1560,JC79_JC5d_01,,/JC00/JC79_JC5d/JC79_JC5d_01,添付バイナリファイルID,Code,56,UN01006019,FileName,"The file name, expressed as text, of this specified binary file.",添付バイナリファイルID,添付バイナリファイルのID,56,/ SMEInvoice/ CIIHExchangedDocument/ AttachedSpecifiedBinaryFile/ ID,1..1,
1570,JC79_JC5d_02,,/JC00/JC79_JC5d/JC79_JC5d_02,添付バイナリファイル名,Text,57,UN01006020,URIID,The unique Uniform Resource Identifier (URI) for this specified binary file.,添付バイナリファイル名,添付バイナリファイルの名称,57,/ SMEInvoice/ CIIHExchangedDocument/ AttachedSpecifiedBinaryFile/ FileName,0..1,
1580,JC79_JC5d_03,,/JC00/JC79_JC5d/JC79_JC5d_03,添付バイナリファイルURI ID,Text,58,UN01006021,MIMECode,The code specifying the Multipurpose Internet Mail Extensions (MIME) type for this specified binary file.,添付バイナリファイルURI ID,添付バイナリファイルの保管URIID,58,/ SMEInvoice/ CIIHExchangedDocument/ AttachedSpecifiedBinaryFile/ URIID,0..1,
1590,JC79_JC5d_04,,/JC00/JC79_JC5d/JC79_JC5d_04,添付バイナリファイルのMIMEコード,Code,59,UN01006026,Description,A textual description of this specified binary file.,添付バイナリファイルのMIMEコード,添付バイナリファイルのMIMEコード,59,/ SMEInvoice/ CIIHExchangedDocument/ AttachedSpecifiedBinaryFile/ MIMECode,1..1,
1600,JC79_JC5d_05,,/JC00/JC79_JC5d/JC79_JC5d_05,添付バイナリファイルの説明文,Text,60,UN01005936,CIIHSupplyChainTradeTransaction,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",添付バイナリファイルの説明文,添付バイナリファイルの説明文,60,/ SMEInvoice/ CIIHExchangedDocument/ AttachedSpecifiedBinaryFile/ Description,0..1,
1610,,,,,,61,UN01005937,ApplicableCIIHSupplyChainTradeAgreement,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.,インボイス文書取引内容クラス,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,61,/ SMEInvoice/ CIIHSupplyChainTradeTransaction,1..1,
1620,,,,,,62,,,,インボイス文書取引内容／契約グループ,インボイス文書取引に適用される契約に関するグループ。,62,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement,1..1,
1630,,,#N/A,買い手参照,Text,,UN01005878,CIIHSupplyChainTradeAgreement,The contractual terms of the supply chain trade agreement for this Cross Industry Invoice Header (CIIH).,,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ BuyerReference,,
1640,,,,,,63,UN01005879,SellerCITradeParty,The party that is the seller for this CIIH supply chain trade agreement.,インボイス文書契約クラス,インボイス文書に関する契約に関する情報からなるクラス。,63,,－,
1650,JC32_1_JC23,1,/JC00/JC32_1_JC23,売り手,,64,UN01005756,CITradeParty,"An individual, a group, or a body having a role in a Cross Industry (CI) trade business function.",インボイス文書契約／受注者グループ,受注者に関するグループ。,64,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty,1..1,
1660,,,,,,65,UN01005757,ID,A unique identifier of this CI trade party.,受注者クラス,受注者に関する情報からなるクラス。,65,,－,
1670,JC32_1_JC23_01,,/JC00/JC32_1_JC23/JC32_1_JC23_01,受注者ID,Identifier,66,,,,受注者ID,注文を受ける企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,66,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ ID,0..1,
1680,JC32_1_JC23_20,,#N/A,スキーマID,Code,,UN01005758,GlobalID,A globally unique identifier of this CI trade party.,,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ ID/ @schemeID,,
1690,JC32_1_JC23_02,,/JC00/JC32_1_JC23/JC32_1_JC23_02,受注者国際企業ID,Identifier,67,,,,受注者国際企業ID,企業を表す国際企業ID。ISO6523に登録された国際企業登録機関を属性で指定する。中小企業共通EDIでは法人IDの利用を推奨,67,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ GlobalID,0..1,
1700,JC32_1_JC23_21,,#N/A,スキーマID,Code,,UN01005759,Name,"The name, expressed as text, for this CI trade party.",,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ GlobalID/ @schemeID,,
1710,JC32_1_JC23_03,,/JC00/JC32_1_JC23/JC32_1_JC23_03,受注者名称,Text,68,UN01013039,RegisteredID,The registered identifier of this CI trade party.,受注者名称,注文を受ける企業/工場・事業所・事業部門等を表す名称。適格請求書、または区分記載請求書を発行する事業者名。,68,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ Name,0..1,
1720,JC32_1_JC23_04,,/JC00/JC32_1_JC23/JC32_1_JC23_04,適格請求書発行事業者登録番号,Identifier,69,UN01012925,TypeCode,A code specifying the type of CI trade party.,適格請求書発行事業者登録番号,"国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）
T1234567890123",69,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ RegisteredID,0..1,
1730,JC32_1_JC23_05,,/JC00/JC32_1_JC23/JC32_1_JC23_05,受注者タイプコード,Code,70,UN01005761,DefinedCITradeContact,A trade contact defined for this CI trade party.,受注者タイプコード,事業者のインボイス課税区分を識別するコード,70,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ TypeCode,0..1,
1740,,,,,,71,UN01005718,CITradeContact,A person or a department that acts as a point of contact with another person or department in a Cross Industry (CI) trading relationship.,受注者／連絡先グループ,受注者の連絡先に関するグループ,71,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact,0..1,
1750,,,,,,72,UN01005719,ID,The unique identifier for this CI trade contact.,受注者連絡先クラス,連絡先に関する情報からなるクラス。,72,,－,
1760,JC32_1_JC23_06,,/JC00/JC32_1_JC23/JC32_1_JC23_06,受注部門ID,Code,73,UN01005720,PersonName,"The name, expressed as text, of this CI trade contact person.",受注部門ID,受注者の受注部門を表すID。,73,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact/ ID,0..1,
1770,JC32_1_JC23_07,,/JC00/JC32_1_JC23/JC32_1_JC23_07,受注者担当名,Text,74,UN01005721,DepartmentName,"The name, expressed as text, of the department which is this CI trade contact.",受注者担当名,受注者連絡先の個人の、文字で表現された名前。,74,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact/ PersonName,0..1,
1780,JC32_1_JC23_08,,/JC00/JC32_1_JC23/JC32_1_JC23_08,受注者部門名,Text,75,UN01005725,PersonID,A unique identifier for this CI trade contact person.,受注者部門名,受注者の受注部門の名称。,75,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact/ DepartmentName,0..1,
1790,JC32_1_JC23_09,,/JC00/JC32_1_JC23/JC32_1_JC23_09,受注者担当ID,Code,76,UN01005726,TelephoneCIUniversalCommunication,The telephone communication information for this CI trade contact.,受注者担当ID,受注者個人を表すID,76,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact/ PersonID,0..1,
1800,,,,,,77,UN01005857,CIUniversalCommunication,The exchange of messages or information for Cross Industry (CI) purposes.,連絡先／電話情報グループ,連絡先の電話に関するグループ。,77,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact/ TelephoneCIUniversalCommunication,0..1,
1810,,,,,,78,UN01005860,CompleteNumber,The text string of characters that make up the complete number for this CI universal communication.,電話通信クラス,通信（電話）に関する情報からなるクラス。,78,,－,
1820,JC32_1_JC23_10,,/JC00/JC32_1_JC23/JC32_1_JC23_10,受注者電話番号,Text,79,UN01005729,FaxCIUniversalCommunication,The fax communication information for this CI trade contact.,受注者電話番号,受注者の電話番号。,79,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact/ TelephoneCIUniversalCommunication/ CompleteNumber,0..1,
1830,,,,,,80,UN01005857,CIUniversalCommunication,The exchange of messages or information for Cross Industry (CI) purposes.,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,80,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact/ FaxCIUniversalCommunication,0..1,
1840,,,,,,81,UN01005860,CompleteNumber,The text string of characters that make up the complete number for this CI universal communication.,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,81,,－,
1850,JC32_1_JC23_11,,/JC00/JC32_1_JC23/JC32_1_JC23_11,受注者FAX番号,Text,82,UN01005730,EmailURICIUniversalCommunication,The email URI communication information for this CI trade contact.,受注者FAX番号,受注者のFAX番号,82,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact/ FaxCIUniversalCommunication/ CompleteNumber,0..1,
1860,,,,,,83,UN01005857,CIUniversalCommunication,The exchange of messages or information for Cross Industry (CI) purposes.,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,83,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact/ EmailURICIUniversalCommunication,0..1,
1870,,,,,,84,UN01005858,URIID,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",電子メール通信クラス,通信（Email）に関する情報からなるクラス。,84,,－,
1880,JC32_1_JC23_12,,/JC00/JC32_1_JC23/JC32_1_JC23_12,受注者メールアドレス,Text,85,UN01005762,PostalCITradeAddress,The postal address for this CI trade party.,受注者メールアドレス,受注者の電子メールアドレス。,85,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ DefinedCITradeContact/ EmailURICIUniversalCommunication/ URIID,0..1,
1890,,,,,,86,UN01005687,CITradeAddress,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.,受注者／住所グループ,受注者の住所に関するグループ。,86,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeAgreement/ SellerCITradeParty/ PostalCITradeAddress,0..1,
