UniqueID,Acronym,name,type,DictionaryEntryName,Definition
UN01005579,ABIE,CIReferencedDocument,ram:CIReferencedDocumentType,CI_ Referenced_ Document. Details,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes."
UN01005608,ABIE,CISpecifiedPeriod,ram:CISpecifiedPeriodType,CI_ Specified_ Period. Details,An interval of time specified for Cross Industry (CI) purposes.
UN01005626,ABIE,CISupplyChainEvent,ram:CISupplyChainEventType,CI_ Supply Chain_ Event. Details,An occurrence or a happening in a Cross Industry (CI) supply chain.
UN01005680,ABIE,CITradeAccountingAccount,ram:CITradeAccountingAccountType,CI_ Trade_ Accounting Account. Details,"A specific Cross Industry (CI) trade account for recording debits and credits to general accounting, cost accounting or budget accounting."
UN01005687,ABIE,CITradeAddress,ram:CITradeAddressType,CI_ Trade_ Address. Details,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.
UN01005706,ABIE,CITradeAllowanceCharge,ram:CITradeAllowanceChargeType,CI_ Trade_ Allowance Charge. Details,"A component of pricing, such as a service, promotion, allowance or charge, for Cross Industry (CI) trade purposes."
UN01005718,ABIE,CITradeContact,ram:CITradeContactType,CI_ Trade_ Contact. Details,A person or a department that acts as a point of contact with another person or department in a Cross Industry (CI) trading relationship.
UN01005735,ABIE,CITradeCountry,ram:CITradeCountryType,CI_ Trade_ Country. Details,A geopolitical area used or referenced for Cross Industry (CI) trade purposes.
UN01005738,ABIE,CITradeCurrencyExchange,ram:CITradeCurrencyExchangeType,CI_ Trade_ Currency Exchange. Details,The conversion of one currency to another for Cross Industry (CI) trade purposes.
UN01005756,ABIE,CITradeParty,ram:CITradePartyType,CI_ Trade_ Party. Details,"An individual, a group, or a body having a role in a Cross Industry (CI) trade business function."
UN01005779,ABIE,CITradePaymentTerms,ram:CITradePaymentTermsType,CI_ Trade_ Payment Terms. Details,Conditions by which payment has been or will be made for Cross Industry (CI) trade purposes.
UN01005790,ABIE,CITradePrice,ram:CITradePriceType,CI_ Trade_ Price. Details,A sum of money for which something is or may be bought or sold for Cross Industry (CI) trade purposes.
UN01005809,ABIE,CITradeProduct,ram:CITradeProductType,CI_ Trade_ Product. Details,Any tangible output or service produced by human or mechanical effort or by a natural process for Cross Industry (CI) trade purposes.
UN01005670,ABIE,CITradeSettlementPaymentMeans,ram:CITradeSettlementPaymentMeansType,CI_ Trade Settlement_ Payment Means. Details,The means by which a payment will be or has been made for Cross Industry (CI) trade settlement purposes.
UN01005832,ABIE,CITradeTax,ram:CITradeTaxType,CI_ Trade_ Tax. Details,"A Cross Industry (CI) trade related fiscal tax, duty or levy."
UN01005857,ABIE,CIUniversalCommunication,ram:CIUniversalCommunicationType,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.
UN01000371,ABIE,ProcuringProject,ram:ProcuringProjectType,Procuring_ Project. Details,"An endeavour carefully planned to achieve a procurement of goods, works and service."
UN01006014,ABIE,SpecifiedBinaryFile,ram:SpecifiedBinaryFileType,Specified_ Binary File. Details,A specified computer file or program stored in a binary format.
UN01004493,ABIE,TradeSettlementFinancialCard,ram:TradeSettlementFinancialCardType,Trade Settlement_ Financial Card. Details,A card used to represent a financial account for a trade settlement.
UN01003139,BBIE,ID,udt:IDType,Branch_ Financial Institution. Identification. Identifier,The unique identifier for this branch of a financial institution.
UN01003140,BBIE,Name,udt:TextType,Branch_ Financial Institution. Name. Text,"The name, expressed as text, for this branch of a financial institution."
UN01015591,BBIE,PaidAmount,udt:AmountType,CI_ Advance_ Payment. Paid. Amount,The monetary value of the funds or securities paid in this CI advance payment.
UN01015592,BBIE,FormattedReceivedDateTime,qdt:FormattedDateTimeType,CI_ Advance_ Payment. Formatted_ Received. Date Time,The formatted date or date time value when this CI advance payment has been received.
UN01015593,BBIE,ID,udt:IDType,CI_ Advance_ Payment. Identification. Identifier,The identifier for this CI advance payment.
UN01015596,ASBIE,IdentifiedCITradePaymentTerms,ram:CITradePaymentTermsType,CI_ Advance_ Payment. Identified. CI_ Trade_ Payment Terms,The trade payment terms identified for this CI advance payment.
UN01005400,BBIE,AccountName,udt:TextType,CI_ Creditor_ Financial Account. Account Name. Text,"The account name, expressed as text, of this CI creditor financial account."
UN01005401,BBIE,ProprietaryID,udt:IDType,CI_ Creditor_ Financial Account. Proprietary_ Identification. Identifier,The unique proprietary identifier for this CI creditor financial account.
UN01012127,BBIE,TypeCode,udt:CodeType,CI_ Creditor_ Financial Account. Type. Code,The code specifying the type of financial account for this CI creditor.
UN01005426,BBIE,Name,udt:TextType,CI_ Creditor_ Financial Institution. Name. Text,"The name, expressed as text, for this CI creditor financial institution."
UN01011521,BBIE,JapanFinancialInstitutionCommonID,udt:IDType,CI_ Creditor_ Financial Institution. Japan Financial Institution Common_ Identification. Identifier,The Japan Financial Institution Common identifier as assigned by the Japanese Bankers Association for this CI creditor financial institution.
UN01005428,ASBIE,SubDivisionBranchFinancialInstitution,ram:BranchFinancialInstitutionType,CI_ Creditor_ Financial Institution. Sub-Division. Branch_ Financial Institution,The sub-division (branch) financial institution for this CI creditor financial institution.
UN01005472,BBIE,ID,udt:IDType,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.
UN01005473,BBIE,Value,udt:TextType,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter."
UN01005474,ASBIE,SpecifiedCIDocumentVersion,ram:CIDocumentVersionType,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,The CI document version specified for this CI document context parameter.
UN01005476,BBIE,ID,udt:IDType,CI_ Document_ Version. Identification. Identifier,The unique identifier for this CI document version.
UN01005478,BBIE,IssueDateTime,udt:DateTimeType,CI_ Document_ Version. Issue. Date Time,"The date, time, date time or other date time value of issue of this CI document version."
UN01005480,BBIE,SpecifiedTransactionID,udt:IDType,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,The identifier of a specified transaction in this CI exchanged document context.
UN01012746,BBIE,ProcessingTransactionDateTime,udt:DateTimeType,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context."
UN01005481,ASBIE,BusinessProcessSpecifiedCIDocumentContextParameter,ram:CIDocumentContextParameterType,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,A business process CI document context parameter specified for this CI exchanged document context.
UN01005483,ASBIE,ScenarioSpecifiedCIDocumentContextParameter,ram:CIDocumentContextParameterType,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,A scenario CI document context parameter specified for this CI exchanged document context.
UN01005484,ASBIE,ApplicationSpecifiedCIDocumentContextParameter,ram:CIDocumentContextParameterType,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,An application CI document context parameter specified for this CI exchanged document context.
UN01005486,ASBIE,SubsetSpecifiedCIDocumentContextParameter,ram:CIDocumentContextParameterType,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,A subset CI document context parameter specified for this CI exchanged document context.
UN01005488,BBIE,ReasonCode,qdt:FinancialAdjustmentReasonCodeType,CI_ Financial_ Adjustment. Reason. Code,The code specifying a reason for this CI financial adjustment.
UN01005489,BBIE,Reason,udt:TextType,CI_ Financial_ Adjustment. Reason. Text,"A reason, expressed as text, for this CI financial adjustment."
UN01005490,BBIE,ActualAmount,udt:AmountType,CI_ Financial_ Adjustment. Actual. Amount,An actual monetary value added or subtracted as a result of this CI financial adjustment.
UN01014649,BBIE,DirectionCode,qdt:AccountingDebitCreditStatusCodeType,CI_ Financial_ Adjustment. Direction. Code,The code specifying whether the CI financial adjustment is an addition or a subtraction.
UN01009671,ASBIE,InvoiceReferenceCIReferencedDocument,ram:CIReferencedDocumentType,CI_ Financial_ Adjustment. Invoice_ Reference. CI_ Referenced_ Document,The invoice document referenced for this CI financial adjustment.
UN01014897,ASBIE,RelatedCITradeTax,ram:CITradeTaxType,CI_ Financial_ Adjustment. Related. CI_ Trade_ Tax,A trade tax related to this CI financial adjustment.
UN01005862,BBIE,ID,udt:IDType,CIIH_ Exchanged_ Document. Identification. Identifier,The unique identifier of this CIIH exchanged document.
UN01005863,BBIE,Name,udt:TextType,CIIH_ Exchanged_ Document. Name. Text,"A name, expressed as text, of this CIIH exchanged document."
UN01005864,BBIE,TypeCode,qdt:InvoiceDocumentCodeType,CIIH_ Exchanged_ Document. Type. Code,The code specifying the type of CIIH exchanged document.
UN01005865,BBIE,IssueDateTime,udt:DateTimeType,CIIH_ Exchanged_ Document. Issue. Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document."
UN01005869,BBIE,PurposeCode,qdt:MessageFunctionCodeType,CIIH_ Exchanged_ Document. Purpose. Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder."
UN01005874,BBIE,PreviousRevisionID,udt:IDType,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,The unique identifier of the previous revision of this CIIH exchanged document.
UN01005875,BBIE,CategoryCode,udt:CodeType,CIIH_ Exchanged_ Document. Category. Code,The code specifying the category for this CIIH exchanged document.
UN01014636,BBIE,SubtypeCode,udt:CodeType,CIIH_ Exchanged_ Document. Subtype. Code,The code specifying the subtype of this CIIH exchanged document.
UN01005876,ASBIE,IncludedCINote,ram:CINoteType,CIIH_ Exchanged_ Document. Included. CI_ Note,A note included in this CIIH exchanged document.
UN01012702,ASBIE,ReferenceCIReferencedDocument,ram:CIReferencedDocumentType,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,Other documents referenced by this CIIH exchanged document.
UN01015490,ASBIE,AttachedSpecifiedBinaryFile,ram:SpecifiedBinaryFileType,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,A binary file attached to this CIIH exchanged document.
UN01005879,ASBIE,SellerCITradeParty,ram:CITradePartyType,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,The party that is the seller for this CIIH supply chain trade agreement.
UN01005880,ASBIE,BuyerCITradeParty,ram:CITradePartyType,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,The party that is the buyer for this CIIH supply chain trade agreement.
UN01011516,ASBIE,SpecifiedProcuringProject,ram:ProcuringProjectType,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,The procuring project specified for this CIIH supply chain trade agreement.
UN01005913,BBIE,TaxCurrencyCode,qdt:CurrencyCodeType,CIIH_ Supply Chain_ Trade Settlement. Tax_ Currency. Code,The code specifying the tax currency for this CIIH supply chain trade settlement.
UN01005914,BBIE,InvoiceCurrencyCode,qdt:CurrencyCodeType,CIIH_ Supply Chain_ Trade Settlement. Invoice_ Currency. Code,The code specifying the invoice currency for this CIIH supply chain trade settlement.
UN01005915,BBIE,PaymentCurrencyCode,qdt:CurrencyCodeType,CIIH_ Supply Chain_ Trade Settlement. Payment_ Currency. Code,The code specifying the payment currency for this CIIH supply chain trade settlement.
UN01005916,ASBIE,InvoicerCITradeParty,ram:CITradePartyType,CIIH_ Supply Chain_ Trade Settlement. Invoicer. CI_ Trade_ Party,The Cross Industry (CI) trade party issuing the invoice for this CIIH supply chain trade settlement.
UN01005917,ASBIE,InvoiceeCITradeParty,ram:CITradePartyType,CIIH_ Supply Chain_ Trade Settlement. Invoicee. CI_ Trade_ Party,The Cross Industry (CI) trade party to whom an invoice is issued for this CIIH supply chain trade settlement.
UN01005918,ASBIE,PayeeCITradeParty,ram:CITradePartyType,CIIH_ Supply Chain_ Trade Settlement. Payee. CI_ Trade_ Party,The Cross Industry (CI) payee party for this CIIH supply chain trade settlement.
UN01005919,ASBIE,PayerCITradeParty,ram:CITradePartyType,CIIH_ Supply Chain_ Trade Settlement. Payer. CI_ Trade_ Party,The Cross Industry (CI) payer party for this CIIH supply chain trade settlement.
UN01005921,ASBIE,InvoiceApplicableCITradeCurrencyExchange,ram:CITradeCurrencyExchangeType,CIIH_ Supply Chain_ Trade Settlement. Invoice_ Applicable. CI_ Trade_ Currency Exchange,The Cross Industry (CI) trade currency exchange applicable to the invoice in this CIIH supply chain trade settlement.
UN01005922,ASBIE,PaymentApplicableCITradeCurrencyExchange,ram:CITradeCurrencyExchangeType,CIIH_ Supply Chain_ Trade Settlement. Payment_ Applicable. CI_ Trade_ Currency Exchange,The Cross Industry (CI) trade currency exchange applicable to the payment of this CIIH supply chain trade settlement.
UN01005923,ASBIE,SpecifiedCITradeSettlementPaymentMeans,ram:CITradeSettlementPaymentMeansType,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade Settlement_ Payment Means,A Cross Industry (CI) trade settlement payment means specified for this CIIH supply chain trade settlement.
UN01005924,ASBIE,ApplicableCITradeTax,ram:CITradeTaxType,CIIH_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,A Cross Industry (CI) trade tax applicable to this CIIH supply chain trade settlement.
UN01005925,ASBIE,BillingCISpecifiedPeriod,ram:CISpecifiedPeriodType,CIIH_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,The Cross Industry (CI) billing period specified for this CIIH supply chain trade settlement.
UN01005929,ASBIE,SpecifiedCITradePaymentTerms,ram:CITradePaymentTermsType,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Payment Terms,Cross Industry (CI) trade payment terms specified for this CIIH supply chain trade settlement.
UN01005930,ASBIE,SpecifiedCIIHTradeSettlementMonetarySummation,ram:CIIHTradeSettlementMonetarySummationType,CIIH_ Supply Chain_ Trade Settlement. Specified. CIIH_ Trade Settlement_ Monetary Summation,The CIIH trade settlement monetary summation specified for this CIIH supply chain trade settlement.
UN01005931,ASBIE,SpecifiedCIFinancialAdjustment,ram:CIFinancialAdjustmentType,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,A Cross Industry (CI) financial adjustment specified for this CIIH supply chain trade settlement.
UN01015492,ASBIE,OutstandingSpecifiedCIIHTradeSettlementMonetarySummation,ram:CIIHTradeSettlementMonetarySummationType,CIIH_ Supply Chain_ Trade Settlement. Outstanding_ Specified. CIIH_ Trade Settlement_ Monetary Summation,The monetary summation totals outstanding for this CIIH supply chain trade settlement.
UN01005937,ASBIE,ApplicableCIIHSupplyChainTradeAgreement,ram:CIIHSupplyChainTradeAgreementType,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.
UN01005939,ASBIE,ApplicableCIIHSupplyChainTradeSettlement,ram:CIIHSupplyChainTradeSettlementType,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,The CIIH supply chain trade settlement applicable to this CIIH supply chain trade transaction.
UN01005940,ASBIE,IncludedCIILSupplyChainTradeLineItem,ram:CIILSupplyChainTradeLineItemType,CIIH_ Supply Chain_ Trade Transaction. Included. CIIL_ Supply Chain_ Trade Line Item,A Cross Industry Invoice Line (CIIL) supply chain trade line item included in this CIIH supply chain trade transaction.
UN01005943,BBIE,ChargeTotalAmount,udt:AmountType,CIIH_ Trade Settlement_ Monetary Summation. Charge Total. Amount,A monetary value of the total of all charge amounts being reported on header level in this CIIH trade settlement monetary summation.
UN01005944,BBIE,AllowanceTotalAmount,udt:AmountType,CIIH_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,A monetary value of the total of all allowance amounts being reported on header level in this CIIH trade settlement monetary summation.
UN01005945,BBIE,TaxBasisTotalAmount,udt:AmountType,CIIH_ Trade Settlement_ Monetary Summation. Tax Basis Total. Amount,A monetary value of the total of all tax basis amounts being reported in this CIIH trade settlement monetary summation.
UN01005946,BBIE,TaxTotalAmount,udt:AmountType,CIIH_ Trade Settlement_ Monetary Summation. Tax Total. Amount,A monetary value of the total of all tax amounts being reported in this CIIH trade settlement monetary summation.
UN01005948,BBIE,GrandTotalAmount,udt:AmountType,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,"A monetary value of the grand total of this CIIH trade settlement monetary summation, including taxes and allowances and charges."
UN01005950,BBIE,TotalPrepaidAmount,udt:AmountType,CIIH_ Trade Settlement_ Monetary Summation. Total Prepaid. Amount,A monetary value of a prepaid total reported in this CIIH trade settlement monetary summation.
UN01008445,BBIE,DuePayableAmount,udt:AmountType,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,"A monetary value that is an amount due and payable for this CIIH trade settlement monetary summation, such as the amount due to the creditor."
UN01008451,BBIE,NetLineTotalAmount,udt:AmountType,CIIH_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,"A monetary value of the total of all line amounts, including line level allowances and charges and excluding line level taxes, being reported in this CIIH trade settlement monetary summation."
UN01013091,BBIE,IncludingTaxesLineTotalAmount,udt:AmountType,CIIH_ Trade Settlement_ Monetary Summation. Including Taxes_ Line Total. Amount,"A monetary value of the line total, including taxes, being reported in this CIIH trade settlement monetary summation."
UN01015493,ASBIE,SpecifiedCIReferencedDocument,ram:CIReferencedDocumentType,CIIH_ Trade Settlement_ Monetary Summation. Specified. CI_ Referenced_ Document,A document referenced for the monetary summation of this CIIH trade settlement.
UN01009648,BBIE,ID,udt:IDType,CIILB_ Subordinate_ Trade Line Item. Identification. Identifier,An identifier for this CIILB subordinate trade line item.
UN01014637,BBIE,CategoryCode,udt:CodeType,CIILB_ Subordinate_ Trade Line Item. Category. Code,The code specifying the category of this CIILB subordinate trade line item.
UN01010016,ASBIE,ApplicableCITradeProduct,ram:CITradeProductType,CIILB_ Subordinate_ Trade Line Item. Applicable. CI_ Trade_ Product,A product applicable for this CIILB subordinate trade line item.
UN01009649,ASBIE,SpecifiedCIILBSupplyChainTradeAgreement,ram:CIILBSupplyChainTradeAgreementType,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Agreement,The supply chain trade agreement specified for this CIILB subordinate trade line item.
UN01009650,ASBIE,SpecifiedCIILBSupplyChainTradeDelivery,ram:CIILBSupplyChainTradeDeliveryType,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Delivery,The supply chain trade delivery specified for this CIILB subordinate trade line item.
UN01009651,ASBIE,SpecifiedCIILBSupplyChainTradeSettlement,ram:CIILBSupplyChainTradeSettlementType,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Settlement,The supply chain trade settlement specified for this CIILB subordinate trade line item.
UN01015533,ASBIE,IncludedCINote,ram:CINoteType,CIILB_ Subordinate_ Trade Line Item. Included. CI_ Note,A note included in this CIILB subordinate trade line item.
UN01009654,ASBIE,SellerOrderReferencedCIReferencedDocument,ram:CIReferencedDocumentType,CIILB_ Supply Chain_ Trade Agreement. Seller Order_ Referenced. CI_ Referenced_ Document,The seller order document referenced in this CIILB supply chain trade agreement.
UN01009655,ASBIE,BuyerOrderReferencedCIReferencedDocument,ram:CIReferencedDocumentType,CIILB_ Supply Chain_ Trade Agreement. Buyer Order_ Referenced. CI_ Referenced_ Document,The buyer order document referenced in this CIILB supply chain trade agreement.
UN01009656,ASBIE,AdditionalReferencedCIReferencedDocument,ram:CIReferencedDocumentType,CIILB_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,An additional document referenced in this CIILB supply chain trade agreement.
UN01009658,ASBIE,NetPriceProductCITradePrice,ram:CITradePriceType,CIILB_ Supply Chain_ Trade Agreement. Net Price_ Product. CI_ Trade_ Price,A net product price in this CIILB supply chain trade agreement.
UN01009660,BBIE,PackageQuantity,udt:QuantityType,CIILB_ Supply Chain_ Trade Delivery. Package. Quantity,The number of packages in this CIILB supply chain trade delivery.
UN01009661,BBIE,ProductUnitQuantity,udt:QuantityType,CIILB_ Supply Chain_ Trade Delivery. Product_ Unit. Quantity,The number of product units in this CIILB supply chain trade delivery.
UN01009662,BBIE,PerPackageUnitQuantity,udt:QuantityType,CIILB_ Supply Chain_ Trade Delivery. Per Package_ Unit. Quantity,The number of units per package in this CIILB supply chain trade delivery.
UN01014639,BBIE,BilledQuantity,udt:QuantityType,CIILB_ Supply Chain_ Trade Delivery. Billed. Quantity,The billed quantity of this CIILB supply chain trade delivery.
UN01014641,BBIE,DirectionCode,udt:CodeType,CIILB_ Supply Chain_ Trade Settlement. Direction. Code,The code specifying whether this CIILB supply chain trade settlement is an addition or a subtraction.
UN01009665,ASBIE,ApplicableCITradeTax,ram:CITradeTaxType,CIILB_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,The trade tax applicable to this CIILB supply chain trade settlement.
UN01014642,ASBIE,InvoiceReferencedCIReferencedDocument,ram:CIReferencedDocumentType,CIILB_ Supply Chain_ Trade Settlement. Invoice_ Referenced. CI_ Referenced_ Document,The invoice document referenced for this CIILB supply chain trade settlement.
UN01014643,ASBIE,SpecifiedCIFinancialAdjustment,ram:CIFinancialAdjustmentType,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,A financial adjustment specified for this CIILB supply chain trade settlement.
UN01014644,ASBIE,SpecifiedCITradeAllowanceCharge,ram:CITradeAllowanceChargeType,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,An allowance or charge specified for this CIILB supply chain trade settlement.
UN01014894,ASBIE,BillingCISpecifiedPeriod,ram:CISpecifiedPeriodType,CIILB_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,The billing period specified for this CIILB supply chain trade settlement.
UN01015534,ASBIE,PurchaseSpecifiedCITradeAccountingAccount,ram:CITradeAccountingAccountType,CIILB_ Supply Chain_ Trade Settlement. Purchase_ Specified. CI_ Trade_ Accounting Account,A purchase accounting account specified for this CIILB supply chain trade settlement.
UN01005954,BBIE,LineID,udt:IDType,CIIL_ Document Line_ Document. Line. Identifier,The unique identifier of the line of this CIIL document line.
UN01014645,BBIE,CategoryCode,udt:CodeType,CIIL_ Document Line_ Document. Category. Code,The code specifying the category of this CIIL document line.
UN01005957,ASBIE,IncludedCINote,ram:CINoteType,CIIL_ Document Line_ Document. Included. CI_ Note,A Cross Industry (CI) note included in this CIIL document line.
