Semmantic Sort,ID,Section,PINT Cardinality,Aligned,Aligned Cardinality,Level,Business Term,名称,Semantic datatype,Desc,定義,Explanation,解説,Example,Syntax Sort,UBL element,UBL datatype,UBL syntax binding,selectors,UBL syntax binding XPath,Restricted syntax cardinality,UBL Occurrence
1060,ibt-006,Aligned,0..1,,0..1,0,Tax accounting currency,税会計報告用通貨コード,Code,The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.,会計報告や税務報告に使用する通貨を表すコード。売り手の国で認められたもしくは要求された会計報告や税務報告に使用する通貨を表すコード。,The currency code must be the one listed in the ISO 4217 Currency codes. ,通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。,,1110,cbc:TaxCurrencyCode,udt:CodeType,ubl:Invoice/cbc:TaxCurrencyCode,,/ubl:Invoice/cbc:TaxCurrencyCode,0..1,0..1
1200,ibt-019,Shared,0..1,,0..1,0,Buyer accounting reference,買い手会計参照,Text,A textual value that specifies where to book the relevant data into the Buyer’s financial accounts.,買い手の財務勘定科目に関連データを記帳する場所を指定する。買い手のどの勘定に関連データを記帳すべきかを指定するためのテキスト値。,,,4217:2323:2323,1120,cbc:AccountingCost,udt:TextType,ubl:Invoice/cbc:AccountingCost,,/ubl:Invoice/cbc:AccountingCost,0..1,0..1
1100,ibt-010,Shared,0..1,,0..1,0,Buyer reference,買い手参照,Text,An identifier assigned by the Buyer used for internal routing purposes.,買い手によって割り当てられたIDで、買い手の請求書精算業務の処理ワークフローで使用する。,"The element is used for the reference of who ordered the products/services. Example being the name of the person ordering	 employee number or a code identifying this person or department/group. Your ref is often used for internal routing at recipient	 and hence it is important to fill this element with the correct values according to the need of the recipient.",この項目は、誰が製品/サービスを注文したかを参照するために使用される。 たとえば、注文者の名前、従業員番号、またはこの人物または部門/グループを識別するコード。参照は受信者の自動処理ワークフローによく使用されるため、受信者の必要に応じてこの項目に正しい値を入力することが重要。,0150abc,1130,cbc:BuyerReference,udt:TextType,ubl:Invoice/cbc:BuyerReference,,/ubl:Invoice/cbc:BuyerReference,0..1,0..1
2020,ibg-14,Shared,0..1,,0..1,1,INVOICING PERIOD,請求期間,,A group of business terms providing information on the invoice period.,請求期間に関わる情報を提供するビジネス用語のグループ。,,,,1140,cac:InvoicePeriod,cac:PeriodType,ubl:Invoice/cac:InvoicePeriod,,/ubl:Invoice/cac:InvoicePeriod,0..1,0..n
2030,ibt-073,Shared,0..1,,0..1,2,Invoicing period start date,請求期間開始日,Date,The date when the Invoice period starts.,請求期間開始日。,The date is described in the Christian era and is YYYY-MM-DD. ,日付表示は西暦表示で、YYYY-MM-DD となる。,2023-10-18,1150,cbc:StartDate,udt:DateType,ubl:Invoice/cac:InvoicePeriod/cbc:StartDate,,/ubl:Invoice/cac:InvoicePeriod/cbc:StartDate,0..1,0..1
2040,ibt-074,Shared,0..1,,0..1,2,Invoicing period end date,請求期間終了日,Date,The date when the Invoice period ends.,請求期間終了日。,The date is described in the Christian era and is YYYY-MM-DD. ,日付表示は西暦表示で、YYYY-MM-DD となる。,2023-10-18,1160,cbc:EndDate,udt:DateType,ubl:Invoice/cac:InvoicePeriod/cbc:EndDate,,/ubl:Invoice/cac:InvoicePeriod/cbc:EndDate,0..1,0..1
1080,ibt-008,Aligned,0..1,,0..1,0,TAX point date code,課税基準日コード,Code,The code of the date when the TAX becomes accountable for the Seller and for the Buyer.,売り手、買い手が税を記帳する日付が何であるかを示すコード。,"The TAX point date code must be the one listed in the UNCL2005 subset. 
3 Invoice document issue date time 
35 Delivery date/time	 actual
432 Paid to date","VAT date code (UNCL2005 subset) から選択する。
3 Invoice document issue date time (請求書発行日付時刻)
35 Delivery date/time	 actual (実際納入日付時刻)
432 Paid to date (支払日)",,1170,cbc:DescriptionCode,udt:CodeType,ubl:Invoice/cac:InvoicePeriod/cbc:DescriptionCode,,/ubl:Invoice/cac:InvoicePeriod/cbc:DescriptionCode,0..1,0..n
,,,,,,,,,,,,,,,1180,cac:OrderReference,cac:OrderReferenceType,ubl:Invoice/cac:OrderReference,,/ubl:Invoice/cac:OrderReference,0..1,0..1
1130,ibt-013,Shared,0..1,,0..1,0,Purchase order reference,購買発注参照,Document Reference,"An identifier of a referenced purchase order	 issued by the Buyer.",買い手が発行した購買発注を参照する場合の当該購買発注に記載の文書番号。,"The customer will issue an order with a unique order number. 
This unique purchase order number should be supplied as the order reference on the invoice. If order reference is stated at header level	 the order reference element on line level can be used to state the order line numbers.",買い手は一意の注文番号で注文を発行する。 この一意の注文番号は、請求書の購買発注参照として提供する必要がある。購買発注参照が文書レベルで記述されている場合、明細行の 購買発注参照を使用して、購買発注の明細行番号を記述することができる。,O-998877,1190,cbc:ID,udt:IdentifierType,ubl:Invoice/cac:OrderReference/cbc:ID,,/ubl:Invoice/cac:OrderReference/cbc:ID,1..1,1..1
1140,ibt-014,Shared,0..1,,0..1,0,Sales order reference,受注参照,Document Reference,An identifier of a referenced sales order issued by the Seller.,売り手が発行した受注を参照する場合の当該受注に記載の文書番号。,"A sales order is issued by the seller	 confirming the sale of specified products. 
NOTE: In the invoice	 both a purchase order and a sales order reference can be given	 but be aware that an invoice instance cannot have a sales order reference	 without the corresponding purchase order reference.",販売注文は、指定された製品の販売を確認する売り手によって発行される。 注: 請求書では、購買発注参照と販売注文に対応する受注参照の両方を指定できるが、対応する購買発注参照がなければ、請求書に受注参照を含めることはできないことに注意。,SO-12343,1200,cbc:SalesOrderID,udt:IdentifierType,ubl:Invoice/cac:OrderReference/cbc:SalesOrderID,,/ubl:Invoice/cac:OrderReference/cbc:SalesOrderID,0..1,0..1
1300,ibg-03,Shared,0..n,,0..n,0,PRECEDING INVOICE REFERENCE,先行請求書への参照,,A group of business terms providing information on one or more preceding Invoices.,1つのあるいはそれ以上の先行請求書に関する情報を提供するビジネス用語のグループ。,"A credit note or negative invoice can refer to one or more initial invoice(s). 
This is done in the business group IBG-03 Preceding invoice reference	 providing the invoice number and issue date. 
The issue date shall be provided in case the preceding invoice reference is not unique. In case correction applies to a large number of invoices	 the invoicing period (IBG-14)	 as necessary combined with a clarifying invoice note (IBT-22)	 may instead be be given at document level.","クレジットノートまたはマイナスの請求書は、1 つまたは複数の先行請求書を参照できる。 
これは、IBG-03 先行請求書への参照で行われ、請求書番号と発行日が提供される。 
発行日は、先行請求書参照が一意でない場合に提供されるものとする。 修正が多数の請求書に適用される場合、請求期間 (IBG-14) は、必要に応じて明確な請求書メモ (IBT-22) と組み合わせて、文書レベルで指定できる。",,1210,cac:BillingReference,cac:BillingReferenceType,ubl:Invoice/cac:BillingReference,,/ubl:Invoice/cac:BillingReference,0..n,0..n
,,,,,,,,,,,,,,,1220,cac:InvoiceDocumentReference,cac:DocumentReferenceType,ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference,,/ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference,1..1,0..1
1310,ibt-025,Shared,1..1,,1..1,1,Preceding Invoice reference,先行請求書への参照,Document Reference,The identification of an Invoice that was previously sent by the Seller.,売り手が以前に送付した請求書番号。,,,,1230,cbc:ID,udt:IdentifierType,ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID,,/ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID,1..1,1..1
1320,ibt-026,Shared,0..1,,0..1,1,Preceding Invoice issue date,先行請求書発行日,Date,The date when the Preceding Invoice was issued.,先行請求書の発行日。,The date is described in the Christian era and is YYYY-MM-DD. ,日付表示は西暦表示で、YYYY-MM-DD となる。,,1240,cbc:IssueDate,udt:DateType,ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate,,/ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate,0..1,0..1
,,,,,,,,,,,,,,,1250,cac:DespatchDocumentReference,cac:DocumentReferenceType,ubl:Invoice/cac:DespatchDocumentReference,,/ubl:Invoice/cac:DespatchDocumentReference,0..1,0..n
1160,ibt-016,Shared,0..1,,0..1,0,Despatch advice reference,出荷案内書参照,Document Reference,An identifier of a referenced despatch advice.,参照する出荷案内書に売り手が付番した番号。,,,,1260,cbc:ID,udt:IdentifierType,ubl:Invoice/cac:DespatchDocumentReference/cbc:ID,,/ubl:Invoice/cac:DespatchDocumentReference/cbc:ID,1..1,1..1
,,,,,,,,,,,,,,,1270,cac:ReceiptDocumentReference,cac:DocumentReferenceType,ubl:Invoice/cac:ReceiptDocumentReference,,/ubl:Invoice/cac:ReceiptDocumentReference,0..1,0..n
1150,ibt-015,Shared,0..1,,0..1,0,Receiving advice reference,受取通知書参照,Document Reference,An identifier of a referenced receiving advice.,参照する受取通知書に買い手が付番した番号。,,,,1280,cbc:ID,udt:IdentifierType,ubl:Invoice/cac:ReceiptDocumentReference/cbc:ID,,/ubl:Invoice/cac:ReceiptDocumentReference/cbc:ID,1..1,1..1
,,,,,,,,,,,,,,,1290,cac:OriginatorDocumentReference,cac:DocumentReferenceType,ubl:Invoice/cac:OriginatorDocumentReference,,/ubl:Invoice/cac:OriginatorDocumentReference,0..1,0..n
1170,ibt-017,Shared,0..1,,0..1,0,Tender or lot reference,入札又はロット参照,Document Reference,The identification of the call for tender or lot the invoice relates to.,参照する入札またはロットの番号。,,,,1300,cbc:ID,udt:IdentifierType,ubl:Invoice/cac:OriginatorDocumentReference/cbc:ID,,/ubl:Invoice/cac:OriginatorDocumentReference/cbc:ID,1..1,1..1
,,,,,,,,,,,,,,,1310,cac:ContractDocumentReference,cac:DocumentReferenceType,ubl:Invoice/cac:ContractDocumentReference,,/ubl:Invoice/cac:ContractDocumentReference,0..1,0..n
1120,ibt-012,Shared,0..1,,0..1,0,Contract reference,契約書参照,Document Reference,The identification of a contract.,参照する契約書に記載された文書番号。,,,,1320,cbc:ID,udt:IdentifierType,ubl:Invoice/cac:ContractDocumentReference/cbc:ID,,/ubl:Invoice/cac:ContractDocumentReference/cbc:ID,1..1,1..1
,,,,,,,,,,,,,,,1330,cac:AdditionalDocumentReference,cac:DocumentReferenceType,ubl:Invoice/cac:AdditionalDocumentReference,cbc:DocumentTypeCode = 130,/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130'],0..n,0..n
1180,ibt-018,Shared,0..1,,0..1,0,Invoiced object identifier,請求するオブジェクトID,Identifier,"An identifier for an object on which the invoice is based	 given by the Seller.",請求書の根拠となるIDで、売り手が指定。請求書の根拠となるオブジェクトのIDで、売り手が指定したもの。,,,,1340,cbc:ID,udt:IdentifierType,ubl:Invoice/cac:AdditionalDocumentReference/cbc:ID,,/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID,1..1,1..1
1190,ibt-018-1,Shared,0..1,,0..1,0,The identification scheme identifier of the Invoiced object identifier.,請求するオブジェクトIDのスキーマID,Code,"If it may be not clear for the receiver what scheme is used for the identifier	 a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries.",受信者にとって、IDにどのスキーマが使用されているかが明確でない場合は、UNTDID1153コードリストから選択される条件付きスキーマIDを使用する必要がある。,,,,1350,@schemeID,xsd:normalizedString,ubl:Invoice/cac:AdditionalDocumentReference/cbc:ID/@schemeID,,/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID,0..1,0..1
2870,ibg-24,Shared,0..n,,0..n,0,ADDITIONAL SUPPORTING DOCUMENTS,添付書類,,A group of business terms providing information about additional supporting documents substantiating the claims made in the Invoice.,請求書内で行われたクレームを実証する添付書類についての情報を提供するビジネス用語のグループ。,"The invoiced object identifier is the identifier for an object on which the invoice is based	 given by the Seller. 
Examples may be a subscription number	 telephone number	 meter point	 vehicle	 person etc.	 as applicable.
If it is not clear to the receiver what scheme is used for the identifier	 a conditional scheme identifier should be used	 that shall be chosen from the Invoiced object identifier scheme code list. 
The invoiced object reference is provided by using the element cac:AdditionalDocumentReference with the document type code = 130","添付書類は、売り手が指定した、請求書の元となるオブジェクト。 
例としては、サブスクリプション番号、電話番号、メーター ポイント、車両、人物などが該当する場合がある。識別子にどのスキームが使用されているかが受信者に明確でない場合は、条件付きスキーム識別子を使用する必要がある。
これは、この項目に規定されたコードリストから選択する必要がある。 添付文書は、< cac:AdditionalDocumentReference>要素 をドキュメント タイプ コード = 130 と指定して使用することによって提供される。",,1360,cac:AdditionalDocumentReference,cac:DocumentReferenceType,ubl:Invoice/cac:AdditionalDocumentReference,cbc:DocumentTypeCode != 130,/ubl:Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')],0..n,0..n
2880,ibt-122,Shared,1..1,,1..1,1,Supporting document reference,添付書類への参照,Document Reference,An identifier of the supporting document.,添付書類のID。,,,,1370,cbc:ID,udt:IdentifierType,ubl:Invoice/cac:AdditionalDocumentReference/cbc:ID,,/ubl:Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:ID,1..1,1..1
2890,ibt-123,Shared,0..1,,0..1,1,Supporting document description,添付書類の説明,Text,A description of the supporting document.,添付書類の説明。,,,,1380,cbc:DocumentDescription,udt:TextType,ubl:Invoice/cac:AdditionalDocumentReference/cbc:DocumentDescription,,/ubl:Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:DocumentDescription,0..1,0..n
,,,,,,,,,,,,,,,1390,cac:Attachment,cac:AttachmentType,ubl:Invoice/cac:AdditionalDocumentReference/cac:Attachment,,/ubl:Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment,0..1,0..1
2900,ibt-125,Shared,0..1,,0..1,1,Attached document,添付書類,Binary object,An attached document embedded as binary object or sent together with the invoice.,バイナリオブジェクトとして埋め込まれた、または請求書と一緒に送られた添付書類。,"An invoice may contain a supportive document as informative.
 Examples of such documents may be work reports	 certificates or other documents that relate to the purchase or the invoiced items. 
A supportive document can be attached to the invoice in two ways: by providing a direct hyperlink through which the document can be downloaded or by embedding the document into the invoice. 
A compliant receiver is required to be able to receive an attached supportive document and	 in case of embedded files	 to convert it into a file but he is not required to handle the content of that file since it is only provited as informative.
When attaching a document using an uri the hyperlink shall point directly to the file that is to be downloaded.
An embedded document is contained in the invoice as binary object using base64 encoding and shall be supplemented with information about the name of the document file and a mime code indicating the type of the file. This allows the receiver to convert the binary code into a file that has the same name as the original file and allows him to associate the received file to a suitable application for viewing its content. 
The set of allowed codes for the file type (mime code) is limited to types that can be opened with applications that are commonly used and available.
As is with other file types	 when an attached file is an XML file the receiver is expected to be able to receive and convert the binary object into an XML file but the sender can not expect the receiver to view or process the content of that XML file. 
Any further handling of an embedded XML file attachment is optional for the receiver.","請求書には、情報として裏付けとなる文書が含まれている場合がある。
このような文書の例としては、作業報告書、証明書、または購入または請求さ​​れた品目に関連するその他の文書がある。
裏付けとなる文書は、2 つの方法で請求書に添付できる。
文書をダウンロードするためのリンク先を提供する方法と、文書を請求書に埋め込む方法。受信者は、添付文書を受信できる必要があり、埋め込みファイルの場合はそれをファイルに変換する必要があるが、情報として提供されるだけであるため、そのファイルのコンテンツを処理する必要はない。
URI を使用してドキュメントを添付する場合、ハイパーリンクは、ダウンロードするファイルを直接指す必要がある。
埋め込みドキュメントは、base64 エンコーディングを使用したバイナリ オブジェクトとして請求書に含まれ、ファイルの名前とファイルの種類を示す MIME コードの情報が補足される。
この情報により、受信者はバイナリ コードを元のファイルと同じ名前のファイルに変換し、受信したファイルを適切なアプリケーションに関連付けてコンテンツを表示できる。
ファイルの種類 (MIME コード) に対して許可されるコードの範囲は、一般的に使用され、利用可能なアプリケーションで開くことができる種類に限定される。
他のファイル タイプと同様に、添付ファイルが XML ファイルの場合、受信者はバイナリ オブジェクトを受信して​​ XML ファイルに変換できると期待されるが、送信者は受信者がその XML のコンテンツを表示または処理することを期待できない。ファイルや埋め込まれた XML ファイルの添付ファイルをさらに処理するかどうかは、受信者による。",,1400,cbc:EmbeddedDocumentBinaryObject,udt:BinaryObjectType,ubl:Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject,,/ubl:Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cbc:EmbeddedDocumentBinaryObject,0..1,0..1
2910,ibt-125-1,Aligned,1..1,,1..1,2,Attached document Mime code,添付書類MIMEコード,Code,"Allowed mime codes:
application/pdf
image/png
image/jpeg
text/csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
application/vnd.oasis.opendocument. spreadsheet","許可されているMIMEコード:
application/pdf
image/png
image/jpeg
text/csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
application/vnd.oasis.opendocument. Spreadsheet",,,,1410,@mimeCode,xsd:normalizedString,ubl:Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode,,/ubl:Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode,1..1,1..1
2920,ibt-125-2,Shared,1..1,,1..1,2,Attached document Filename,添付書類ファイル名,Text,ー,ー,,,,1420,@filename,xsd:string,ubl:Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename,,/ubl:Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename,1..1,0..1
,,,,,,,,,,,,,,,1430,cac:ExternalReference,cac:ExternalReferenceType,ubl:Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference,,/ubl:Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cac:ExternalReference,0..1,0..1
2930,ibt-124,Shared,0..1,,0..1,1,External document location,外部ドキュメントのロケーション,Text,The URL (Uniform Resource Locator) that identifies where the external document is located.,外部ドキュメントの所在を示すURL（ユニフォームリソースロケータ）,,例えば、http://または ftp://.と買い手が請求書を補足するために追加情報を必要とする場合は、外部文書保管場所を使用するものとする。外部文書は請求書の一部ではない。外部文書へのアクセスにはリスクが伴う。外部文書にアクセスできなくても請求書を処理できなければならない。,,1440,cbc:URI,udt:IdentifierType,ubl:Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI,,/ubl:Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cac:ExternalReference/cbc:URI,1..1,0..1
,,,,,,,,,,,,,,,1450,cac:ProjectReference,cac:ProjectReferenceType,ubl:Invoice/cac:ProjectReference,,/ubl:Invoice/cac:ProjectReference,0..1,0..n
1110,ibt-011,Shared,0..1,,0..1,0,Project reference,プロジェクト参照,Document Reference,The identification of the project the invoice refers to,発注品に関するプロジェクト・工事案件等を管理するための番号。,,インボイスが参照するプロジェクトのID。,,1460,cbc:ID,udt:IdentifierType,ubl:Invoice/cac:ProjectReference/cbc:ID,,/ubl:Invoice/cac:ProjectReference/cbc:ID,1..1,1..1
1330,ibg-04,Shared,1..1,,1..1,0,SELLER,売り手,,A group of business terms providing information about the Seller.,売り手に係る情報を提供するビジネス用語のグループ。,,,,1470,cac:AccountingSupplierParty,cac:SupplierPartyType,ubl:Invoice/cac:AccountingSupplierParty,,/ubl:Invoice/cac:AccountingSupplierParty,1..1,1..1
,,,,,,,,,,,,,,,1480,cac:Party,cac:PartyType,ubl:Invoice/cac:AccountingSupplierParty/cac:Party,,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party,1..1,0..1
1430,ibt-034,Shared,1..1,,1..1,1,Seller electronic address,売り手電子アドレス,Identifier,Identifies the Seller’s electronic address to which the application level response to the invoice may be delivered.,請求書に対するアプリケーションレベルの応答が配信される売り手の電子アドレスを識別する。,"In case of Japan	 it is supposed that ibt-029	 ibt-030	 ibt-031 and ibt-034 are used in the following way. 
ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC	 TDB	 TSR)	 ibt-030 is used to set  identifier issued by government/tax authority	 ibt-031 is used to set Japan consumption tax registration number	 and ibt-034 is used to set user ID of Peppol eDelivery Network.","インボイス応答はインボイスおよびクレジットノート固有の応答メッセージであり、購入者の業務ルールおよび/または販売者/購入者契約に基づいて、購入者の承認および支払いプロセスにおけるインボイスの処理状況を売り手に通知するために使用できる。
(参照 https://docs.peppol.eu/poacc/upgrade-3/profiles/63-invoiceresponse/)",1234567890123,1490,cbc:EndpointID,udt:IdentifierType,ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID,,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID,1..1,0..1
1440,ibt-034-1,Shared,1..1,,1..1,2,Seller electronic address Scheme identifier,スキーマID,Code,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,"Request for Change has been submitted to OpenPEPPOL to add 0147 Standard Company Code	 0170 Teikoku Company Code and 0188 Corporate Number of The Social Security and Tax Number System to EAS list. ","0147 Standard Company Code (JIPDECが発番/管理しているコード)	 0170 Teikoku Company Code (帝国データバンクの企業コード)	 0188 Corporate Number of The Social Security and Tax Number System (社会保障・税制度の法人番号) をEASリストに追加してもらうよう、変更リクエストをOpenPEPPOLに提出済。",0188,1500,@schemeID,xsd:normalizedString,ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID,,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID,1..1,0..1
,,,,,,,,,,,,,,,1510,cac:PartyIdentification,cac:PartyIdentificationType,ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification,"[cbc:ID/@schemeID=""SEPA""]","/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification[cbc:ID/@schemeID=""SEPA""]",0..n,0..n
1450,ibt-090,Aligned,0..1,,0..1,2,Bank assigned creditor identifier,銀行が採番した債権者の識別子,Identifier,Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.,売り手や支払先の取引銀行が一意に割り当てた売り手や支払先の銀行参照識別子。,,SEPA口座振替を買い手に事前に通知するために使用。,123456:000123:0147:1,1520,cbc:ID,udt:IdentifierType,ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID,,"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID[@schemeID=""SEPA""]",1..1,1..1
,,,,,,,,,,,,,,,1530,@schemeID,xsd:normalizedString,ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID,,"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID[@schemeID=""SEPA""]/@schemeID",1..1,0..1
,,,,,,,,,,,,,,,1540,cac:PartyIdentification,cac:PartyIdentificationType,ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification,"[not(cbc:ID/@schemeID=""SEPA"")]","/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification[not(cbc:ID/@schemeID=""SEPA"")]",0..n,0..n
