seq,month_type,category,format,creation_method,note,slip_date,slip_number,slip_summary,branch_number,debit_department,debit_department_name,debit_account,debit_account_name,debit_subaccount,debit_subaccount_name,debit_amount,debit_tax_code,debit_tax_industry,debit_tax_rate,debit_fund_type,debit_optional_item_1,debit_optional_item_2,credit_department,credit_department_name,credit_account,credit_account_name,credit_subaccount,credit_subaccount_name,credit_amount,credit_tax_code,credit_tax_industry,credit_tax_rate,credit_fund_type,credit_optional_item_1,credit_optional_item_2,summary,due_date,voucher_number,input_machine,input_user,input_app,input_company,input_date
29,0,0,3,0,0,20220726,27,,3,,,999,諸口,,, 91 ,0,,,,,,,,600,受取利息,,, 91 ,20,,,6,,,城北信金､定期預金利息,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20220906
30,0,0,3,0,0,20220726,27,,4,,,526,租税公課,,, 13 ,0,,,59,,,,,999,諸口,,, 13 ,0,,,,,,城北信金､利子所得税,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20220906
31,0,0,3,0,0,20220726,28,,1,,,110,城北信当座預金,,," 5,890,111 ",0,,,,,,,,999,諸口,,," 5,890,111 ",0,,,,,,城北信金､定期預金解約,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20220906
32,0,0,3,0,0,20220726,28,,2,,,999,諸口,,," 5,890,100 ",0,,,,,,,,125,城北信定期預金,,," 5,890,100 ",0,,,28,,,城北信金､定期預金解約,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
33,0,0,3,0,0,20220726,28,,3,,,999,諸口,,, 12 ,0,,,,,,,,600,受取利息,,, 12 ,20,,,6,,,城北信金､定期預金利息,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20220906
34,0,0,3,0,0,20220726,28,,4,,,526,租税公課,,, 1 ,0,,,59,,,,,999,諸口,,, 1 ,0,,,,,,城北信金､利子所得税,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20220906
35,0,0,3,0,0,20220728,29,,1,,,512,支払手数料,,," 64,700 ",32,,10,56,,,,,999,諸口,,," 64,700 ",0,,,,,,ＸＹＺ司法書士､解散登記分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
36,0,0,3,0,0,20220728,29,,2,,,999,諸口,,," 50,000 ",0,,,,,,,,154,仮払金,,," 50,000 ",0,,,9,,,ＸＹＺ司法書士､解散登記分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
37,0,0,3,0,0,20220728,29,,3,,,999,諸口,,," 50,673 ",0,,,,,,,,110,城北信当座預金,,," 50,673 ",0,,,,,,ＸＹＺ司法書士､解散登記分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
38,0,0,3,0,0,20220728,29,,4,,,526,租税公課,,," 40,772 ",0,,,59,,,,,999,諸口,,," 40,772 ",0,,,,,,ＸＹＺ司法書士､解散登記分印紙代等,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
39,0,0,3,0,0,20220728,29,,5,,,999,諸口,,," 4,799 ",0,,,,,,,,208,預り金,,," 4,799 ",0,,,4,,,ＸＹＺ司法書士､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
40,0,0,4,0,0,20220725,30,,1,,,531,保険料,,, 15 ,30,,,56,,,,,100,現金,,, 15 ,0,,,,,,ＡＢＣ社会保険労働事務所､労保精算金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
41,0,0,4,0,0,20220729,31,,1,,,201,買掛金,,," 22,143 ",0,,,43,,,,,110,城北信当座預金,,," 22,143 ",0,,,,,,美土代町金商㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
42,0,0,4,0,0,20220729,32,,1,,,529,修繕費,,," 4,840 ",32,,10,56,,,,,111,三菱東京UFJ当座預金,,," 4,840 ",0,,,,,,㈱大塚商会､保守料,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20220906
43,0,0,4,0,0,20220729,33,,1,,,529,修繕費,,," 61,380 ",32,,10,56,,,,,110,城北信当座預金,,," 61,380 ",0,,,,,,㈲錦町ｵｰﾄ､ﾄﾗｯｸ整備代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
44,0,0,4,0,0,20220729,34,,1,,,201,買掛金,,," 2,601,610 ",0,,,43,,,,,110,城北信当座預金,,," 2,601,610 ",0,,,,,,小川町工業,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
45,0,0,4,0,0,20220729,35,,1,,,201,買掛金,,," 528,125 ",0,,,43,,,,,110,城北信当座預金,,," 528,125 ",0,,,,,,㈱三崎産業,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
46,0,0,4,0,0,20220729,36,,1,,,201,買掛金,,," 26,400 ",0,,,43,,,,,110,城北信当座預金,,," 26,400 ",0,,,,,,アラカワ㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
47,0,0,4,0,0,20220729,37,,1,,,201,買掛金,,," 28,050 ",0,,,43,,,,,110,城北信当座預金,,," 28,050 ",0,,,,,,鍛冶町製作所,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
48,0,0,4,0,0,20220729,38,,1,,,201,買掛金,,," 119,521 ",0,,,43,,,,,131,売掛金,,," 119,521 ",0,,,2,,,東京産業㈱､相殺,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
49,0,0,4,0,0,20220729,39,,1,,,201,買掛金,,," 116,979 ",0,,,43,,,,,110,城北信当座預金,,," 116,979 ",0,,,,,,東京産業㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
50,0,0,4,0,0,20220729,40,,1,,,201,買掛金,,," 892,100 ",0,,,43,,,,,110,城北信当座預金,,," 892,100 ",0,,,,,,ニホン工業㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
51,0,0,3,0,0,20220729,41,,1,,,110,城北信当座預金,,," 775,800 ",0,,,,,,,,999,諸口,,," 775,800 ",0,,,,,,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
52,0,0,3,0,0,20220729,41,,2,,,999,諸口,,," 850,000 ",0,,,,,,,,701,固定資産譲渡収入,,," 850,000 ",2,,10,7,,,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却収入,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
53,0,0,3,0,0,20220729,41,,3,,,512,支払手数料,,," 69,000 ",32,,10,56,,,,,999,諸口,,," 69,000 ",0,,,,,,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却件登録閉鎖手数料,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
54,0,0,3,0,0,20220729,41,,4,,,512,支払手数料,,," 5,200 ",30,,,56,,,,,999,諸口,,," 5,200 ",0,,,,,,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却件登録閉鎖法定費用,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
55,0,0,3,0,0,20220729,42,,1,,,525,消耗品費,,," 12,636 ",32,,10,56,,,,,110,城北信当座預金,,," 12,636 ",0,,,,,,札の辻､ｶﾞｿﾘﾝ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
56,0,0,3,0,0,20220729,42,,2,,,153,未収入金,,," 100,000 ",0,,,8,,,,,701,固定資産譲渡収入,,," 100,000 ",2,,10,7,,,北海道太郎､社有乗用車マークＸ売却,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
57,0,0,4,0,0,20220702,43,,1,,,521,接待交際費,2,少額交際費," 8,910 ",32,,10,56,,,,,100,現金,,," 8,910 ",0,,,,,,ライフ､中元贈答品,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
58,0,0,4,0,0,20220704,44,,1,,,523,通信費,,," 1,470 ",32,,10,56,,,,,100,現金,,," 1,470 ",0,,,,,,日本郵便､ﾊｶﾞｷ代他,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
59,0,0,4,0,0,20220704,45,,1,,,522,旅費・交通費,,," 1,220 ",32,,10,56,,,,,100,現金,,," 1,220 ",0,,,,,,実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
60,0,0,4,0,0,20220706,46,,1,,,522,旅費・交通費,,, 980 ,32,,10,56,,,,,100,現金,,, 980 ,0,,,,,,日本交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
61,0,0,4,0,0,20220706,47,,1,,,202,借入金,7,その他の借入金," 12,063 ",0,,,84,,,,,100,現金,,," 12,063 ",0,,,,,,総合食品ストア､北海道扱返金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
62,0,0,4,0,0,20220707,48,,1,,,522,旅費・交通費,,," 2,900 ",32,,10,56,,,,,100,現金,,," 2,900 ",0,,,,,,日月東交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
63,0,0,4,0,0,20220707,49,,1,,,522,旅費・交通費,,," 1,140 ",32,,10,56,,,,,100,現金,,," 1,140 ",0,,,,,,明治交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
64,0,0,4,0,0,20220708,50,,1,,,526,租税公課,,, 300 ,0,,,59,,,,,100,現金,,, 300 ,0,,,,,,千代田区役所､収入証紙,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
65,0,0,4,0,0,20220709,51,,1,,,522,旅費・交通費,,, 900 ,32,,10,56,,,,,100,現金,,, 900 ,0,,,,,,大和自動車､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
66,0,0,4,0,0,20220709,52,,1,,,522,旅費・交通費,,, 900 ,32,,10,56,,,,,100,現金,,, 900 ,0,,,,,,実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
67,0,0,4,0,0,20220712,53,,1,,,522,旅費・交通費,,, 900 ,32,,10,56,,,,,100,現金,,, 900 ,0,,,,,,実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
68,0,0,4,0,0,20220712,54,,1,,,521,接待交際費,1,交際費," 15,000 ",32,,K8.0,56,,,,,100,現金,,," 15,000 ",0,,,,,,六花亭､食品贈答品,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20220906
69,0,0,4,0,0,20220714,55,,1,,,522,旅費・交通費,,," 1,220 ",32,,10,56,,,,,100,現金,,," 1,220 ",0,,,,,,東京無線､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
70,0,0,4,0,0,20220714,56,,1,,,522,旅費・交通費,,," 1,940 ",32,,10,56,,,,,100,現金,,," 1,940 ",0,,,,,,日の丸交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
71,0,0,4,0,0,20220714,57,,1,,,202,借入金,7,その他の借入金," 7,290 ",0,,,84,,,,,100,現金,,," 7,290 ",0,,,,,,総合食品ストア､北海道扱返金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
72,0,0,4,0,0,20220716,58,,1,,,522,旅費・交通費,,, 900 ,32,,10,56,,,,,100,現金,,, 900 ,0,,,,,,東京西交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
73,0,0,4,0,0,20220720,59,,1,,,202,借入金,7,その他の借入金," 6,800 ",0,,,84,,,,,100,現金,,," 6,800 ",0,,,,,,仲よし､北海道扱返金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
74,0,0,4,0,0,20220722,60,,1,,,202,借入金,7,その他の借入金," 8,680 ",0,,,84,,,,,100,現金,,," 8,680 ",0,,,,,,総合食品ストア､北海道扱返金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
75,0,0,4,0,0,20220722,61,,1,,,526,租税公課,,," 4,200 ",0,,,59,,,,,100,現金,,," 4,200 ",0,,,,,,千代田区役所､収入証紙,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
76,0,0,4,0,0,20220725,62,,1,,,523,通信費,,," 1,674 ",32,,10,56,,,,,100,現金,,," 1,674 ",0,,,,,,日本郵便､書留郵便,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
77,0,0,4,0,0,20220725,63,,1,,,526,租税公課,,, 600 ,0,,,59,,,,,100,現金,,, 600 ,0,,,,,,東京法務局､印紙代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
78,0,0,4,0,0,20220725,64,,1,,,526,租税公課,,," 3,150 ",0,,,59,,,,,100,現金,,," 3,150 ",0,,,,,,東京法務局､印紙代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
79,0,0,4,0,0,20220731,65,,1,,,712,固定資産譲渡費用,,, 1 ,0,,,62,,,,,164,車両運搬具,,, 1 ,0,,,21,,,営業車､マークＸ売却簿価振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,20220906
80,0,0,4,0,0,20220731,66,,1,,,712,固定資産譲渡費用,,, 1 ,0,,,62,,,,,164,車両運搬具,,, 1 ,0,,,21,,,トラック､エルフ売却簿価振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,20220906
81,0,0,4,0,0,20220731,67,,1,,,711,固定資産除却損,,, 1 ,0,,,62,,,,,160,建物,,, 1 ,0,,,21,,,倉庫用ハウス廃棄,,,WS017,PC03,財務会計R4,北信産業 株式会社,20220906
82,0,0,4,0,0,20220731,68,,1,,,712,固定資産譲渡費用,,, 5 ,0,,,62,,,,,165,備品,,, 5 ,0,,,21,,,北海道太郎､社有備品売却,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
83,0,0,4,0,0,20220731,69,,1,,,153,未収入金,,, 5 ,0,,,8,,,,,701,固定資産譲渡収入,,, 5 ,2,,10,7,,,北海道太郎､社有備品売却,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
84,0,0,3,0,0,20220731,70,,1,,,461,仕入高,,, 1 ,32,,10,41,,,,,999,諸口,,, 1 ,0,,,,,,賃貸機材､ｽﾄﾛﾝｸﾞｹﾟｰﾄ売却､簿価振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,20220906
85,0,0,3,0,0,20220731,70,,2,,,999,諸口,,, 1 ,0,,,,,,,,162,賃貸用機器,,, 1 ,0,,,21,,,賃貸機材､ｽﾄﾛﾝｸﾞｹﾟｰﾄ売却､簿価振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,20220906
86,0,0,4,0,0,20220704,71,,1,,,131,売掛金,,," 30,690 ",0,,,2,,,,,810,売上高,,," 30,690 ",2,,10,1,,,㈲いろは機工､ﾊﾟｲﾌﾟ他納品,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
87,0,0,4,0,0,20220720,72,,1,,,131,売掛金,,," 1,100,000 ",0,,,2,,,,,810,売上高,,," 1,100,000 ",2,,10,1,,,神田産業㈱､在庫機材売却,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
88,0,0,4,0,0,20220704,73,,1,,,461,仕入高,,," 22,143 ",32,,10,41,,,,,201,買掛金,,," 22,143 ",0,,,43,,,東京商事㈱､いろは機工売却分,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
89,0,0,4,0,0,20220731,74,,1,,,202,借入金,7,その他の借入金," 100,005 ",0,,,84,,,,,153,未収入金,,," 100,005 ",0,,,8,,,北海道太郎､固定資産売却代金相殺,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
90,0,0,4,0,0,20220710,75,,1,,,208,預り金,,," 16,048 ",0,,,68,,,,,202,借入金,7,その他の借入金," 16,048 ",0,,,23,,,麹町税務署､源泉所得税納付､社長立替分,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
91,0,0,4,0,0,20220801,1,,1,,,522,旅費・交通費,,, 820 ,32,,10,56,,,,,100,現金,,, 820 ,0,,,,,,実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221005
92,0,0,4,0,0,20220824,3,,1,,,522,旅費・交通費,,, 900 ,32,,10,56,,,,,100,現金,,, 900 ,0,,,,,,実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221005
93,0,0,4,0,0,20220824,4,,1,,,202,借入金,7,その他の借入金," 7,730 ",0,,,84,,,,,100,現金,,," 7,730 ",0,,,,,,北海道太郎分返金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
94,0,0,4,0,0,20220826,5,,1,,,522,旅費・交通費,,, 980 ,32,,10,56,,,,,100,現金,,, 980 ,0,,,,,,帝都交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
95,0,0,4,0,0,20220801,6,,1,,,523,通信費,,," 4,003 ",32,,10,56,,,,,111,三菱東京UFJ当座預金,,," 4,003 ",0,,,,,,NTTﾌｧｲﾅﾝｽ､携帯電話料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221005
96,0,0,4,0,0,20220808,7,,1,,,208,預り金,,," 4,799 ",0,,,68,,,,,100,現金,,," 4,799 ",0,,,,,,ＸＹＺ司法書士､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
97,0,0,4,0,0,20220809,8,,1,,,512,支払手数料,,, 440 ,32,,10,56,,,,,110,城北信当座預金,,, 440 ,0,,,,,,城北信金､残高証明書,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20221008
98,0,0,4,0,0,20220810,9,,1,,,512,支払手数料,,," 1,100 ",32,,10,56,,,,,110,城北信当座預金,,," 1,100 ",0,,,,,,城北信金､ｱﾝｻｰﾎﾝ手数料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221005
99,0,0,4,0,0,20220810,10,,1,,,204,未払金,,," 15,350 ",0,,,67,,,,,110,城北信当座預金,,," 15,350 ",0,,,,,,信金ｸﾚｼﾞｯﾄ扱ETC､有料道路代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20221008
100,0,0,3,0,0,20220810,11,,1,,,512,支払手数料,,," 24,444 ",32,,10,56,,,,,999,諸口,,," 24,444 ",0,,,,,,大田コンサル､顧問料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
101,0,0,3,0,0,20220810,11,,2,,,999,諸口,,," 22,176 ",0,,,,,,,,110,城北信当座預金,,," 22,176 ",0,,,,,,大田コンサル､顧問料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
102,0,0,3,0,0,20220810,11,,3,,,999,諸口,,," 2,268 ",0,,,,,,,,208,預り金,,," 2,268 ",0,,,4,,,大田コンサル､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
103,0,0,4,0,0,20220812,12,,1,,,110,城北信当座預金,,," 50,000 ",0,,,,,,,,181,出資金,,," 50,000 ",0,,,22,,,城北信金､出資金解約戻り,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20221008
104,0,0,3,0,0,20220819,14,,1,,,209,未払消費税等,,," 609,600 ",0,,,67,,,,,110,城北信当座預金,,," 609,600 ",0,,,,,,麹町税務署､前期確定消費税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
105,0,0,3,0,0,20220819,14,,2,,,211,法人税等充当金,,," 35,000 ",0,,,63,,,,,110,城北信当座預金,,," 35,000 ",0,,,,,,東京都､前期確定都民税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20221008
