seq,part,UNID,kind,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,term,desc,card
13,ヘッダ部,UN01005483,ASBIE,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,取引設定内容/取引シナリオグループ,取引設定内容の取引シナリオに関する情報,0..1
14,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,取引シナリオ設定クラス,取引シナリオに関する情報のクラス, -
15,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,取引シナリオID,取引シナリオの識別番号,0..1
16,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,取引シナリオ名,取引シナリオの名称,0..1
17,ヘッダ部,UN01005484,ASBIE,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,取引設定内容/アプリケーショングループ,取引設定内容のアプリケーションに関する情報,0..1
18,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,アプリケーション設定クラス,アプリケーションに関する情報のクラス, -
19,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,アプリケーションID,業務アプリケーションが実装する業界・業種識別番号,0..1
20,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,アプリケーション名,業務アプリケーションが実装する業界・業種名称,0..1
21,ヘッダ部,UN01005486,ASBIE,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,取引設定内容/ドメイングループ,取引設定内容のドメインの情報に関する情報,0..1
22,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,ドメイン設定クラス,JEC業界横断EDIメッセージドメインに関する情報のクラス, -
23,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,ドメインID,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",0..1
24,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,ドメイン名,SIPSが付与したメッセージドメイン名称,0..1
25,ヘッダ部,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,ドメイン/バージョングループ,ドメインのバージョンに関する情報,0..1
26,ヘッダ部,UN01005475,ABIE,,,,,CI_ Document_ Version. Details,,,,,,,,バージョンクラス,バージョンに関する情報のクラス, - 
27,ヘッダ部,UN01005476,BBIE,,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,バージョンID,ドメインのバージョン識別番号,0..1
28,ヘッダ部,UN01005478,BBIE,,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,バージョン発行日,ドメインのバージョン発行日,0..1
29,ヘッダ部,UN01005861,ASMA,CIIH_ Exchanged_ Document. Details,,,,,,,,,,,,インボイス文書クラス,インボイス文書に関する情報項目のクラス,1..1
30,ヘッダ部,UN01005862,BBIE,,CIIH_ Exchanged_ Document. Identification. Identifier,,,,,,,,,,,インボイス文書ID,インボイス文書を識別する文書ID,1..1
31,ヘッダ部,UN01005863,BBIE,,CIIH_ Exchanged_ Document. Name. Text,,,,,,,,,,,インボイス文書名,インボイス文書の文書名称,0..1
32,ヘッダ部,UN01005864,BBIE,,CIIH_ Exchanged_ Document. Type. Code,,,,,,,,,,,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",0..1
33,ヘッダ部,UN01005865,BBIE,,CIIH_ Exchanged_ Document. Issue. Date Time,,,,,,,,,,,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,1..1
34,ヘッダ部,UN01005869,BBIE,,CIIH_ Exchanged_ Document. Purpose. Code,,,,,,,,,,,インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,0..1
35,ヘッダ部,UN01005874,BBIE,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,,,,,,,,,,,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID,0..1
36,ヘッダ部,UN01005875,BBIE,,CIIH_ Exchanged_ Document. Category. Code,,,,,,,,,,,インボイス文書類型コード,"インボイス文書の類型（単一文書日本円取引、単一文書外貨建て取引、統合文書日本円取引等）を識別するコード
デフォルトは「単一文書日本円取引」",0..1
37,ヘッダ部,UN01014636,BBIE,,CIIH_ Exchanged_ Document. Subtype. Code,,,,,,,,,,,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",0..1
38,ヘッダ部,UN01005876,ASBIE,,CIIH_ Exchanged_ Document. Included. CI_ Note,,,,,,,,,,,インボイス文書／注釈グループ,インボイス文書に含まれる注釈。,0..n
39,ヘッダ部,UN01005557,ABIE,,,CI_ Note. Details,,,,,,,,,,インボイス文書注釈クラス,インボイス文書の注釈を記述するためのクラス, -
40,ヘッダ部,UN01005558,BBIE,,,,CI_ Note. Subject. Text,,,,,,,,,インボイス文書注釈表題,注釈内容の表題を示す。,0..1
41,ヘッダ部,UN01005560,BBIE,,,,CI_ Note. Content. Text,,,,,,,,,インボイス文書注釈内容,注釈項目毎の内容情報を入力するフリースペース。,0..1
42,ヘッダ部,UN01005562,BBIE,,,,CI_ Note. Identification. Identifier,,,,,,,,,インボイス文書注釈ID,注釈の識別ID,0..1
43,ヘッダ部,UN01012702,ASBIE,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,,,,,,,,,,,インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,0..n
44,ヘッダ部,UN01005579,ABIE,,,CI_ Referenced_ Document. Details,,,,,,,,,,（鑑ヘッダ参照）文書クラス,インボイス文書が参照する文書クラス,－
45,ヘッダ部,UN01005580,BBIE,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,（鑑ヘッダ参照）文書ID,インボイス文書が参照する参照文書のID,1..1
46,ヘッダ部,UN01005581,BBIE,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,,,（鑑ヘッダ参照）文書URL_ID,インボイス文書が参照する文書が所在するURL_ID,0..1
47,ヘッダ部,UN01005582,BBIE,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,,,（鑑ヘッダ参照）文書発行日,インボイス文書が参照する参照文書の発行日,0..1
48,ヘッダ部,UN01005586,BBIE,,,,CI_ Referenced_ Document. Reference_ Type. Code,,,,,,,,,（鑑ヘッダ参照）文書参照タイプコード,この調整で参照するインボイス文書の参照タイプを指定するコード　,0..1
49,ヘッダ部,UN01005588,BBIE,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,,,（鑑ヘッダ参照）文書履歴ID,インボイス文書が参照する文書の変更履歴を管理するID。,0..1
50,ヘッダ部,UN01006415,BBIE,,,,CI_ Referenced_ Document. Information. Text,,,,,,,,,（鑑ヘッダ参照）文書情報,インボイス文書が参照する参照文書に記載の情報,0..1
51,ヘッダ部,UN01009672,BBIE,,,,CI_ Referenced_ Document. Type. Code,,,,,,,,,（鑑ヘッダ参照）文書タイプコード,インボイス文書が参照する参照文書の文書タイプを識別するコード,0..1
52,ヘッダ部,UN01011455,BBIE,,,,CI_ Referenced_ Document. Attachment. Binary Object,,,,,,,,,（鑑ヘッダ参照）文書添付ファイル,"この文書ヘッダ参照文書の添付バイナリファイルの有無を指定
ありの場合はUN01006015のバイナリファイルID（BASE64）を入力",0..1
53,ヘッダ部,UN01014899,BBIE,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,,,（鑑ヘッダ参照）文書サブタイプコード,インボイス文書が参照する参照文書の文書サブタイプを識別するコード,0..1
54,ヘッダ部,UN01015490,ASBIE,,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,,,,,,,,,,,付加文書／添付ファイルグループ,参照文書の添付バイナリファイルに関するグループ,0..n
55,ヘッダ部,UN01006014,ABIE,,,Specified_ Binary File. Details,,,,,,,,,,添付バイナリファイルクラス,添付バイナリファイルを記述するためのクラス,－
56,ヘッダ部,UN01006015,BBIE,,,,Specified_ Binary File. Identification. Identifier,,,,,,,,,添付バイナリファイルID,添付バイナリファイルのID,1..1
57,ヘッダ部,UN01006019,BBIE,,,,Specified_ Binary File. File Name. Text,,,,,,,,,添付バイナリファイル名,添付バイナリファイルの名称,0..1
58,ヘッダ部,UN01006020,BBIE,,,,Specified_ Binary File. URI. Identifier,,,,,,,,,添付バイナリファイルURI ID,添付バイナリファイルの保管URIID,0..1
59,ヘッダ部,UN01006021,BBIE,,,,Specified_ Binary File. MIME. Code,,,,,,,,,添付バイナリファイルのMIMEコード,添付バイナリファイルのMIMEコード,1..1
60,ヘッダ部,UN01006026,BBIE,,,,Specified_ Binary File. Description. Text,,,,,,,,,添付バイナリファイルの説明文,添付バイナリファイルの説明文,0..1
61,ヘッダ部,UN01005936,ASMA,CIIH_ Supply Chain_ Trade Transaction. Details,,,,,,,,,,,,インボイス文書取引内容クラス,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,1..1
62,ヘッダ部,UN01005937,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,,,,,,,,,,,インボイス文書取引内容／契約グループ,インボイス文書取引に適用される契約に関するグループ。,1..1
63,ヘッダ部,UN01005878,ABIE,,,CIIH_ Supply Chain_ Trade Agreement. Details,,,,,,,,,,インボイス文書契約クラス,インボイス文書に関する契約に関する情報からなるクラス。,－
64,ヘッダ部,UN01005879,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,,,,,,,,,インボイス文書契約／受注者グループ,受注者に関するグループ。,1..1
65,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,受注者クラス,受注者に関する情報からなるクラス。,－
66,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,受注者ID,注文を受ける企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,0..1
67,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,受注者国際企業ID,企業を表す国際企業ID。ISO6523に登録された国際企業登録機関を属性で指定する。中小企業共通EDIでは法人IDの利用を推奨,0..1
68,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,受注者名称,注文を受ける企業/工場・事業所・事業部門等を表す名称。適格請求書、または区分記載請求書を発行する事業者名。,0..1
69,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,適格請求書発行事業者登録番号,"国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）
T1234567890123",0..1
70,ヘッダ部,UN01012925,BBIE,,,,,,CI_ Trade_ Party. Type. Code,,,,,,,受注者タイプコード,適格請求書発行事業者の課税区分を識別するコード,0..1
71,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,受注者／連絡先グループ,受注者の連絡先に関するグループ,0..1
72,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,受注者連絡先クラス,連絡先に関する情報からなるクラス。,－
73,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,受注部門ID,受注者の受注部門を表すID。,0..1
74,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,受注者担当名,受注者連絡先の個人の、文字で表現された名前。,0..1
75,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,受注者部門名,受注者の受注部門の名称。,0..1
76,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,受注者担当ID,受注者個人を表すID,0..1
77,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1
78,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－
79,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,受注者電話番号,受注者の電話番号。,0..1
80,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1
81,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－
82,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,受注者FAX番号,受注者のFAX番号,0..1
83,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1
84,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電子メール通信クラス,通信（Email）に関する情報からなるクラス。,－
85,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,受注者メールアドレス,受注者の電子メールアドレス。,0..1
86,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,受注者／住所グループ,受注者の住所に関するグループ。,0..1
87,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,受注者住所クラス,受注者住所に関する情報からなるクラス。,－
88,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,受注者郵便番号,受注者の郵便番号。,0..1
89,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,受注者住所1,受注者の住所1行目。,0..1
90,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,受注者住所2,受注者の住所2行目。,0..1
91,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,受注者住所3,受注者の住所3行目。,0..1
92,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,受注者国ID,受注者の国ID。デフォルトは「JP」,1..1
93,ヘッダ部,UN01005765,ASBIE,,,,,,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,,,,,,,送信者／国際アドレスグループ,送信者の国際アドレスグループ,0..1
94,ヘッダ部,UN01005857,ABIE,,,,,,,CI_ Universal_ Communication. Details,,,,,,国際アドレスクラス,"国際アドレスクラス
（JP-PINTのアドレス方式に対応）",－
95,ヘッダ部,UN01005859,BBIE,,,,,,,,CI_ Universal_ Communication. Channel. Code,,,,,国際アドレス登録機関コード,"ISOがコード表6523に登録した国際アドレス登録機関のコード
（デジタル庁／JP-PINTに対応）",0..1
96,ヘッダ部,UN01005860,BBIE,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,受注者国際アドレス,"国際アドレス登録機関が付与する国際アドレス番号
（わが国ではJP-PINTアドレスとしてデジタル庁が付与する番号）",0..1
97,ヘッダ部,UN01005880,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,,,,,,,,,インボイス文書契約／発注者グループ,発注者に関するグループ。,1..1
98,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,発注者クラス,発注者に関する情報からなるクラス。,－
99,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,発注者ID,注文を行う企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,0..1
100,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,発注者国際企業ID,企業を表す国際企業ID。ISO6523に登録された国際企業登録機関を属性で指定する。中小企業共通EDIでは法人IDの利用を推奨,0..1
101,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,発注者名称,発注を行う企業/工場・事業所・事業部門等の名称,0..1
102,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,適格請求書発行事業者登録番号,"登録された発注者の適格請求書発行事業者登録番号
（免税事業者についてはなし）",0..1
103,ヘッダ部,UN01012925,BBIE,,,,,,CI_ Trade_ Party. Type. Code,,,,,,,発注者タイプコード,適格請求書発行事業者の課税区分を識別するコード,0..1
104,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,発注者／連絡先グループ,発注者の連絡先に関するグループ,0..1
105,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,発注者連絡先クラス,連絡先に関する情報からなるクラス。, -
106,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,発注者部門ID,発注者の発注部門を表すID。,0..1
107,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,発注者担当名,発注者の発注担当者の名称,0..1
108,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,発注者部門名,発注者の発注部門の名称。,0..1
109,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,発注者担当ID,発注者個人を表すID,0..1
110,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1
111,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－
112,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,発注者電話番号,発注者の電話番号。,0..1
113,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1
114,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－
115,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,発注者FAX番号,発注者のFAX番号,0..1
116,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1
117,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－
118,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,発注者メールアドレス,発注者の電子メールアドレス。,0..1
119,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,発注者／住所グループ,発注者の住所に関するグループ。,0..1
120,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,発注者住所クラス,発注者住所に関する情報からなるクラス。,－
121,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,発注者郵便番号,発注者の郵便番号。,0..1
122,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,発注者住所1,発注者の住所1行目。,0..1
123,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,発注者住所2,発注者の住所2行目。,0..1
124,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,発注者住所3,発注者の住所3行目。,0..1
125,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,発注者国ID,発注者の国ID。デフォルトは「JP」,1..1
126,ヘッダ部,UN01005765,ASBIE,,,,,,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,,,,,,,送信者／国際アドレスグループ,送信者の国際アドレスグループ,0..1
127,ヘッダ部,UN01005857,ABIE,,,,,,,CI_ Universal_ Communication. Details,,,,,,国際アドレスクラス,"国際アドレスクラス
（JP-PINTのアドレス方式に対応）",－
128,ヘッダ部,UN01005859,BBIE,,,,,,,,CI_ Universal_ Communication. Channel. Code,,,,,国際アドレス登録機関コード,"ISOがコード表6523に登録した国際アドレス登録機関のコード
（デジタル庁／JP-PINTに対応）",0..1
129,ヘッダ部,UN01005860,BBIE,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,発注者国際アドレス,"国際アドレス登録機関が付与する国際アドレス番号
（わが国ではJP-PINTアドレスとしてデジタル庁が付与する番号）",0..1
130,ヘッダ部,UN01011516,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,,,,,,,,,インボイス文書契約／プロジェクト調達グループ,プロジェクト調達に関するグループ,0..1
131,ヘッダ部,UN01000371,ABIE,,,,,Procuring_ Project. Details,,,,,,,,プロジェクト調達クラス,プロジェクト調達に関する情報のクラス,－
132,ヘッダ部,UN01000372,BBIE,,,,,,Procuring_ Project. Identification. Identifier,,,,,,,プロジェクトID,発注品に関するプロジェクト・工事案件等を管理するためのID。,0..1
133,ヘッダ部,UN01000374,BBIE,,,,,,Procuring_ Project. Name. Text,,,,,,,プロジェクト名,発注品に関するプロジェクト・工事案件等の名称。,0..1
134,ヘッダ部,UN01005939,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,,,,,,,,,,,インボイス文書取引内容／決済グループ,決済に関するグループ,1..1
135,ヘッダ部,UN01005909,ABIE,,,CIIH_ Supply Chain_ Trade Settlement. Details,,,,,,,,,,インボイス文書決済クラス,インボイス文書の決済に関する情報からなるクラス。,－
136,ヘッダ部,UN01005913,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Tax_ Currency. Code,,,,,,,,,税通貨コード,"税の通貨コード。
＝JPY（デフォルト）",0..1
137,ヘッダ部,UN01005914,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoice_ Currency. Code,,,,,,,,,文書通貨コード,"インボイス文書の通貨コード。
＝JPY（デフォルト）",1..1
138,ヘッダ部,UN01005915,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Payment_ Currency. Code,,,,,,,,,支払通貨コード,請求支払通貨コード（デフォルトはJPY）,0..1
139,ヘッダ部,UN01005916,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoicer. CI_ Trade_ Party,,,,,,,,,インボイス文書決済／請求者グループ,請求者にかかわる情報,0..1
140,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,請求者クラス,請求者に関する情報からなるクラス。,－
141,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,請求者ID,請求者のID。,0..1
142,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,請求者国際企業ID,企業を表す国際企業ID。ISO6523に登録された国際企業登録機関を属性で指定する。中小企業共通EDIでは法人IDの利用を推奨,0..1
143,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,請求者名称,請求者の企業等を表す名称。,0..1
144,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,請求者適格請求書発行事業者登録番号,登録された請求者の適格請求書発行事業者登録番号,0..1
145,ヘッダ部,UN01012925,BBIE,,,,,,CI_ Trade_ Party. Type. Code,,,,,,,請求者タイプコード,適格請求書発行事業者の課税区分を識別するコード,1..1
146,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,請求者／連絡先グループ,請求者の連絡先に関する情報,0..1
147,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,請求者連絡先クラス,連絡先に関する情報からなるクラス。,－
148,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,請求部門ID,請求者の請求部門を表すID。,0..1
149,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,請求者担当名,請求者個人の、文字で表現された名前。,0..1
150,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,請求者部門名,請求者の請求部門の名称。,0..1
151,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,請求者担当ID,請求者個人を表すID,0..1
152,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1
153,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－
