-,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ
12,0,0,4,0,0,2022-07-14,8,,1,,,111,三菱東京UFJ当座預金,,,110000,,,,,,,,,131,売掛金,,,110000,,,,2,,,㈱越後屋,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
13,0,0,3,0,0,2022-07-20,9,,1,,,111,三菱東京UFJ当座預金,,,29810,,,,,,,,,999,諸口,,,29810,,,,,,,大手町機工､売掛回収,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
14,0,0,3,0,0,2022-07-20,9,,2,,,512,支払手数料,,,880,32,,10,56,,,,,999,諸口,,,880,,,,,,,大手町機工､振込料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
15,0,0,3,0,0,2022-07-20,9,,3,,,999,諸口,,,30690,,,,,,,,,131,売掛金,,,30690,,,,2,,,大手町機工､振込入金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
16,0,0,4,0,0,2022-07-25,10,,1,,,528,地代・家賃,,,14300,32,,10,55,,,,,110,城北信当座預金,,,14300,,,,,,,"八重洲商事駐車場､13,000X税1,300､8月分",,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
17,0,0,4,0,0,2022-07-25,11,,1,,,110,城北信当座預金,,,6600000,,,,,,,,,111,三菱東京UFJ当座預金,,,6600000,,,,,,,銀行振替,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
18,0,0,3,0,0,2022-07-25,12,,1,,,111,三菱東京UFJ当座預金,,,6486393,,,,,,,,,999,諸口,,,6486393,,,,,,,日比谷建業㈱､売掛回収,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
19,0,0,3,0,0,2022-07-25,12,,2,,,512,支払手数料,,,550,32,,10,56,,,,,999,諸口,,,550,,,,,,,日比谷建業㈱､振込料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
20,0,0,3,0,0,2022-07-25,12,,3,,,999,諸口,,,6486943,,,,,,,,,131,売掛金,,,6486943,,,,2,,,日比谷建業㈱､振込入金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
21,0,0,4,0,0,2022-07-25,13,,1,,,130,受取手形,,,1210000,,,,3,,,,,131,売掛金,,,1210000,,,,2,,,日比谷建業㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
22,0,0,4,0,0,2022-07-25,14,,1,,,523,通信費,,,6496,32,,10,56,,,,,110,城北信当座預金,,,6496,,,,,,,NTTﾌｧｲﾅﾝｽ､電話料金,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
23,0,0,4,0,0,2022-07-25,15,,1,,,201,買掛金,,,1210000,,,,43,,,,,130,受取手形,,,1210000,,,,3,,,神田産業㈱､日比谷建業㈱分裏書,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
24,0,0,4,0,0,2022-07-25,16,,1,,,201,買掛金,,,509464,,,,43,,,,,110,城北信当座預金,,,509464,,,,,,,神田産業㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
25,0,0,4,0,0,2022-07-25,17,,1,,,201,買掛金,,,1100000,,,,43,,,,,131,売掛金,,,1100000,,,,2,,,神田産業㈱､相殺,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
26,0,0,4,0,0,2022-07-26,26,,1,,,208,預り金,,,7373,,,,68,,,,,100,現金,,,7373,,,,,,,麹町税務署､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
27,0,0,3,0,0,2022-07-26,27,,1,,,110,城北信当座預金,,,10007756,,,,,,,,,999,諸口,,,10007756,,,,,,,城北信金､定期預金解約,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-09-06
28,0,0,3,0,0,2022-07-26,27,,2,,,999,諸口,,,10007678,,,,,,,,,125,城北信定期預金,,,10007678,,,,28,,,城北信金､定期預金解約,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-09-06
29,0,0,3,0,0,2022-07-26,27,,3,,,999,諸口,,,91,,,,,,,,,600,受取利息,,,91,20,,,6,,,城北信金､定期預金利息,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-09-06
30,0,0,3,0,0,2022-07-26,27,,4,,,526,租税公課,,,13,,,,59,,,,,999,諸口,,,13,,,,,,,城北信金､利子所得税,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-09-06
31,0,0,3,0,0,2022-07-26,28,,1,,,110,城北信当座預金,,,5890111,,,,,,,,,999,諸口,,,5890111,,,,,,,城北信金､定期預金解約,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-09-06
32,0,0,3,0,0,2022-07-26,28,,2,,,999,諸口,,,5890100,,,,,,,,,125,城北信定期預金,,,5890100,,,,28,,,城北信金､定期預金解約,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
33,0,0,3,0,0,2022-07-26,28,,3,,,999,諸口,,,12,,,,,,,,,600,受取利息,,,12,20,,,6,,,城北信金､定期預金利息,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-09-06
34,0,0,3,0,0,2022-07-26,28,,4,,,526,租税公課,,,1,,,,59,,,,,999,諸口,,,1,,,,,,,城北信金､利子所得税,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-09-06
35,0,0,3,0,0,2022-07-28,29,,1,,,512,支払手数料,,,64700,32,,10,56,,,,,999,諸口,,,64700,,,,,,,ＸＹＺ司法書士､解散登記分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
36,0,0,3,0,0,2022-07-28,29,,2,,,999,諸口,,,50000,,,,,,,,,154,仮払金,,,50000,,,,9,,,ＸＹＺ司法書士､解散登記分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
37,0,0,3,0,0,2022-07-28,29,,3,,,999,諸口,,,50673,,,,,,,,,110,城北信当座預金,,,50673,,,,,,,ＸＹＺ司法書士､解散登記分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
38,0,0,3,0,0,2022-07-28,29,,4,,,526,租税公課,,,40772,,,,59,,,,,999,諸口,,,40772,,,,,,,ＸＹＺ司法書士､解散登記分印紙代等,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
39,0,0,3,0,0,2022-07-28,29,,5,,,999,諸口,,,4799,,,,,,,,,208,預り金,,,4799,,,,4,,,ＸＹＺ司法書士､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
40,0,0,4,0,0,2022-07-25,30,,1,,,531,保険料,,,15,30,,,56,,,,,100,現金,,,15,,,,,,,ＡＢＣ社会保険労働事務所､労保精算金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
41,0,0,4,0,0,2022-07-29,31,,1,,,201,買掛金,,,22143,,,,43,,,,,110,城北信当座預金,,,22143,,,,,,,美土代町金商㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
42,0,0,4,0,0,2022-07-29,32,,1,,,529,修繕費,,,4840,32,,10,56,,,,,111,三菱東京UFJ当座預金,,,4840,,,,,,,㈱大塚商会､保守料,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-09-06
43,0,0,4,0,0,2022-07-29,33,,1,,,529,修繕費,,,61380,32,,10,56,,,,,110,城北信当座預金,,,61380,,,,,,,㈲錦町ｵｰﾄ､ﾄﾗｯｸ整備代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
44,0,0,4,0,0,2022-07-29,34,,1,,,201,買掛金,,,2601610,,,,43,,,,,110,城北信当座預金,,,2601610,,,,,,,小川町工業,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
45,0,0,4,0,0,2022-07-29,35,,1,,,201,買掛金,,,528125,,,,43,,,,,110,城北信当座預金,,,528125,,,,,,,㈱三崎産業,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
46,0,0,4,0,0,2022-07-29,36,,1,,,201,買掛金,,,26400,,,,43,,,,,110,城北信当座預金,,,26400,,,,,,,アラカワ㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
47,0,0,4,0,0,2022-07-29,37,,1,,,201,買掛金,,,28050,,,,43,,,,,110,城北信当座預金,,,28050,,,,,,,鍛冶町製作所,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
48,0,0,4,0,0,2022-07-29,38,,1,,,201,買掛金,,,119521,,,,43,,,,,131,売掛金,,,119521,,,,2,,,東京産業㈱､相殺,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
49,0,0,4,0,0,2022-07-29,39,,1,,,201,買掛金,,,116979,,,,43,,,,,110,城北信当座預金,,,116979,,,,,,,東京産業㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
50,0,0,4,0,0,2022-07-29,40,,1,,,201,買掛金,,,892100,,,,43,,,,,110,城北信当座預金,,,892100,,,,,,,ニホン工業㈱,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
51,0,0,3,0,0,2022-07-29,41,,1,,,110,城北信当座預金,,,775800,,,,,,,,,999,諸口,,,775800,,,,,,,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
52,0,0,3,0,0,2022-07-29,41,,2,,,999,諸口,,,850000,,,,,,,,,701,固定資産譲渡収入,,,850000,2,,10,7,,,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却収入,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
53,0,0,3,0,0,2022-07-29,41,,3,,,512,支払手数料,,,69000,32,,10,56,,,,,999,諸口,,,69000,,,,,,,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却件登録閉鎖手数料,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
54,0,0,3,0,0,2022-07-29,41,,4,,,512,支払手数料,,,5200,30,,,56,,,,,999,諸口,,,5200,,,,,,,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却件登録閉鎖法定費用,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
55,0,0,3,0,0,2022-07-29,42,,1,,,525,消耗品費,,,12636,32,,10,56,,,,,110,城北信当座預金,,,12636,,,,,,,札の辻､ｶﾞｿﾘﾝ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
56,0,0,3,0,0,2022-07-29,42,,2,,,153,未収入金,,,100000,,,,8,,,,,701,固定資産譲渡収入,,,100000,2,,10,7,,,北海道太郎､社有乗用車マークＸ売却,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
57,0,0,4,0,0,2022-07-02,43,,1,,,521,接待交際費,,,8910,32,,10,56,,,,,100,現金,,,8910,,,,,,,ライフ､中元贈答品,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
58,0,0,4,0,0,2022-07-04,44,,1,,,523,通信費,,,1470,32,,10,56,,,,,100,現金,,,1470,,,,,,,日本郵便､ﾊｶﾞｷ代他,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
59,0,0,4,0,0,2022-07-04,45,,1,,,522,旅費・交通費,,,1220,32,,10,56,,,,,100,現金,,,1220,,,,,,,実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
60,0,0,4,0,0,2022-07-06,46,,1,,,522,旅費・交通費,,,980,32,,10,56,,,,,100,現金,,,980,,,,,,,日本交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
61,0,0,4,0,0,2022-07-06,47,,1,,,202,借入金,,,12063,,,,84,,,,,100,現金,,,12063,,,,,,,総合食品ストア､北海道扱返金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
62,0,0,4,0,0,2022-07-07,48,,1,,,522,旅費・交通費,,,2900,32,,10,56,,,,,100,現金,,,2900,,,,,,,日月東交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
63,0,0,4,0,0,2022-07-07,49,,1,,,522,旅費・交通費,,,1140,32,,10,56,,,,,100,現金,,,1140,,,,,,,明治交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
64,0,0,4,0,0,2022-07-08,50,,1,,,526,租税公課,,,300,,,,59,,,,,100,現金,,,300,,,,,,,千代田区役所､収入証紙,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
65,0,0,4,0,0,2022-07-09,51,,1,,,522,旅費・交通費,,,900,32,,10,56,,,,,100,現金,,,900,,,,,,,大和自動車､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
66,0,0,4,0,0,2022-07-09,52,,1,,,522,旅費・交通費,,,900,32,,10,56,,,,,100,現金,,,900,,,,,,,実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
67,0,0,4,0,0,2022-07-12,53,,1,,,522,旅費・交通費,,,900,32,,10,56,,,,,100,現金,,,900,,,,,,,実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
68,0,0,4,0,0,2022-07-12,54,,1,,,521,接待交際費,,,15000,32,,K8.0,56,,,,,100,現金,,,15000,,,,,,,六花亭､食品贈答品,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-09-06
69,0,0,4,0,0,2022-07-14,55,,1,,,522,旅費・交通費,,,1220,32,,10,56,,,,,100,現金,,,1220,,,,,,,東京無線､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
70,0,0,4,0,0,2022-07-14,56,,1,,,522,旅費・交通費,,,1940,32,,10,56,,,,,100,現金,,,1940,,,,,,,日の丸交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
71,0,0,4,0,0,2022-07-14,57,,1,,,202,借入金,,,7290,,,,84,,,,,100,現金,,,7290,,,,,,,総合食品ストア､北海道扱返金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
72,0,0,4,0,0,2022-07-16,58,,1,,,522,旅費・交通費,,,900,32,,10,56,,,,,100,現金,,,900,,,,,,,東京西交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
73,0,0,4,0,0,2022-07-20,59,,1,,,202,借入金,,,6800,,,,84,,,,,100,現金,,,6800,,,,,,,仲よし､北海道扱返金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
74,0,0,4,0,0,2022-07-22,60,,1,,,202,借入金,,,8680,,,,84,,,,,100,現金,,,8680,,,,,,,総合食品ストア､北海道扱返金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
75,0,0,4,0,0,2022-07-22,61,,1,,,526,租税公課,,,4200,,,,59,,,,,100,現金,,,4200,,,,,,,千代田区役所､収入証紙,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
76,0,0,4,0,0,2022-07-25,62,,1,,,523,通信費,,,1674,32,,10,56,,,,,100,現金,,,1674,,,,,,,日本郵便､書留郵便,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
77,0,0,4,0,0,2022-07-25,63,,1,,,526,租税公課,,,600,,,,59,,,,,100,現金,,,600,,,,,,,東京法務局､印紙代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
78,0,0,4,0,0,2022-07-25,64,,1,,,526,租税公課,,,3150,,,,59,,,,,100,現金,,,3150,,,,,,,東京法務局､印紙代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
79,0,0,4,0,0,2022-07-31,65,,1,,,712,固定資産譲渡費用,,,1,,,,62,,,,,164,車両運搬具,,,1,,,,21,,,営業車､マークＸ売却簿価振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-09-06
80,0,0,4,0,0,2022-07-31,66,,1,,,712,固定資産譲渡費用,,,1,,,,62,,,,,164,車両運搬具,,,1,,,,21,,,トラック､エルフ売却簿価振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-09-06
81,0,0,4,0,0,2022-07-31,67,,1,,,711,固定資産除却損,,,1,,,,62,,,,,160,建物,,,1,,,,21,,,倉庫用ハウス廃棄,,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-09-06
82,0,0,4,0,0,2022-07-31,68,,1,,,712,固定資産譲渡費用,,,5,,,,62,,,,,165,備品,,,5,,,,21,,,北海道太郎､社有備品売却,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
83,0,0,4,0,0,2022-07-31,69,,1,,,153,未収入金,,,5,,,,8,,,,,701,固定資産譲渡収入,,,5,2,,10,7,,,北海道太郎､社有備品売却,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
84,0,0,3,0,0,2022-07-31,70,,1,,,461,仕入高,,,1,32,,10,41,,,,,999,諸口,,,1,,,,,,,賃貸機材､ｽﾄﾛﾝｸﾞｹﾟｰﾄ売却､簿価振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-09-06
85,0,0,3,0,0,2022-07-31,70,,2,,,999,諸口,,,1,,,,,,,,,162,賃貸用機器,,,1,,,,21,,,賃貸機材､ｽﾄﾛﾝｸﾞｹﾟｰﾄ売却､簿価振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-09-06
86,0,0,4,0,0,2022-07-04,71,,1,,,131,売掛金,,,30690,,,,2,,,,,810,売上高,,,30690,2,,10,1,,,㈲いろは機工､ﾊﾟｲﾌﾟ他納品,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
87,0,0,4,0,0,2022-07-20,72,,1,,,131,売掛金,,,1100000,,,,2,,,,,810,売上高,,,1100000,2,,10,1,,,神田産業㈱､在庫機材売却,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
88,0,0,4,0,0,2022-07-04,73,,1,,,461,仕入高,,,22143,32,,10,41,,,,,201,買掛金,,,22143,,,,43,,,東京商事㈱､いろは機工売却分,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
89,0,0,4,0,0,2022-07-31,74,,1,,,202,借入金,,,100005,,,,84,,,,,153,未収入金,,,100005,,,,8,,,北海道太郎､固定資産売却代金相殺,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
90,0,0,4,0,0,2022-07-10,75,,1,,,208,預り金,,,16048,,,,68,,,,,202,借入金,,,16048,,,,23,,,麹町税務署､源泉所得税納付､社長立替分,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
91,0,0,4,0,0,2022-08-01,1,,1,,,522,旅費・交通費,,,820,32,,10,56,,,,,100,現金,,,820,,,,,,,実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-10-05
92,0,0,4,0,0,2022-08-24,3,,1,,,522,旅費・交通費,,,900,32,,10,56,,,,,100,現金,,,900,,,,,,,実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-10-05
93,0,0,4,0,0,2022-08-24,4,,1,,,202,借入金,,,7730,,,,84,,,,,100,現金,,,7730,,,,,,,北海道太郎分返金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
94,0,0,4,0,0,2022-08-26,5,,1,,,522,旅費・交通費,,,980,32,,10,56,,,,,100,現金,,,980,,,,,,,帝都交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
95,0,0,4,0,0,2022-08-01,6,,1,,,523,通信費,,,4003,32,,10,56,,,,,111,三菱東京UFJ当座預金,,,4003,,,,,,,NTTﾌｧｲﾅﾝｽ､携帯電話料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-10-05
96,0,0,4,0,0,2022-08-08,7,,1,,,208,預り金,,,4799,,,,68,,,,,100,現金,,,4799,,,,,,,ＸＹＺ司法書士､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
97,0,0,4,0,0,2022-08-09,8,,1,,,512,支払手数料,,,440,32,,10,56,,,,,110,城北信当座預金,,,440,,,,,,,城北信金､残高証明書,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2022-10-08
98,0,0,4,0,0,2022-08-10,9,,1,,,512,支払手数料,,,1100,32,,10,56,,,,,110,城北信当座預金,,,1100,,,,,,,城北信金､ｱﾝｻｰﾎﾝ手数料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-10-05
99,0,0,4,0,0,2022-08-10,10,,1,,,204,未払金,,,15350,,,,67,,,,,110,城北信当座預金,,,15350,,,,,,,信金ｸﾚｼﾞｯﾄ扱ETC､有料道路代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2022-10-08
100,0,0,3,0,0,2022-08-10,11,,1,,,512,支払手数料,,,24444,32,,10,56,,,,,999,諸口,,,24444,,,,,,,大田コンサル､顧問料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
101,0,0,3,0,0,2022-08-10,11,,2,,,999,諸口,,,22176,,,,,,,,,110,城北信当座預金,,,22176,,,,,,,大田コンサル､顧問料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
102,0,0,3,0,0,2022-08-10,11,,3,,,999,諸口,,,2268,,,,,,,,,208,預り金,,,2268,,,,4,,,大田コンサル､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
103,0,0,4,0,0,2022-08-12,12,,1,,,110,城北信当座預金,,,50000,,,,,,,,,181,出資金,,,50000,,,,22,,,城北信金､出資金解約戻り,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2022-10-08
104,0,0,3,0,0,2022-08-19,14,,1,,,209,未払消費税等,,,609600,,,,67,,,,,110,城北信当座預金,,,609600,,,,,,,麹町税務署､前期確定消費税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
105,0,0,3,0,0,2022-08-19,14,,2,,,211,法人税等充当金,,,35000,,,,63,,,,,110,城北信当座預金,,,35000,,,,,,,東京都､前期確定都民税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2022-10-08
106,0,0,3,0,0,2022-08-25,14,,1,,,111,三菱東京UFJ当座預金,,,469150,,,,,,,,,999,諸口,,,469150,,,,,,,㈱縄文式､売掛回収,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
107,0,0,3,0,0,2022-08-25,14,,2,,,512,支払手数料,,,660,32,,10,56,,,,,999,諸口,,,660,,,,,,,㈱縄文式､振込料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
108,0,0,3,0,0,2022-08-25,14,,3,,,999,諸口,,,469810,,,,,,,,,131,売掛金,,,469810,,,,2,,,㈱縄文式､振込入金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
109,0,0,4,0,0,2022-08-25,15,,1,,,523,通信費,,,5896,32,,10,56,,,,,110,城北信当座預金,,,5896,,,,,,,NTTﾌｧｲﾅﾝｽ､電話料金,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-10-05
110,0,0,4,0,0,2022-08-25,16,,1,,,523,通信費,,,4003,32,,10,56,,,,,111,三菱東京UFJ当座預金,,,4003,,,,,,,NTTﾌｧｲﾅﾝｽ､携帯電話料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-10-05
111,0,0,4,0,0,2022-08-31,17,,1,,,529,修繕費,,,4840,32,,10,56,,,,,111,三菱東京UFJ当座預金,,,4840,,,,,,,㈱大塚商会､保守料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2022-10-08
