GL02,GL02-GL55,GL55-GL60d,GL55-GL60c,GL55-GL61,GL02-01,GL64-01,GL64-02,GL64-03,GL64-04,GL57-01,GL57-02,GL55-03,GL55-04,GL69-02,GL56-02,GL63-01d,GL63-02d,GL63-03d,GL56-01d,GL60-01d,GL60-02d,GL60-03d,GL63-01c,GL63-02c,GL63-03c,GL56-01c,GL60-01c,GL60-02c,GL60-03c,GL61-01,GL61-02,GL61-03
0001-20090402-142-6-1-473,0,,,,,,,,,,,account,高速代,2009-04-02,ISO4217:JPY,740,車両費,VehiclesExpense,2458,部門,040,大阪,111,現金,CashHand,2458,部門,000,共通部門,,,
0001-20090402-142-6-1-473,1,,,,,,,,,,,account,高速代,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,122,部門,040,大阪,111,現金,CashHand,122,部門,000,共通部門,,,
0001-20090402-142-6-1-473,3,,,,,,,,,,,account,駐車代,2009-04-02,ISO4217:JPY,740,車両費,VehiclesExpense,591,部門,040,大阪,111,現金,CashHand,591,部門,000,共通部門,,,
0001-20090402-142-6-1-473,4,,,,,,,,,,,account,駐車代,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,29,部門,040,大阪,111,現金,CashHand,29,部門,000,共通部門,,,
0001-20090402-142-6-1-473,5,,,,,,,,,,,account,ガソリン代,2009-04-02,ISO4217:JPY,740,車両費,VehiclesExpense,4620,部門,040,大阪,111,現金,CashHand,4620,部門,000,共通部門,,,
0001-20090402-142-6-1-473,6,,,,,,,,,,,account,ガソリン代,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,230,部門,040,大阪,111,現金,CashHand,230,部門,000,共通部門,,,
0001-20090402-142-6-1-473,7,,,,,,,,,,,account,洗車券代,2009-04-02,ISO4217:JPY,740,車両費,VehiclesExpense,5715,部門,040,大阪,111,現金,CashHand,5715,部門,000,共通部門,,,
0001-20090402-142-6-1-473,8,,,,,,,,,,,account,洗車券代,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,285,部門,040,大阪,111,現金,CashHand,285,部門,000,共通部門,,,
0001-20090402-19-3-1-467,,,,,3-467,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090402-19-3-1-467,0,,,,,,,,,,,account,旅費,2009-04-02,ISO4217:JPY,726,旅費交通費,TravelingExpense,10477,部門,010,札幌,111,現金,CashHand,10477,部門,000,共通部門,,,
0001-20090402-19-3-1-467,1,,,,,,,,,,,account,旅費,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,523,部門,010,札幌,111,現金,CashHand,523,部門,000,共通部門,,,
0001-20090402-68-4-1-469,,,,,4-469,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090402-68-4-1-469,0,,,,,,,,,,,account,トイレットペーパー他,2009-04-02,ISO4217:JPY,791,雑費,MiscellaneousExpense,2829,部門,010,札幌,111,現金,CashHand,2829,部門,000,共通部門,,,
0001-20090402-68-4-1-469,1,,,,,,,,,,,account,トイレットペーパー他,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,141,部門,010,札幌,111,現金,CashHand,141,部門,000,共通部門,,,
0001-20090403-134-8-1-477,,,,,8-477,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090403-134-8-1-477,0,,,,,,,,,,,account,用紙,2009-04-03,ISO4217:JPY,754,事務用消耗品費,StationeryExpense,14858,部門,010,札幌,111,現金,CashHand,14858,部門,000,共通部門,,,
0001-20090403-134-8-1-477,1,,,,,,,,,,,account,用紙,2009-04-03,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,742,部門,010,札幌,111,現金,CashHand,742,部門,000,共通部門,,,
0001-20090403-41-7-1-475,,,,,7-475,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090403-41-7-1-475,1,,,,,,,,,,,account,結婚式会費,2009-04-03,ISO4217:JPY,733,交際接待費,EntertainmentExpense,12000,部門,020,020,111,現金,CashHand,12000,部門,000,共通部門,,,
0001-20090404-310-9-1-479,,,,,9-479,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090404-310-9-1-479,0,,,,,,,,,,,account,ガソリン代,2009-04-04,ISO4217:JPY,740,車両費,VehiclesExpense,6486,部門,050,九州,111,現金,CashHand,6486,部門,000,共通部門,,,
0001-20090404-310-9-1-479,1,,,,,,,,,,,account,ガソリン代,2009-04-04,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,324,部門,050,九州,111,現金,CashHand,324,部門,000,共通部門,,,
0001-20090404-310-9-1-479,3,,,,,,,,,,,account,高速代,2009-04-04,ISO4217:JPY,740,車両費,VehiclesExpense,9715,部門,050,九州,111,現金,CashHand,9715,部門,000,共通部門,,,
0001-20090404-310-9-1-479,4,,,,,,,,,,,account,高速代,2009-04-04,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,485,部門,050,九州,111,現金,CashHand,485,部門,000,共通部門,,,
0001-20090404-310-9-1-479,5,,,,,,,,,,,account,駐車代,2009-04-04,ISO4217:JPY,740,車両費,VehiclesExpense,1200,部門,050,九州,111,現金,CashHand,1200,部門,000,共通部門,,,
0001-20090404-310-9-1-479,6,,,,,,,,,,,account,駐車代,2009-04-04,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,60,部門,050,九州,111,現金,CashHand,60,部門,000,共通部門,,,
0001-20090405-133-11-1-483,,,,,11-483,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090405-133-11-1-483,0,,,,,,,,,,,account,税理士報酬,2009-04-05,ISO4217:JPY,746,支払報酬,ProfessionalsFee,133058,部門,020,東京,131,普通預金,OrdinaryDeposit,133058,,,,,,
0001-20090405-133-11-1-483,0,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090405-133-11-1-483,0,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
0001-20090405-133-11-1-483,1,,,,,,,,,,,account,税理士報酬,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,6652,部門,020,東京,131,普通預金,OrdinaryDeposit,6652,,,,,,
0001-20090405-133-11-1-483,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090405-133-11-1-483,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
0001-20090405-139-12-1-485,,,,,12-485,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090405-139-12-1-485,0,,,,,,,,,,,account,制服代,2009-04-05,ISO4217:JPY,724,福利厚生費,WelfareExpense,52981,部門,040,大阪,322,未払金,AccountsPayableOther,52981,部門,000,共通部門,,,
0001-20090405-139-12-1-485,1,,,,,,,,,,,account,制服代,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2649,部門,040,大阪,322,未払金,AccountsPayableOther,2649,部門,000,共通部門,,,
0001-20090405-254-13-1-487,,,,,13-487,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090405-254-13-1-487,1,,,,,,,,,,,account,09年4月5日伝票No190株式会社　渡辺産業,2009-04-05,ISO4217:JPY,131,普通預金,OrdinaryDeposit,2959035,,,,152,売掛金,AccountsReceivableTradeGross,2959035,部門,000,共通部門,customer,022,㈱渡辺産業
0001-20090405-254-13-1-487,1,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
0001-20090405-254-13-1-487,1,1,,,,,,,,,,,,,,,,,,補助科目,50,福岡　北九州,,,,,,,,,,
0001-20090405-254-13-1-487,2,,,,,,,,,,,account,09年4月5日伝票No190株式会社　渡辺産業,2009-04-05,ISO4217:JPY,741,支払手数料,CommissionExpense,600,部門,050,九州,152,売掛金,AccountsReceivableTradeGross,600,部門,000,共通部門,customer,022,㈱渡辺産業
0001-20090405-254-13-1-487,3,,,,,,,,,,,account,09年4月5日伝票No190株式会社　渡辺産業,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,30,部門,050,九州,152,売掛金,AccountsReceivableTradeGross,30,部門,000,共通部門,customer,022,㈱渡辺産業
0001-20090405-255-14-1-489,,,,,14-489,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090405-255-14-1-489,1,,,,,,,,,,,account,09年4月5日伝票No191佐々木販売株式会社,2009-04-05,ISO4217:JPY,131,普通預金,OrdinaryDeposit,1508295,,,,152,売掛金,AccountsReceivableTradeGross,1508295,部門,000,共通部門,customer,026,佐々木販売㈱
0001-20090405-255-14-1-489,1,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
0001-20090405-255-14-1-489,1,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,,,,,,,,
0001-20090405-255-14-1-489,2,,,,,,,,,,,account,09年4月5日伝票No191佐々木販売株式会社,2009-04-05,ISO4217:JPY,741,支払手数料,CommissionExpense,450,部門,020,東京,152,売掛金,AccountsReceivableTradeGross,450,部門,000,共通部門,customer,026,佐々木販売㈱
0001-20090405-255-14-1-489,3,,,,,,,,,,,account,09年4月5日伝票No191佐々木販売株式会社,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,22,部門,020,東京,152,売掛金,AccountsReceivableTradeGross,22,部門,000,共通部門,customer,026,佐々木販売㈱
0001-20090405-256-15-1-491,,,,,15-491,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090405-256-15-1-491,1,,,,,,,,,,,account,09年4月5日伝票No192岩下物産株式会社,2009-04-05,ISO4217:JPY,131,普通預金,OrdinaryDeposit,2171384,,,,152,売掛金,AccountsReceivableTradeGross,2171384,部門,000,共通部門,customer,027,岩下物産㈱
0001-20090405-256-15-1-491,1,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
0001-20090405-256-15-1-491,1,1,,,,,,,,,,,,,,,,,,補助科目,30,三井　名古屋,,,,,,,,,,
0001-20090405-256-15-1-491,2,,,,,,,,,,,account,09年4月5日伝票No192岩下物産株式会社,2009-04-05,ISO4217:JPY,741,支払手数料,CommissionExpense,700,部門,030,名古屋,152,売掛金,AccountsReceivableTradeGross,700,部門,000,共通部門,customer,027,岩下物産㈱
0001-20090405-256-15-1-491,3,,,,,,,,,,,account,09年4月5日伝票No192岩下物産株式会社,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,35,部門,030,名古屋,152,売掛金,AccountsReceivableTradeGross,35,部門,000,共通部門,customer,027,岩下物産㈱
0001-20090405-76-10-1-481,,,,,10-481,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090405-76-10-1-481,0,,,,,,,,,,,account,制服代,2009-04-05,ISO4217:JPY,724,福利厚生費,WelfareExpense,53334,部門,020,東京,322,未払金,AccountsPayableOther,53334,部門,000,共通部門,,,
0001-20090405-76-10-1-481,1,,,,,,,,,,,account,制服代,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2666,部門,020,東京,322,未払金,AccountsPayableOther,2666,部門,000,共通部門,,,
0001-20090406-10-16-1-493,,,,,16-493,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-10-16-1-493,0,,,,,,,,,,,account,ガソリン代,2009-04-06,ISO4217:JPY,740,車両費,VehiclesExpense,4023,部門,010,札幌,111,現金,CashHand,4023,部門,000,共通部門,,,
0001-20090406-10-16-1-493,1,,,,,,,,,,,account,ガソリン代,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,201,部門,010,札幌,111,現金,CashHand,201,部門,000,共通部門,,,
0001-20090406-106-19-1-499,,,,,19-499,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-106-19-1-499,0,,,,,,,,,,,account,食事代　ホテルララダ2名,2009-04-06,ISO4217:JPY,733,交際接待費,EntertainmentExpense,5372,部門,040,大阪,111,現金,CashHand,5372,部門,000,共通部門,,,
0001-20090406-106-19-1-499,1,,,,,,,,,,,account,食事代　ホテルララダ2名,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,268,部門,040,大阪,111,現金,CashHand,268,部門,000,共通部門,,,
0001-20090406-106-19-1-499,3,,,,,,,,,,,account,飲食代　スナック北新地,2009-04-06,ISO4217:JPY,733,交際接待費,EntertainmentExpense,30648,部門,040,大阪,111,現金,CashHand,30648,部門,000,共通部門,,,
0001-20090406-106-19-1-499,4,,,,,,,,,,,account,飲食代　スナック北新地,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1532,部門,040,大阪,111,現金,CashHand,1532,部門,000,共通部門,,,
0001-20090406-110-20-1-501,,,,,20-501,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-110-20-1-501,0,,,,,,,,,,,account,タクシー代,2009-04-06,ISO4217:JPY,726,旅費交通費,TravelingExpense,2181,部門,040,大阪,111,現金,CashHand,2181,部門,000,共通部門,,,
0001-20090406-110-20-1-501,1,,,,,,,,,,,account,タクシー代,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,109,部門,040,大阪,111,現金,CashHand,109,部門,000,共通部門,,,
0001-20090406-123-21-1-503,,,,,21-503,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-123-21-1-503,0,,,,,,,,,,,account,切手代,2009-04-06,ISO4217:JPY,727,通信費,CommunicationCost,38096,部門,040,大阪,111,現金,CashHand,38096,部門,000,共通部門,,,
0001-20090406-123-21-1-503,1,,,,,,,,,,,account,切手代,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1904,部門,040,大阪,111,現金,CashHand,1904,部門,000,共通部門,,,
0001-20090406-124-22-1-505,,,,,22-505,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-124-22-1-505,1,,,,,,,,,,,account,収入印紙,2009-04-06,ISO4217:JPY,738,租税公課,TaxesOtherThanIncomeTaxes,6000,部門,040,040,111,現金,CashHand,6000,部門,000,共通部門,,,
0001-20090406-147-23-1-507,,,,,23-507,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-147-23-1-507,0,,,,,,,,,,,account,ガソリン代,2009-04-06,ISO4217:JPY,740,車両費,VehiclesExpense,4882,部門,050,九州,322,未払金,AccountsPayableOther,4882,部門,000,共通部門,,,
0001-20090406-147-23-1-507,1,,,,,,,,,,,account,ガソリン代,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,244,部門,050,九州,322,未払金,AccountsPayableOther,244,部門,000,共通部門,,,
0001-20090406-156-24-1-509,,,,,24-509,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-156-24-1-509,0,,,,,,,,,,,account,出張旅費,2009-04-06,ISO4217:JPY,726,旅費交通費,TravelingExpense,7143,部門,050,九州,111,現金,CashHand,7143,部門,000,共通部門,,,
0001-20090406-156-24-1-509,1,,,,,,,,,,,account,出張旅費,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,357,部門,050,九州,111,現金,CashHand,357,部門,000,共通部門,,,
0001-20090406-236-25-1-511,,,,,25-511,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-236-25-1-511,0,,,,,,,,,,,account,ゴルフプレー代2名,2009-04-06,ISO4217:JPY,733,交際接待費,EntertainmentExpense,25239,部門,020,東京,111,現金,CashHand,25239,部門,000,共通部門,,,
0001-20090406-236-25-1-511,1,,,,,,,,,,,account,ゴルフプレー代2名,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1261,部門,020,東京,111,現金,CashHand,1261,部門,000,共通部門,,,
0001-20090406-305-26-1-513,,,,,26-513,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-305-26-1-513,1,,,,,,,,,,,account,資金移動,2009-04-06,ISO4217:JPY,131,普通預金,OrdinaryDeposit,1000000,,,,131,普通預金,OrdinaryDeposit,1000000,,,,,,
0001-20090406-305-26-1-513,1,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
0001-20090406-305-26-1-513,1,1,,,,,,,,,,,,,,,,,,補助科目,40,三菱東京　梅田,,,,,,,,,,
0001-20090406-42-17-1-495,,,,,17-495,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-42-17-1-495,0,,,,,,,,,,,account,昼食代　フロンティホテル,2009-04-06,ISO4217:JPY,733,交際接待費,EntertainmentExpense,4429,部門,020,東京,111,現金,CashHand,4429,部門,000,共通部門,,,
0001-20090406-42-17-1-495,1,,,,,,,,,,,account,昼食代　フロンティホテル,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,221,部門,020,東京,111,現金,CashHand,221,部門,000,共通部門,,,
0001-20090406-84-18-1-497,,,,,18-497,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090406-84-18-1-497,0,,,,,,,,,,,account,切手代,2009-04-06,ISO4217:JPY,727,通信費,CommunicationCost,66667,部門,030,名古屋,111,現金,CashHand,66667,部門,000,共通部門,,,
0001-20090406-84-18-1-497,1,,,,,,,,,,,account,切手代,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3333,部門,030,名古屋,111,現金,CashHand,3333,部門,000,共通部門,,,
0001-20090407-102-35-1-531,,,,,35-531,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090407-102-35-1-531,0,,,,,,,,,,,account,手土産代　阿部商店,2009-04-07,ISO4217:JPY,733,交際接待費,EntertainmentExpense,1000,部門,040,大阪,111,現金,CashHand,1000,部門,000,共通部門,,,
0001-20090407-102-35-1-531,1,,,,,,,,,,,account,手土産代　阿部商店,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,50,部門,040,大阪,111,現金,CashHand,50,部門,000,共通部門,,,
0001-20090407-20-27-1-515,,,,,27-515,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090407-20-27-1-515,0,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,37143,部門,010,札幌,111,現金,CashHand,37143,部門,000,共通部門,,,
0001-20090407-20-27-1-515,1,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1857,部門,010,札幌,111,現金,CashHand,1857,部門,000,共通部門,,,
0001-20090407-21-28-1-517,,,,,28-517,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090407-21-28-1-517,0,,,,,,,,,,,account,JR代,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,66191,部門,010,札幌,111,現金,CashHand,66191,部門,000,共通部門,,,
0001-20090407-21-28-1-517,1,,,,,,,,,,,account,JR代,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3309,部門,010,札幌,111,現金,CashHand,3309,部門,000,共通部門,,,
0001-20090407-22-29-1-519,,,,,29-519,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090407-22-29-1-519,0,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,47620,部門,010,札幌,111,現金,CashHand,47620,部門,000,共通部門,,,
0001-20090407-22-29-1-519,1,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2380,部門,010,札幌,111,現金,CashHand,2380,部門,000,共通部門,,,
0001-20090407-43-30-1-521,,,,,30-521,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090407-43-30-1-521,0,,,,,,,,,,,account,手土産代　阿部商事,2009-04-07,ISO4217:JPY,733,交際接待費,EntertainmentExpense,6315,部門,020,東京,111,現金,CashHand,6315,部門,000,共通部門,,,
0001-20090407-43-30-1-521,1,,,,,,,,,,,account,手土産代　阿部商事,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,315,部門,020,東京,111,現金,CashHand,315,部門,000,共通部門,,,
0001-20090407-56-31-1-523,,,,,31-523,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090407-56-31-1-523,0,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,20477,部門,020,東京,111,現金,CashHand,20477,部門,000,共通部門,,,
0001-20090407-56-31-1-523,1,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1023,部門,020,東京,111,現金,CashHand,1023,部門,000,共通部門,,,
0001-20090407-57-32-1-525,,,,,32-525,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090407-57-32-1-525,0,,,,,,,,,,,account,JR代,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,93143,部門,020,東京,111,現金,CashHand,93143,部門,000,共通部門,,,
0001-20090407-57-32-1-525,1,,,,,,,,,,,account,JR代,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,4657,部門,020,東京,111,現金,CashHand,4657,部門,000,共通部門,,,
0001-20090407-58-33-1-527,,,,,33-527,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090407-58-33-1-527,0,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,66667,部門,020,東京,111,現金,CashHand,66667,部門,000,共通部門,,,
0001-20090407-58-33-1-527,1,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3333,部門,020,東京,111,現金,CashHand,3333,部門,000,共通部門,,,
0001-20090407-69-34-1-529,,,,,34-529,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
