num,GL,GL詳細,借方勘定科目セグメント,貸方勘定科目セグメント,事業セグメント,仕訳ID,ソースコード,ソース説明,ERPサブレジャーモジュール,システムマニュアル識別子,作成者ユーザーID,作成日,仕訳エントリタイプコード,仕訳エントリ行説明,記帳日,通貨コード,借方勘定科目番号,借方勘定科目名,借方財務諸表キャプション,借方金額,借方勘定科目セグメント番号,借方勘定科目セグメントコード,借方勘定科目セグメント名,貸方勘定科目番号,貸方勘定科目名,貸方財務諸表キャプション,貸方金額,貸方勘定科目セグメント番号,貸方勘定科目セグメントコード,貸方勘定科目セグメント名,事業セグメント順序番号,事業セグメントコード,組織タイプ名
28,0001-20090402-68-4-1-469,0,,,,,,,,,,,account,トイレットペーパー他,2009-04-02,ISO4217:JPY,791,雑費,MiscellaneousExpense,2829,部門,010,札幌,111,現金,CashHand,2829,部門,000,共通部門,,,
29,0001-20090402-68-4-1-469,1,,,,,,,,,,,account,トイレットペーパー他,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,141,部門,010,札幌,111,現金,CashHand,141,部門,000,共通部門,,,
31,0001-20090403-134-8-1-477,,,,,8-477,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
32,0001-20090403-134-8-1-477,0,,,,,,,,,,,account,用紙,2009-04-03,ISO4217:JPY,754,事務用消耗品費,StationeryExpense,14858,部門,010,札幌,111,現金,CashHand,14858,部門,000,共通部門,,,
33,0001-20090403-134-8-1-477,1,,,,,,,,,,,account,用紙,2009-04-03,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,742,部門,010,札幌,111,現金,CashHand,742,部門,000,共通部門,,,
35,0001-20090403-41-7-1-475,,,,,7-475,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
37,0001-20090403-41-7-1-475,1,,,,,,,,,,,account,結婚式会費,2009-04-03,ISO4217:JPY,733,交際接待費,EntertainmentExpense,12000,部門,020,東京,111,現金,CashHand,12000,部門,000,共通部門,,,
38,0001-20090404-310-9-1-479,,,,,9-479,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
39,0001-20090404-310-9-1-479,0,,,,,,,,,,,account,ガソリン代,2009-04-04,ISO4217:JPY,740,車両費,VehiclesExpense,6486,部門,050,九州,111,現金,CashHand,6486,部門,000,共通部門,,,
40,0001-20090404-310-9-1-479,1,,,,,,,,,,,account,ガソリン代,2009-04-04,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,324,部門,050,九州,111,現金,CashHand,324,部門,000,共通部門,,,
42,0001-20090404-310-9-1-479,3,,,,,,,,,,,account,高速代,2009-04-04,ISO4217:JPY,740,車両費,VehiclesExpense,9715,部門,050,九州,111,現金,CashHand,9715,部門,000,共通部門,,,
43,0001-20090404-310-9-1-479,4,,,,,,,,,,,account,高速代,2009-04-04,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,485,部門,050,九州,111,現金,CashHand,485,部門,000,共通部門,,,
44,0001-20090404-310-9-1-479,5,,,,,,,,,,,account,駐車代,2009-04-04,ISO4217:JPY,740,車両費,VehiclesExpense,1200,部門,050,九州,111,現金,CashHand,1200,部門,000,共通部門,,,
45,0001-20090404-310-9-1-479,6,,,,,,,,,,,account,駐車代,2009-04-04,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,60,部門,050,九州,111,現金,CashHand,60,部門,000,共通部門,,,
46,0001-20090405-133-11-1-483,,,,,11-483,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
47,0001-20090405-133-11-1-483,0,,,,,,,,,,,account,税理士報酬,2009-04-05,ISO4217:JPY,746,支払報酬,ProfessionalsFee,133058,部門,020,東京,131,普通預金,OrdinaryDeposit,133058,,,,,,
48,0001-20090405-133-11-1-483,1,,,,,,,,,,,account,税理士報酬,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,6652,部門,020,東京,131,普通預金,OrdinaryDeposit,6652,,,,,,
50,0001-20090405-133-11-1-483,2,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
51,0001-20090405-133-11-1-483,2,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
52,0001-20090405-139-12-1-485,,,,,12-485,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
53,0001-20090405-139-12-1-485,0,,,,,,,,,,,account,制服代,2009-04-05,ISO4217:JPY,724,福利厚生費,WelfareExpense,52981,部門,040,大阪,322,未払金,AccountsPayableOther,52981,部門,000,共通部門,,,
54,0001-20090405-139-12-1-485,1,,,,,,,,,,,account,制服代,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2649,部門,040,大阪,322,未払金,AccountsPayableOther,2649,部門,000,共通部門,,,
56,0001-20090405-254-13-1-487,,,,,13-487,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
58,0001-20090405-254-13-1-487,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
59,0001-20090405-254-13-1-487,0,1,,,,,,,,,,,,,,,,,,補助科目,50,福岡　北九州,,,,,,,,,,
60,0001-20090405-254-13-1-487,1,,,,,,,,,,,account,09年4月5日伝票No190株式会社　渡辺産業,2009-04-05,ISO4217:JPY,131,普通預金,OrdinaryDeposit,2959035,,,,152,売掛金,AccountsReceivableTradeGross,2959035,部門,000,共通部門,customer,022,㈱渡辺産業
61,0001-20090405-254-13-1-487,2,,,,,,,,,,,account,09年4月5日伝票No190株式会社　渡辺産業,2009-04-05,ISO4217:JPY,741,支払手数料,CommissionExpense,600,部門,050,九州,152,売掛金,AccountsReceivableTradeGross,600,部門,000,共通部門,customer,022,㈱渡辺産業
62,0001-20090405-254-13-1-487,3,,,,,,,,,,,account,09年4月5日伝票No190株式会社　渡辺産業,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,30,部門,050,九州,152,売掛金,AccountsReceivableTradeGross,30,部門,000,共通部門,customer,022,㈱渡辺産業
64,0001-20090405-255-14-1-489,,,,,14-489,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
66,0001-20090405-255-14-1-489,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
67,0001-20090405-255-14-1-489,0,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,,,,,,,,
68,0001-20090405-255-14-1-489,1,,,,,,,,,,,account,09年4月5日伝票No191佐々木販売株式会社,2009-04-05,ISO4217:JPY,131,普通預金,OrdinaryDeposit,1508295,,,,152,売掛金,AccountsReceivableTradeGross,1508295,部門,000,共通部門,customer,026,佐々木販売㈱
69,0001-20090405-255-14-1-489,2,,,,,,,,,,,account,09年4月5日伝票No191佐々木販売株式会社,2009-04-05,ISO4217:JPY,741,支払手数料,CommissionExpense,450,部門,020,東京,152,売掛金,AccountsReceivableTradeGross,450,部門,000,共通部門,customer,026,佐々木販売㈱
70,0001-20090405-255-14-1-489,3,,,,,,,,,,,account,09年4月5日伝票No191佐々木販売株式会社,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,22,部門,020,東京,152,売掛金,AccountsReceivableTradeGross,22,部門,000,共通部門,customer,026,佐々木販売㈱
72,0001-20090405-256-15-1-491,,,,,15-491,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
74,0001-20090405-256-15-1-491,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
75,0001-20090405-256-15-1-491,0,1,,,,,,,,,,,,,,,,,,補助科目,30,三井　名古屋,,,,,,,,,,
76,0001-20090405-256-15-1-491,1,,,,,,,,,,,account,09年4月5日伝票No192岩下物産株式会社,2009-04-05,ISO4217:JPY,131,普通預金,OrdinaryDeposit,2171384,,,,152,売掛金,AccountsReceivableTradeGross,2171384,部門,000,共通部門,customer,027,岩下物産㈱
77,0001-20090405-256-15-1-491,2,,,,,,,,,,,account,09年4月5日伝票No192岩下物産株式会社,2009-04-05,ISO4217:JPY,741,支払手数料,CommissionExpense,700,部門,030,名古屋,152,売掛金,AccountsReceivableTradeGross,700,部門,000,共通部門,customer,027,岩下物産㈱
78,0001-20090405-256-15-1-491,3,,,,,,,,,,,account,09年4月5日伝票No192岩下物産株式会社,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,35,部門,030,名古屋,152,売掛金,AccountsReceivableTradeGross,35,部門,000,共通部門,customer,027,岩下物産㈱
80,0001-20090405-76-10-1-481,,,,,10-481,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
81,0001-20090405-76-10-1-481,0,,,,,,,,,,,account,制服代,2009-04-05,ISO4217:JPY,724,福利厚生費,WelfareExpense,53334,部門,020,東京,322,未払金,AccountsPayableOther,53334,部門,000,共通部門,,,
82,0001-20090405-76-10-1-481,1,,,,,,,,,,,account,制服代,2009-04-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2666,部門,020,東京,322,未払金,AccountsPayableOther,2666,部門,000,共通部門,,,
84,0001-20090406-10-16-1-493,,,,,16-493,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
85,0001-20090406-10-16-1-493,0,,,,,,,,,,,account,ガソリン代,2009-04-06,ISO4217:JPY,740,車両費,VehiclesExpense,4023,部門,010,札幌,111,現金,CashHand,4023,部門,000,共通部門,,,
86,0001-20090406-10-16-1-493,1,,,,,,,,,,,account,ガソリン代,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,201,部門,010,札幌,111,現金,CashHand,201,部門,000,共通部門,,,
88,0001-20090406-106-19-1-499,,,,,19-499,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
89,0001-20090406-106-19-1-499,0,,,,,,,,,,,account,食事代　ホテルララダ2名,2009-04-06,ISO4217:JPY,733,交際接待費,EntertainmentExpense,5372,部門,040,大阪,111,現金,CashHand,5372,部門,000,共通部門,,,
90,0001-20090406-106-19-1-499,1,,,,,,,,,,,account,食事代　ホテルララダ2名,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,268,部門,040,大阪,111,現金,CashHand,268,部門,000,共通部門,,,
92,0001-20090406-106-19-1-499,3,,,,,,,,,,,account,飲食代　スナック北新地,2009-04-06,ISO4217:JPY,733,交際接待費,EntertainmentExpense,30648,部門,040,大阪,111,現金,CashHand,30648,部門,000,共通部門,,,
93,0001-20090406-106-19-1-499,4,,,,,,,,,,,account,飲食代　スナック北新地,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1532,部門,040,大阪,111,現金,CashHand,1532,部門,000,共通部門,,,
94,0001-20090406-110-20-1-501,,,,,20-501,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
95,0001-20090406-110-20-1-501,0,,,,,,,,,,,account,タクシー代,2009-04-06,ISO4217:JPY,726,旅費交通費,TravelingExpense,2181,部門,040,大阪,111,現金,CashHand,2181,部門,000,共通部門,,,
96,0001-20090406-110-20-1-501,1,,,,,,,,,,,account,タクシー代,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,109,部門,040,大阪,111,現金,CashHand,109,部門,000,共通部門,,,
98,0001-20090406-123-21-1-503,,,,,21-503,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
99,0001-20090406-123-21-1-503,0,,,,,,,,,,,account,切手代,2009-04-06,ISO4217:JPY,727,通信費,CommunicationCost,38096,部門,040,大阪,111,現金,CashHand,38096,部門,000,共通部門,,,
100,0001-20090406-123-21-1-503,1,,,,,,,,,,,account,切手代,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1904,部門,040,大阪,111,現金,CashHand,1904,部門,000,共通部門,,,
102,0001-20090406-124-22-1-505,,,,,22-505,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
104,0001-20090406-124-22-1-505,1,,,,,,,,,,,account,収入印紙,2009-04-06,ISO4217:JPY,738,租税公課,TaxesOtherThanIncomeTaxes,6000,部門,040,大阪,111,現金,CashHand,6000,部門,000,共通部門,,,
105,0001-20090406-147-23-1-507,,,,,23-507,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
106,0001-20090406-147-23-1-507,0,,,,,,,,,,,account,ガソリン代,2009-04-06,ISO4217:JPY,740,車両費,VehiclesExpense,4882,部門,050,九州,322,未払金,AccountsPayableOther,4882,部門,000,共通部門,,,
107,0001-20090406-147-23-1-507,1,,,,,,,,,,,account,ガソリン代,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,244,部門,050,九州,322,未払金,AccountsPayableOther,244,部門,000,共通部門,,,
109,0001-20090406-156-24-1-509,,,,,24-509,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
110,0001-20090406-156-24-1-509,0,,,,,,,,,,,account,出張旅費,2009-04-06,ISO4217:JPY,726,旅費交通費,TravelingExpense,7143,部門,050,九州,111,現金,CashHand,7143,部門,000,共通部門,,,
111,0001-20090406-156-24-1-509,1,,,,,,,,,,,account,出張旅費,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,357,部門,050,九州,111,現金,CashHand,357,部門,000,共通部門,,,
113,0001-20090406-236-25-1-511,,,,,25-511,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
114,0001-20090406-236-25-1-511,0,,,,,,,,,,,account,ゴルフプレー代2名,2009-04-06,ISO4217:JPY,733,交際接待費,EntertainmentExpense,25239,部門,020,東京,111,現金,CashHand,25239,部門,000,共通部門,,,
115,0001-20090406-236-25-1-511,1,,,,,,,,,,,account,ゴルフプレー代2名,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1261,部門,020,東京,111,現金,CashHand,1261,部門,000,共通部門,,,
117,0001-20090406-305-26-1-513,,,,,26-513,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
119,0001-20090406-305-26-1-513,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
120,0001-20090406-305-26-1-513,0,1,,,,,,,,,,,,,,,,,,補助科目,40,三菱東京　梅田,,,,,,,,,,
121,0001-20090406-305-26-1-513,1,,,,,,,,,,,account,資金移動,2009-04-06,ISO4217:JPY,131,普通預金,OrdinaryDeposit,1000000,,,,131,普通預金,OrdinaryDeposit,1000000,,,,,,
122,0001-20090406-305-26-1-513,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
123,0001-20090406-305-26-1-513,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
124,0001-20090406-42-17-1-495,,,,,17-495,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
125,0001-20090406-42-17-1-495,0,,,,,,,,,,,account,昼食代　フロンティホテル,2009-04-06,ISO4217:JPY,733,交際接待費,EntertainmentExpense,4429,部門,020,東京,111,現金,CashHand,4429,部門,000,共通部門,,,
126,0001-20090406-42-17-1-495,1,,,,,,,,,,,account,昼食代　フロンティホテル,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,221,部門,020,東京,111,現金,CashHand,221,部門,000,共通部門,,,
128,0001-20090406-84-18-1-497,,,,,18-497,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
129,0001-20090406-84-18-1-497,0,,,,,,,,,,,account,切手代,2009-04-06,ISO4217:JPY,727,通信費,CommunicationCost,66667,部門,030,名古屋,111,現金,CashHand,66667,部門,000,共通部門,,,
130,0001-20090406-84-18-1-497,1,,,,,,,,,,,account,切手代,2009-04-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3333,部門,030,名古屋,111,現金,CashHand,3333,部門,000,共通部門,,,
132,0001-20090407-102-35-1-531,,,,,35-531,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
133,0001-20090407-102-35-1-531,0,,,,,,,,,,,account,手土産代　阿部商店,2009-04-07,ISO4217:JPY,733,交際接待費,EntertainmentExpense,1000,部門,040,大阪,111,現金,CashHand,1000,部門,000,共通部門,,,
134,0001-20090407-102-35-1-531,1,,,,,,,,,,,account,手土産代　阿部商店,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,50,部門,040,大阪,111,現金,CashHand,50,部門,000,共通部門,,,
136,0001-20090407-20-27-1-515,,,,,27-515,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
137,0001-20090407-20-27-1-515,0,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,37143,部門,010,札幌,111,現金,CashHand,37143,部門,000,共通部門,,,
138,0001-20090407-20-27-1-515,1,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1857,部門,010,札幌,111,現金,CashHand,1857,部門,000,共通部門,,,
140,0001-20090407-21-28-1-517,,,,,28-517,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
141,0001-20090407-21-28-1-517,0,,,,,,,,,,,account,JR代,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,66191,部門,010,札幌,111,現金,CashHand,66191,部門,000,共通部門,,,
142,0001-20090407-21-28-1-517,1,,,,,,,,,,,account,JR代,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3309,部門,010,札幌,111,現金,CashHand,3309,部門,000,共通部門,,,
144,0001-20090407-22-29-1-519,,,,,29-519,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
145,0001-20090407-22-29-1-519,0,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,47620,部門,010,札幌,111,現金,CashHand,47620,部門,000,共通部門,,,
146,0001-20090407-22-29-1-519,1,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2380,部門,010,札幌,111,現金,CashHand,2380,部門,000,共通部門,,,
148,0001-20090407-43-30-1-521,,,,,30-521,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
149,0001-20090407-43-30-1-521,0,,,,,,,,,,,account,手土産代　阿部商事,2009-04-07,ISO4217:JPY,733,交際接待費,EntertainmentExpense,6315,部門,020,東京,111,現金,CashHand,6315,部門,000,共通部門,,,
150,0001-20090407-43-30-1-521,1,,,,,,,,,,,account,手土産代　阿部商事,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,315,部門,020,東京,111,現金,CashHand,315,部門,000,共通部門,,,
152,0001-20090407-56-31-1-523,,,,,31-523,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
153,0001-20090407-56-31-1-523,0,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,20477,部門,020,東京,111,現金,CashHand,20477,部門,000,共通部門,,,
154,0001-20090407-56-31-1-523,1,,,,,,,,,,,account,旅費,2009-04-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1023,部門,020,東京,111,現金,CashHand,1023,部門,000,共通部門,,,
156,0001-20090407-57-32-1-525,,,,,32-525,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
157,0001-20090407-57-32-1-525,0,,,,,,,,,,,account,JR代,2009-04-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,93143,部門,020,東京,111,現金,CashHand,93143,部門,000,共通部門,,,
