-,I,B,T,-,0,1,8,-,1,	,0,.,.,1,	,T,h,e, ,i,d,e,n,t,i,f,i,c,a,t,i,o,n, ,s,c,h,e,m,e, ,i,d,e,n,t,i,f,i,e,r, ,o,f, ,t,h,e, ,I,n,v,o,i,c,e,d, ,o,b,j,e,c,t, ,i,d,e,n,t,i,f,i,e,r,.,	,0,.,.,1,	,•, ,•,@,s,c,h,e,m,e,I,D
-,	,	,	,1,.,.,1,	,•,c,b,c,:,D,o,c,u,m,e,n,t,T,y,p,e,C,o,d,e
-,I,B,G,-,2,4,	,0,.,.,n,	,A,D,D,I,T,I,O,N,A,L, ,S,U,P,P,O,R,T,I,N,G, ,D,O,C,U,M,E,N,T,S,	,0,.,.,n,	,c,a,c,:,A,d,d,i,t,i,o,n,a,l,D,o,c,u,m,e,n,t,R,e,f,e,r,e,n,c,e,[,c,b,c,:,D,o,c,u,m,e,n,t,T,y,p,e,C,o,d,e, ,!,=, ,1,3,0,]
-,I,B,T,-,1,2,2,	,1,.,.,1,	,S,u,p,p,o,r,t,i,n,g, ,d,o,c,u,m,e,n,t, ,r,e,f,e,r,e,n,c,e,	,1,.,.,1,	,•,c,b,c,:,I,D
-,I,B,T,-,1,2,3,	,0,.,.,1,	,S,u,p,p,o,r,t,i,n,g, ,d,o,c,u,m,e,n,t, ,d,e,s,c,r,i,p,t,i,o,n,	,0,.,.,1,	,•,c,b,c,:,D,o,c,u,m,e,n,t,D,e,s,c,r,i,p,t,i,o,n
-,	,	,	,0,.,.,1,	,•,c,a,c,:,A,t,t,a,c,h,m,e,n,t
-,I,B,T,-,1,2,5,	,0,.,.,1,	,A,t,t,a,c,h,e,d, ,d,o,c,u,m,e,n,t,	,0,.,.,1,	,•, ,•,c,b,c,:,E,m,b,e,d,d,e,d,D,o,c,u,m,e,n,t,B,i,n,a,r,y,O,b,j,e,c,t
-,I,B,T,-,1,2,5,-,1,	,1,.,.,1,	,A,t,t,a,c,h,e,d, ,d,o,c,u,m,e,n,t, ,M,i,m,e, ,c,o,d,e,	,1,.,.,1,	,•, ,•, ,•,@,m,i,m,e,C,o,d,e
-,I,B,T,-,1,2,5,-,2,	,1,.,.,1,	,A,t,t,a,c,h,e,d, ,d,o,c,u,m,e,n,t, ,F,i,l,e,n,a,m,e,	,1,.,.,1,	,•, ,•, ,•,@,f,i,l,e,n,a,m,e
-,	,	,	,0,.,.,1,	,•, ,•,c,a,c,:,E,x,t,e,r,n,a,l,R,e,f,e,r,e,n,c,e
-,I,B,T,-,1,2,4,	,0,.,.,1,	,E,x,t,e,r,n,a,l, ,d,o,c,u,m,e,n,t, ,l,o,c,a,t,i,o,n,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,U,R,I
-,	,	,	,0,.,.,1,	,c,a,c,:,P,r,o,j,e,c,t,R,e,f,e,r,e,n,c,e
-,I,B,T,-,0,1,1,	,0,.,.,1,	,P,r,o,j,e,c,t, ,r,e,f,e,r,e,n,c,e,	,1,.,.,1,	,•,c,b,c,:,I,D
-,I,B,G,-,0,4,	,1,.,.,1,	,S,E,L,L,E,R,	,1,.,.,1,	,c,a,c,:,A,c,c,o,u,n,t,i,n,g,S,u,p,p,l,i,e,r,P,a,r,t,y
-,	,	,	,1,.,.,1,	,•,c,a,c,:,P,a,r,t,y
-,I,B,T,-,0,3,4,	,1,.,.,1,	,S,e,l,l,e,r, ,e,l,e,c,t,r,o,n,i,c, ,a,d,d,r,e,s,s,	,1,.,.,1,	,•, ,•,c,b,c,:,E,n,d,p,o,i,n,t,I,D
-,I,B,T,-,0,3,4,-,1,	,1,.,.,1,	,S,c,h,e,m,e, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•, ,•, ,•,@,s,c,h,e,m,e,I,D
-,	,	,	,0,.,.,n,	,•, ,•,c,a,c,:,P,a,r,t,y,I,d,e,n,t,i,f,i,c,a,t,i,o,n
-,I,B,T,-,0,2,9,	,0,.,.,n,	,S,e,l,l,e,r, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,I,D
-,I,B,T,-,0,2,9,-,1,	,0,.,.,1,	,S,c,h,e,m,e, ,i,d,e,n,t,i,f,i,e,r,	,0,.,.,1,	,•, ,•, ,•, ,•,@,s,c,h,e,m,e,I,D
-,	,	,	,0,.,.,1,	,•, ,•,c,a,c,:,P,a,r,t,y,I,d,e,n,t,i,f,i,c,a,t,i,o,n,[,c,a,c,:,I,D,/,@,s,c,h,e,m,e,I,D, ,=, ,"""",S,E,P,A,"""",]
-,I,B,T,-,0,9,0,	,0,.,.,1,	,B,a,n,k, ,a,s,s,i,g,n,e,d, ,c,r,e,d,i,t,o,r, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,I,D
-,	,	,	,1,.,.,1,	,•, ,•, ,•, ,•,@,s,c,h,e,m,e,I,D
-,	,	,	,0,.,.,1,	,•, ,•,c,a,c,:,P,a,r,t,y,N,a,m,e
-,I,B,T,-,0,2,8,	,0,.,.,1,	,S,e,l,l,e,r, ,t,r,a,d,i,n,g, ,n,a,m,e,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,N,a,m,e
-,I,B,G,-,0,5,	,1,.,.,1,	,S,E,L,L,E,R, ,P,O,S,T,A,L, ,A,D,D,R,E,S,S,	,1,.,.,1,	,•, ,•,c,a,c,:,P,o,s,t,a,l,A,d,d,r,e,s,s
-,I,B,T,-,0,3,5,	,0,.,.,1,	,S,e,l,l,e,r, ,a,d,d,r,e,s,s, ,l,i,n,e, ,1,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,S,t,r,e,e,t,N,a,m,e
-,I,B,T,-,0,3,6,	,0,.,.,1,	,S,e,l,l,e,r, ,a,d,d,r,e,s,s, ,l,i,n,e, ,2,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,A,d,d,i,t,i,o,n,a,l,S,t,r,e,e,t,N,a,m,e
-,I,B,T,-,0,3,7,	,0,.,.,1,	,S,e,l,l,e,r, ,c,i,t,y,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,C,i,t,y,N,a,m,e
-,I,B,T,-,0,3,8,	,0,.,.,1,	,S,e,l,l,e,r, ,p,o,s,t, ,c,o,d,e,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,P,o,s,t,a,l,Z,o,n,e
-,I,B,T,-,0,3,9,	,0,.,.,1,	,S,e,l,l,e,r, ,c,o,u,n,t,r,y, ,s,u,b,d,i,v,i,s,i,o,n,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,C,o,u,n,t,r,y,S,u,b,e,n,t,i,t,y
-,	,	,	,0,.,.,1,	,•, ,•, ,•,c,a,c,:,A,d,d,r,e,s,s,L,i,n,e
-,I,B,T,-,1,6,2,	,0,.,.,1,	,S,e,l,l,e,r, ,a,d,d,r,e,s,s, ,l,i,n,e, ,3,	,1,.,.,1,	,•, ,•, ,•, ,•,c,b,c,:,L,i,n,e
-,	,	,	,1,.,.,1,	,•, ,•, ,•,c,a,c,:,C,o,u,n,t,r,y
-,I,B,T,-,0,4,0,	,1,.,.,1,	,S,e,l,l,e,r, ,c,o,u,n,t,r,y, ,c,o,d,e,	,1,.,.,1,	,•, ,•, ,•, ,•,c,b,c,:,I,d,e,n,t,i,f,i,c,a,t,i,o,n,C,o,d,e
-,	,	,	,0,.,.,1,	,•, ,•,c,a,c,:,P,a,r,t,y,T,a,x,S,c,h,e,m,e,[,c,a,c,:,T,a,x,S,c,h,e,m,e, ,=, ,"""",V,A,T,"""",]
-,I,B,T,-,0,3,1,	,0,.,.,1,	,S,e,l,l,e,r, ,T,A,X, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,C,o,m,p,a,n,y,I,D
-,	,	,	,1,.,.,1,	,•, ,•, ,•,c,a,c,:,T,a,x,S,c,h,e,m,e
-,	,	,	,1,.,.,1,	,•, ,•, ,•, ,•,c,b,c,:,I,D
-,	,	,	,0,.,.,1,	,•, ,•,c,a,c,:,P,a,r,t,y,T,a,x,S,c,h,e,m,e,[,c,a,c,:,T,a,x,S,c,h,e,m,e, ,!,=, ,"""",V,A,T,"""",]
-,I,B,T,-,0,3,2,	,0,.,.,1,	,S,e,l,l,e,r, ,T,A,X, ,r,e,g,i,s,t,r,a,t,i,o,n, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,C,o,m,p,a,n,y,I,D
-,	,	,	,1,.,.,1,	,•, ,•, ,•,c,a,c,:,T,a,x,S,c,h,e,m,e
-,	,	,	,1,.,.,1,	,•, ,•, ,•, ,•,c,b,c,:,I,D
-,	,	,	,1,.,.,1,	,•, ,•,c,a,c,:,P,a,r,t,y,L,e,g,a,l,E,n,t,i,t,y
-,I,B,T,-,0,2,7,	,1,.,.,1,	,S,e,l,l,e,r, ,n,a,m,e,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,R,e,g,i,s,t,r,a,t,i,o,n,N,a,m,e
-,I,B,T,-,0,3,0,	,0,.,.,1,	,S,e,l,l,e,r, ,l,e,g,a,l, ,r,e,g,i,s,t,r,a,t,i,o,n, ,i,d,e,n,t,i,f,i,e,r,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,C,o,m,p,a,n,y,I,D
-,I,B,T,-,0,3,0,-,1,	,0,.,.,1,	,S,c,h,e,m,e, ,i,d,e,n,t,i,f,i,e,r,	,0,.,.,1,	,•, ,•, ,•, ,•,@,s,c,h,e,m,e,I,D
-,I,B,T,-,0,3,3,	,0,.,.,1,	,S,e,l,l,e,r, ,a,d,d,i,t,i,o,n,a,l, ,l,e,g,a,l, ,i,n,f,o,r,m,a,t,i,o,n,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,C,o,m,p,a,n,y,L,e,g,a,l,F,o,r,m
-,I,B,G,-,0,6,	,0,.,.,1,	,S,E,L,L,E,R, ,C,O,N,T,A,C,T,	,0,.,.,1,	,•, ,•,c,a,c,:,C,o,n,t,a,c,t
-,I,B,T,-,0,4,1,	,0,.,.,1,	,S,e,l,l,e,r, ,c,o,n,t,a,c,t, ,p,o,i,n,t,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,N,a,m,e
-,I,B,T,-,0,4,2,	,0,.,.,1,	,S,e,l,l,e,r, ,c,o,n,t,a,c,t, ,t,e,l,e,p,h,o,n,e, ,n,u,m,b,e,r,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,T,e,l,e,p,h,o,n,e
-,I,B,T,-,0,4,3,	,0,.,.,1,	,S,e,l,l,e,r, ,c,o,n,t,a,c,t, ,e,m,a,i,l, ,a,d,d,r,e,s,s,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,E,l,e,c,t,r,o,n,i,c,M,a,i,l
-,I,B,G,-,0,7,	,1,.,.,1,	,B,U,Y,E,R,	,1,.,.,1,	,c,a,c,:,A,c,c,o,u,n,t,i,n,g,C,u,s,t,o,m,e,r,P,a,r,t,y
-,	,	,	,1,.,.,1,	,•,c,a,c,:,P,a,r,t,y
-,I,B,T,-,0,4,9,	,1,.,.,1,	,B,u,y,e,r, ,e,l,e,c,t,r,o,n,i,c, ,a,d,d,r,e,s,s,	,1,.,.,1,	,•, ,•,c,b,c,:,E,n,d,p,o,i,n,t,I,D
-,I,B,T,-,0,4,9,-,1,	,1,.,.,1,	,S,c,h,e,m,e, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•, ,•, ,•,@,s,c,h,e,m,e,I,D
-,	,	,	,0,.,.,1,	,•, ,•,c,a,c,:,P,a,r,t,y,I,d,e,n,t,i,f,i,c,a,t,i,o,n
-,I,B,T,-,0,4,6,	,0,.,.,1,	,B,u,y,e,r, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,I,D
-,I,B,T,-,0,4,6,-,1,	,0,.,.,1,	,S,c,h,e,m,e, ,i,d,e,n,t,i,f,i,e,r,	,0,.,.,1,	,•, ,•, ,•, ,•,@,s,c,h,e,m,e,I,D
-,	,	,	,0,.,.,1,	,•, ,•,c,a,c,:,P,a,r,t,y,N,a,m,e
-,I,B,T,-,0,4,5,	,0,.,.,1,	,B,u,y,e,r, ,t,r,a,d,i,n,g, ,n,a,m,e,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,N,a,m,e
-,I,B,G,-,0,8,	,1,.,.,1,	,B,U,Y,E,R, ,P,O,S,T,A,L, ,A,D,D,R,E,S,S,	,1,.,.,1,	,•, ,•,c,a,c,:,P,o,s,t,a,l,A,d,d,r,e,s,s
-,I,B,T,-,0,5,0,	,0,.,.,1,	,B,u,y,e,r, ,a,d,d,r,e,s,s, ,l,i,n,e, ,1,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,S,t,r,e,e,t,N,a,m,e
-,I,B,T,-,0,5,1,	,0,.,.,1,	,B,u,y,e,r, ,a,d,d,r,e,s,s, ,l,i,n,e, ,2,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,A,d,d,i,t,i,o,n,a,l,S,t,r,e,e,t,N,a,m,e
-,I,B,T,-,0,5,2,	,0,.,.,1,	,B,u,y,e,r, ,c,i,t,y,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,C,i,t,y,N,a,m,e
-,I,B,T,-,0,5,3,	,0,.,.,1,	,B,u,y,e,r, ,p,o,s,t, ,c,o,d,e,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,P,o,s,t,a,l,Z,o,n,e
-,I,B,T,-,0,5,4,	,0,.,.,1,	,B,u,y,e,r, ,c,o,u,n,t,r,y, ,s,u,b,d,i,v,i,s,i,o,n,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,C,o,u,n,t,r,y,S,u,b,e,n,t,i,t,y
-,	,	,	,0,.,.,1,	,•, ,•, ,•,c,a,c,:,A,d,d,r,e,s,s,L,i,n,e
-,I,B,T,-,1,6,3,	,0,.,.,1,	,B,u,y,e,r, ,a,d,d,r,e,s,s, ,l,i,n,e, ,3,	,1,.,.,1,	,•, ,•, ,•, ,•,c,b,c,:,L,i,n,e
-,	,	,	,1,.,.,1,	,•, ,•, ,•,c,a,c,:,C,o,u,n,t,r,y
-,I,B,T,-,0,5,5,	,1,.,.,1,	,B,u,y,e,r, ,c,o,u,n,t,r,y, ,c,o,d,e,	,1,.,.,1,	,•, ,•, ,•, ,•,c,b,c,:,I,d,e,n,t,i,f,i,c,a,t,i,o,n,C,o,d,e
-,	,	,	,0,.,.,1,	,•, ,•,c,a,c,:,P,a,r,t,y,T,a,x,S,c,h,e,m,e
-,I,B,T,-,0,4,8,	,0,.,.,1,	,B,u,y,e,r, ,T,A,X, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,C,o,m,p,a,n,y,I,D
-,	,	,	,1,.,.,1,	,•, ,•, ,•,c,a,c,:,T,a,x,S,c,h,e,m,e
-,	,	,	,1,.,.,1,	,•, ,•, ,•, ,•,c,b,c,:,I,D
-,	,	,	,1,.,.,1,	,•, ,•,c,a,c,:,P,a,r,t,y,L,e,g,a,l,E,n,t,i,t,y
-,I,B,T,-,0,4,4,	,1,.,.,1,	,B,u,y,e,r, ,n,a,m,e,	,1,.,.,1,	,•, ,•, ,•,c,b,c,:,R,e,g,i,s,t,r,a,t,i,o,n,N,a,m,e
-,I,B,T,-,0,4,7,	,0,.,.,1,	,B,u,y,e,r, ,l,e,g,a,l, ,r,e,g,i,s,t,r,a,t,i,o,n, ,i,d,e,n,t,i,f,i,e,r,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,C,o,m,p,a,n,y,I,D
-,I,B,T,-,0,4,7,-,1,	,0,.,.,1,	,S,c,h,e,m,e, ,i,d,e,n,t,i,f,i,e,r,	,0,.,.,1,	,•, ,•, ,•, ,•,@,s,c,h,e,m,e,I,D
-,I,B,G,-,0,9,	,0,.,.,1,	,B,U,Y,E,R, ,C,O,N,T,A,C,T,	,0,.,.,1,	,•, ,•,c,a,c,:,C,o,n,t,a,c,t
-,I,B,T,-,0,5,6,	,0,.,.,1,	,B,u,y,e,r, ,c,o,n,t,a,c,t, ,p,o,i,n,t,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,N,a,m,e
-,I,B,T,-,0,5,7,	,0,.,.,1,	,B,u,y,e,r, ,c,o,n,t,a,c,t, ,t,e,l,e,p,h,o,n,e, ,n,u,m,b,e,r,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,T,e,l,e,p,h,o,n,e
-,I,B,T,-,0,5,8,	,0,.,.,1,	,B,u,y,e,r, ,c,o,n,t,a,c,t, ,e,m,a,i,l, ,a,d,d,r,e,s,s,	,0,.,.,1,	,•, ,•, ,•,c,b,c,:,E,l,e,c,t,r,o,n,i,c,M,a,i,l
-,I,B,G,-,1,0,	,0,.,.,1,	,P,A,Y,E,E,	,0,.,.,1,	,c,a,c,:,P,a,y,e,e,P,a,r,t,y
-,	,	,	,0,.,.,1,	,•,c,a,c,:,P,a,r,t,y,I,d,e,n,t,i,f,i,c,a,t,i,o,n
-,I,B,T,-,0,6,0,	,0,.,.,1,	,P,a,y,e,e, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•, ,•,c,b,c,:,I,D
-,I,B,T,-,0,6,0,-,1,	,0,.,.,1,	,S,c,h,e,m,e, ,i,d,e,n,t,i,f,i,e,r,	,0,.,.,1,	,•, ,•, ,•,@,s,c,h,e,m,e,I,D
-,	,	,	,1,.,.,1,	,•,c,a,c,:,P,a,r,t,y,N,a,m,e
-,I,B,T,-,0,5,9,	,1,.,.,1,	,P,a,y,e,e, ,n,a,m,e,	,1,.,.,1,	,•, ,•,c,b,c,:,N,a,m,e
-,	,	,	,0,.,.,1,	,•,c,a,c,:,P,a,r,t,y,L,e,g,a,l,E,n,t,i,t,y
-,I,B,T,-,0,6,1,	,0,.,.,1,	,P,a,y,e,e, ,l,e,g,a,l, ,r,e,g,i,s,t,r,a,t,i,o,n, ,i,d,e,n,t,i,f,i,e,r,	,1,.,.,1,	,•, ,•,c,b,c,:,C,o,m,p,a,n,y,I,D
-,I,B,T,-,0,6,1,-,1,	,0,.,.,1,	,S,c,h,e,m,e, ,i,d,e,n,t,i,f,i,e,r,	,0,.,.,1,	,•, ,•, ,•,@,s,c,h,e,m,e,I,D
-,I,B,G,-,1,1,	,0,.,.,1,	,S,E,L,L,E,R, ,T,A,X, ,R,E,P,R,E,S,E,N,T,A,T,I,V,E, ,P,A,R,T,Y,	,0,.,.,1,	,c,a,c,:,T,a,x,R,e,p,r,e,s,e,n,t,a,t,i,v,e,P,a,r,t,y
-,	,	,	,1,.,.,1,	,•,c,a,c,:,P,a,r,t,y,N,a,m,e
-,I,B,T,-,0,6,2,	,1,.,.,1,	,S,e,l,l,e,r, ,t,a,x, ,r,e,p,r,e,s,e,n,t,a,t,i,v,e, ,n,a,m,e,	,1,.,.,1,	,•, ,•,c,b,c,:,N,a,m,e
-,I,B,G,-,1,2,	,1,.,.,1,	,S,E,L,L,E,R, ,T,A,X, ,R,E,P,R,E,S,E,N,T,A,T,I,V,E, ,P,O,S,T,A,L, ,A,D,D,R,E,S,S,	,1,.,.,1,	,•,c,a,c,:,P,o,s,t,a,l,A,d,d,r,e,s,s
-,I,B,T,-,0,6,4,	,0,.,.,1,	,T,a,x, ,r,e,p,r,e,s,e,n,t,a,t,i,v,e, ,a,d,d,r,e,s,s, ,l,i,n,e, ,1,	,0,.,.,1,	,•, ,•,c,b,c,:,S,t,r,e,e,t,N,a,m,e
-,I,B,T,-,0,6,5,	,0,.,.,1,	,T,a,x, ,r,e,p,r,e,s,e,n,t,a,t,i,v,e, ,a,d,d,r,e,s,s, ,l,i,n,e, ,2,	,0,.,.,1,	,•, ,•,c,b,c,:,A,d,d,i,t,i,o,n,a,l,S,t,r,e,e,t,N,a,m,e
-,I,B,T,-,0,6,6,	,0,.,.,1,	,T,a,x, ,r,e,p,r,e,s,e,n,t,a,t,i,v,e, ,c,i,t,y,	,0,.,.,1,	,•, ,•,c,b,c,:,C,i,t,y,N,a,m,e
-,I,B,T,-,0,6,7,	,0,.,.,1,	,T,a,x, ,r,e,p,r,e,s,e,n,t,a,t,i,v,e, ,p,o,s,t, ,c,o,d,e,	,0,.,.,1,	,•, ,•,c,b,c,:,P,o,s,t,a,l,Z,o,n,e
