file1行範囲,file1テキスト,file2行範囲,file2テキスト,差分行
"-31,8",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+31,8",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-009"" flag=""fatal"" test=""(count(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/upper-case(cbc:ID)='VAT']/cbc:CompanyID) &lt;= 1)"">[aligned-ibrp-009]-Seller tax identifier (ibt-031) MUST occur maximum once.</assert>"
"-31,8",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+31,8",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-014"" flag=""fatal"" test=""count(//cbc:PaymentID[not(preceding::cbc:PaymentID/. = .)]) &lt;= 1"">[aligned-ibrp-014]-Remittance information (ibt-083) MUST occur maximum once.</assert>"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-o-01"" flag=""fatal"" test=""((exists(//cac:TaxCategory[cac:TaxScheme/normalize-space(upper-case(cbc:ID))='VAT']/cbc:ID[normalize-space(.) = 'O']) or exists(//cac:ClassifiedTaxCategory[cac:TaxScheme/normalize-space(upper-case(cbc:ID))='VAT']/cbc:ID[normalize-space(.) = 'O'])) and (count(cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory[cac:TaxScheme/normalize-space(upper-case(cbc:ID))='VAT']/cbc:ID[normalize-space(.) = 'O']) = 1)) or (not(//cac:TaxCategory[cac:TaxScheme/normalize-space(upper-case(cbc:ID))='VAT']/cbc:ID[normalize-space(.) = 'O']) and not(//cac:ClassifiedTaxCategory[cac:TaxScheme/normalize-space(upper-case(cbc:ID))='VAT']/cbc:ID[normalize-space(.) = 'O']))"">[aligned-ibrp-o-01]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-20) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-102) is ""Not subject to tax"" MUST contain exactly one tax breakdown group (ibg-23) with the tax category code (ibt-118) equal to ""Not subject to tax"".</assert>"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-sr-12"" flag=""fatal"" test=""(count(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/upper-case(cbc:ID)='VAT']/cbc:CompanyID) &lt;= 1)"">[aligned-ibrp-sr-12]-Seller VAT identifier (ibt-031) MUST occur maximum once</assert>"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-sr-13"" flag=""fatal"" test=""(count(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/upper-case(cbc:ID)!='VAT']/cbc:CompanyID) &lt;= 1)"">[aligned-ibrp-sr-13]-Seller tax registration (ibt-032) MUST occur maximum once</assert>"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"-      <assert id=""aligned-ibr-jp-04"" flag=""fatal"" test=""exists(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID)"">[aligned-ibr-jp-04]-An Invoice shall have the Seller tax identifier (ibt-031).</assert>"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+      <assert id=""aligned-ibr-jp-04-ntr"" flag=""fatal"" test=""not(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID)"">[aligned-ibr-jp-04-ntr]-An Invoice must not  have the Seller tax identifier (ibt-031).</assert>"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibr-jp-05"" flag=""fatal"" test=""not(exists(cbc:TaxCurrencyCode)) or cbc:TaxCurrencyCode = 'JPY'"">[aligned-ibr-jp-05]-If Tax accounting currency (ibt-006) is present, it shall be coded using JPY in ISO code list of 4217 a-3.</assert>"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,     </rule>
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"     <rule context=""cac:TaxSubtotal[cbc:TaxAmount/@currencyID=/ubl:Invoice/cbc:DocumentCurrencyCode/text()]"">"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-045"" flag=""fatal"" test=""exists(cbc:TaxableAmount)"">[aligned-ibrp-045]-Each tax breakdown (ibg-23) MUST have a tax category taxable amount (ibt-116).</assert>"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"-      <assert id=""aligned-ibrp-051-jp"" flag=""fatal"" test=""((cac:TaxCategory/normalize-space(upper-case(cbc:ID)) != 'O') and ((round(cac:TaxCategory/xs:decimal(cbc:Percent)) != 0 and ( xs:decimal(cbc:TaxAmount) &gt;= floor(xs:decimal(cbc:TaxableAmount) * (cac:TaxCategory/xs:decimal(cbc:Percent) div 100))) and ( xs:decimal(cbc:TaxAmount) &lt;= ceiling(xs:decimal(cbc:TaxableAmount) * (cac:TaxCategory/xs:decimal(cbc:Percent) div 100)))) or (round(cac:TaxCategory/xs:decimal(cbc:Percent)) = 0 and (xs:decimal(cbc:TaxAmount) = 0)))) or (not(cac:TaxCategory/cbc:Percent) and (cac:TaxCategory/normalize-space(upper-case(cbc:ID)) = 'O') and  (xs:decimal(cbc:TaxAmount) = 0))"">[aligned-ibrp-051-jp]-Tax category tax amount (ibt-117) = tax category taxable amount (ibt-116) x (tax category rate (ibt-119) / 100), rounded to integer. The rounded result amount shall be between the floor and the ceiling.</assert>"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,     </rule>
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"     <rule context=""cac:TaxSubtotal"">"
"-42,12",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+42,11",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-046"" flag=""fatal"" test=""exists(cbc:TaxAmount)"">[aligned-ibrp-046]-Each tax breakdown (ibg-23) MUST have a tax category tax amount (ibt-117).</assert>"
"-79,6",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+78,9",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"     <rule context=""cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory[normalize-space(cbc:ID)='E'][cac:TaxScheme/normalize-space(upper-case(cbc:ID))='VAT']"">"
"-79,6",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+78,9",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-e-07"" flag=""fatal"" test=""(xs:decimal(cbc:Percent) = 0)"">[aligned-ibrp-e-07]-In a Document level charge (ibg-21) where the Document level charge tax category code (ibt-102) is ""Exempt from tax"", the Document level charge tax rate (ibt-103) MUST be 0 (zero).</assert>"
"-79,6",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+78,9",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,     </rule>
"-79,6",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+78,9",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+<rule context=""cac:TaxTotal"">"
"-79,6",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+78,9",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+    <assert id=""aligned-ibr-jp-07-ntr"" flag=""fatal"" test=""//cbc:TaxAmount = 0"">[aligned-ibr-jp-07-ntr]-Invoice total TAX amount in tax accounting currency (ibt-111), TAX category tax amount (ibt-117) and TAX category tax amount in accounting currency (ibt-190) MUST be 0 (zero).</assert>"
"-79,6",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+78,9",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,+</rule>
"-79,6",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+78,9",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"     <rule context=""cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory[normalize-space(cbc:ID) = 'E'][cac:TaxScheme/normalize-space(upper-case(cbc:ID))='VAT']"">"
"-79,6",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+78,9",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-e-09"" flag=""fatal"" test=""xs:decimal(../cbc:TaxAmount) = 0"">[aligned-ibrp-e-09]-The tax category tax amount (ibt-117) In a tax breakdown (ibg-23) where the tax category code (ibt-118) equals ""Exempt from tax"" MUST equal 0 (zero).</assert>"
"-79,6",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+78,9",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,     </rule>
"-106,9",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+108,6",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"     <rule context=""/*/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory[normalize-space(cbc:ID) = 'O'][cac:TaxScheme/normalize-space(upper-case(cbc:ID))='VAT']"">"
"-106,9",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+108,6",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibrp-o-09"" flag=""fatal"" test=""xs:decimal(../cbc:TaxAmount) = 0"">[aligned-ibrp-o-09]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Not subject to tax"" MUST be 0 (zero).</assert>"
"-106,9",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+108,6",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,     </rule>
"-106,9",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+108,6",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"-    <rule context=""/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/normalize-space(upper-case(cbc:ID))='VAT']"">"
"-106,9",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+108,6",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"-      <assert id=""aligned-ibr-jp-01"" flag=""fatal"" test=""(((//cbc:StartDate &gt;= '2023-10-01') or (//cbc:EndDate &gt;= '2023-10-01'))  and matches(normalize-space(cbc:CompanyID),'^T[0-9]{13}$')) or not((//cbc:StartDate &gt;= '2023-10-01') or (//cbc:EndDate &gt;= '2023-10-01'))"">[aligned-ibr-jp-01]-If a date of an invoice period (ibg-14) or an invoice line period (ibg-26) is on and after October 1st 2023, Seller Tax Identifier shall be coded by using a Registration Number for Qualified Invoice purpose in Japan, which consists of 14 digits that start with T.</assert>"
"-106,9",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+108,6",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,-    </rule>
"-106,9",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+108,6",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"     <rule context=""cac:TaxCategory/cac:TaxScheme/cbc:ID | cac:ClassifiedTaxCategory/cac:TaxScheme/cbc:ID"">"
"-106,9",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+108,6",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"       <assert id=""aligned-ibr-jp-03"" flag=""fatal"" test=""matches(normalize-space(.),'VAT')"">[aligned-ibr-jp-03]-Tax scheme shall use VAT from UNECE 5153 code list. VAT means Consumption Tax in Japan.</assert>"
"-106,9",data/JP-PINT/pint-jp-resources JP PINT v1/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,"+108,6",data/JP-PINT/pint-jp-ntr-resources-dev/trn-invoice/schematron/PINT-jurisdiction-aligned-rules.sch,     </rule>
