ID,Card,Level,Term,Description,項目名,説明,Semantic Datatype,UBL Sort,UBL Xpath,ID,Card,Level,,Semantic Datatype,説明,共通EDI,消費税必須,突合キー,自動振り分け,CII Sort,CII XPath,,
,,,,,,,,,,,0..1,1,プロジェクト名,Text,発注品に関するプロジェクト・工事案件等の名称,〇,,,,,,,
ibt-012,0..1,1,Contract reference,The identification of a contract.,契約書参照,参照する契約書に記載された文書番号。,Document Reference,1320,/ubl:Invoice/cac:ContractDocumentReference/cbc:ID,BT-12,0..1,1,（参照）契約書番号,Document reference,参照する契約書に記載の文書番号,〇,,,,2730,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:ContractReferencedDocument/ram:IssuerAssignedID,,
,,,,,,,,,,,0..1,1,（参照）契約書発行日,Date,参照する契約書に記載した発行日付,〇,,,,,,,
,,,,,,,,,,,0..1,1,（参照）契約書履歴番号,Text,参照する契約書の変更履歴を管理する番号,〇,,,,,,,
,,,,,,,,,,,0..1,1,（参照）契約書書名,Text,参照する契約書に付与した文書名称,〇,,,,,,,
ibt-013,0..1,1,Purchase order reference,"An identifier of a referenced purchase order, issued by the Buyer.",購買発注参照,買い手が発行した購買発注を参照する場合の当該購買発注に記載の文書番号。,Document Reference,1190,/ubl:Invoice/cac:OrderReference/cbc:ID,BT-13,1..1,1,（参照）注文書番号,Document reference,この請求書契約が参照する注文書に記載の文書番号,〇,,■,,2710,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerOrderReferencedDocument/ram:IssuerAssignedID,,
,,,,,,,,,,,0..1,1,（参照）注文書発行日,Date,参照する注文書に記載した発行日付,〇,,,,,,,
,,,,,,,,,,,1..1,1,（参照）注文書履歴番号,Text,参照する注文書の変更履歴を管理する番号,〇,,■,,,,,
,,,,,,,,,,,0..1,1,（参照）注文書書名,Text,参照する注文書に付与した文書名称,〇,,,,,,,
ibt-014,0..1,1,Sales order reference,"An identifier of a referenced sales order, issued by the Seller.",受注参照,売り手が発行した受注を参照する場合の当該受注に記載の文書番号。,Document Reference,1200,/ubl:Invoice/cac:OrderReference/cbc:SalesOrderID,BT-14,0..1,1,（参照）受注書番号,Document reference,参照する受注書に記載の文書番号,〇,,,,2690,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerOrderReferencedDocument/ram:IssuerAssignedID,,
,,,,,,,,,,,0..1,1,（参照）受注書発行日,Date,参照する受注書に記載した発行日付,〇,,,,,,,
,,,,,,,,,,,0..1,1,（参照）受注書履歴番号,Text,参照する受注書の変更履歴を管理する番号,〇,,,,,,,
,,,,,,,,,,,0..1,1,（参照）受注書書名,Text,参照する受注書に付与した文書名称,〇,,,,,,,
ibt-015,0..1,1,Receiving advice reference,An identifier of a referenced receiving advice. (A-NZ Goods receipt document reference number),受取通知書参照,参照する受取通知書に買い手が付番した番号。,Document Reference,1280,/ubl:Invoice/cac:ReceiptDocumentReference/cbc:ID,BT-15,0..1,1,（参照）荷姿案内書（検収書）,Code,参照する荷姿案内書（検収書）に受注者が付番した番号,,,,✔,3070,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ReceivingAdviceReferencedDocument/ram:IssuerAssignedID,,
ibt-016,0..1,1,Despatch advice reference,An identifier of a referenced despatch advice.(A-NZ Despatch advice / shipping notice document reference number),出荷案内書参照,参照する出荷案内書に売り手が付番した番号。,Document Reference,1260,/ubl:Invoice/cac:DespatchDocumentReference/cbc:ID,BT-16,1..1,1,（参照）出荷案内書（納品書）番号,Document reference,参照する出荷案内書（納品書）に受注者が付番した番号,〇,,■,✔,3050,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:DespatchAdviceReferencedDocument/ram:IssuerAssignedID,,
,,,,,,,,,,,0..1,1,（参照）出荷案内書発行日,Date,参照する出荷案内書に受注者が記載した出荷を行った日付，または出荷案内書の書面上の発行日付,〇,,,,,,,
,,,,,,,,,,,0..1,1,（参照）出荷案内書名,Text,参照する出荷案内書に受注者が付与した文書名称,〇,,,,,,,
ibt-017,0..1,1,Tender or lot reference,The identification of the call for tender or lot the invoice relates to.,入札又はロット参照,参照する入札またはロットの番号。,Document Reference,1300,/ubl:Invoice/cac:OriginatorDocumentReference/cbc:ID,BT-17,0..1,1,（参照）入札またはロット,Code,参照する入札またはロットの番号,,,,,2750,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:IssuerAssignedID,,
ibt-018,0..1,1,Invoiced object identifier,"An identifier for an object on which the invoice is based, given by the Seller. The identification scheme identifier of the Invoiced object identifier.",請求するオブジェクトID,請求書の根拠となるIDで、売り手が指定。請求書の根拠となるオブジェクトのIDで、売り手が指定したもの。,Identifier,1340,/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID,BT-18,0..1,1,請求済みオブジェクト識別子スキーム識別子,Identifier,"請求書の根拠となる識別子で、受注者が指定
必要に応じて、予約番号、電話番号、メーターポイント、車両、人物などを指定
識別子にどのスキーマが使用されるかが発注者にとって明らかでない場合、条件付きスキーマ識別子が使用されるべきであり、それはUNTDID 1153コードリスト [6] 項目から選択される",,,,✔,2750,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:IssuerAssignedID,,
ibt-018-1,0..1,1,The identification scheme identifier of the Invoiced object identifier.,,請求するオブジェクトIDのスキーマID,受信者にとって、IDにどのスキーマが使用されているかが明確でない場合は、UNTDID1153コードリストから選択される条件付きスキーマIDを使用する必要がある。,Code,1350,/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID,BT-18-1,,,,,,,,,,,,,
ibt-019,0..1,1,Buyer accounting reference,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,買い手会計参照,買い手の財務勘定科目に関連データを記帳する場所を指定する。買い手のどの勘定に関連データを記帳すべきかを指定するためのテキスト値。,Text,1120,/ubl:Invoice/cbc:AccountingCost,BT-19,0..1,1,購買担当会計参照,Code,購買担当の財務勘定科目に関連データを記帳する場所を指定する,,,,✔,4030,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ReceivableSpecifiedTradeAccountingAccount/ram:ID,,
ibt-020,0..1,2,Payment terms,A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).,支払条件,支払額に適用される支払条件の説明(罰則の記載を含む)。支払条件の文字による説明。,Text,2940,/ubl:Invoice/cac:PaymentTerms/cbc:Note,BT-20,0..1,1,支払条件説明,Text,支払条件の文字による説明,〇,,,,3810,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:Description,,
ibt-022,0..1,1,INVOICE NOTE,"A group of business terms providing textual notes that are relevant for the invoice, together with an indication of the note subject.",請求書注釈内容,注釈の内容を入力するフリースペース。,Text,1080,/ubl:Invoice/cbc:Note,BT-22,0..n,1,請求書注釈,,請求書についての注釈,〇,,,,1130,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:Content,,
ibt-022,0..1,1,Invoice note,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,請求書注釈内容,注釈の内容を入力するフリースペース。,Text,1080,/ubl:Invoice/cbc:Note,BT-22,1..1,2,請求書注釈内容,Text,注釈の内容を入力するフリースペース,〇,,,,1130,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:Content,,
,,,,,,,,,,,1..1,2,請求書注釈識別子,Identifier,注釈の識別番号,〇,,,,,,,
ibg-02,1..1,1,PROCESS CONTROL,A group of business terms providing information on the business process and rules applicable to the Invoice document.,プロセスコントロール,請求書に適用するビジネスプロセス及びルールについての情報を提供するビジネス用語のグループ。,,4570,0,BG-2,1..1,1,取引プロセス設定,,取引プロセスに関する情報,〇,,,,1010,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext,,
ibt-023,1..1,2,Business process type,"Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way.",ビジネスプロセスタイプ,取引プロセスの名称。買い手が適切な方法で請求書を処理することができるように、取引が行われたビジネスプロセスを識別する。,Text,1020,/ubl:Invoice/cbc:ProfileID,BT-23,1..1,2,取引プロセス名,Text,取引プロセスの名称,〇,,,,1030,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter/ram:ID,,
ibt-024,1..1,2,Specification identifier,"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms.",仕様ID,取引プロセスのID。セマンティックコンテンツ、カーディナリティや、インスタンス文書に含まれているデータが準拠すべきビジネスルールに関するルール一式を含む、仕様を識別する。,Identifier,1010,/ubl:Invoice/cbc:CustomizationID,BT-24,1..1,2,取引プロセス識別子,Identifier,取引プロセスの識別子(ID),〇,,,,1050,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter/ram:ID,,
ibg-03,0..n,1,PRECEDING INVOICE REFERENCE,A group of business terms providing information on one or more preceding Invoices.,先行請求書への参照,1つのあるいはそれ以上の先行請求書に関する情報を提供するビジネス用語のグループ。,,1210,/ubl:Invoice/cac:BillingReference,BG-3,0..1,2,先行請求書への参照,,1つ以上の先行請求書に関する情報,,,,,3970,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument,,
ibg-03,0..n,1,Preceding Invoice reference,The identification of an Invoice that was previously sent by the Seller.,先行請求書への参照,1つのあるいはそれ以上の先行請求書に関する情報を提供するビジネス用語のグループ。,,1210,/ubl:Invoice/cac:BillingReference,BG-3,1..1,3,先行請求書への参照,,受注者が以前に送付した請求書の識別子,,,,,3970,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument,,
ibt-026,0..1,2,Preceding Invoice issue date,The date when the Preceding Invoice was issued.,先行請求書発行日,先行請求書の発行日。,Date,1240,/ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate,BT-26,1..1,3,先行請求書発行日,Date,先行請求書の発行日,,,,,4000,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString[@format='102'],,
ibg-04,1..1,1,SELLER,A group of business terms providing information about the Seller.,売り手,売り手に係る情報を提供するビジネス用語のグループ。,,1470,/ubl:Invoice/cac:AccountingSupplierParty,BG-4,1..1,1,売り手,,受注者に係る情報,〇,,,,,,,
ibt-027,1..1,2,Seller name,The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons. ,売り手名称,売り手が所在国の法人登録簿に法人、または課税対象者として登録されている、またはその他の方法で1人または複数の人として登録されている完全な正式名称。,Text,1780,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,BT-27,1..1,2,売り手名称,Text,注文を受ける企業/工場・事業所・事業部門等を表す名称,◎,◎,,,1980,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Name,,
ibt-028,0..1,2,Seller trading name,"A name by which the Seller is known, other than Seller name (also known as Business name].",売り手商号,売り手名称以外で、知られているビジネス上の名称（商号ともよばれる）。,Text,1580,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name,BT-28,,,売り手の商号,,,,,,,2030,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName,,
ibt-029,0..n,2,Seller identifier,An identification of the Seller. The identification scheme identifier of the Seller identifier.,売り手ID,売り手を表すID。,Identifier,1550,"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID[not(@schemeID=""SEPA"")]",BT-29,1..1,2,売り手コード,Identifier,注文を受ける企業/工場・事業所・事業部門等を表すコード,◎,,,,1950,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:ID,,
ibt-029-1,0..1,3,Seller identifier Scheme identifier,"If used, the identification scheme identifier shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,Code,1560,"/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID[not(@schemeID=""SEPA"")]/@schemeID",BT-29-1,,,,,,,,,,,,,
ibt-030,0..1,2,Seller legal registration identifier,An identifier issued by an official registrar that identifies the Seller as a legal entity or person. The identification scheme identifier of the Seller legal registration identifier.,売り手法人ID,公的機関が発行した売り手を法人や個人として識別するID。,Identifier,1790,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,BT-30,0..1,2,売り手国際企業コード,Identifier,注文を受ける企業を表す国際企業コード中小企業共通EDIでは法人番号を利用,〇,,,,2010,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,
ibt-030-1,0..1,3,Seller legal registration identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,使用する場合、識別スキーマは、ISO/IEC 6523 保守機関が公開しているリストから選択しなければならない。,Code,1800,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,BT-30-1,,,,,,,,,,,,,
ibt-031,0..1,2,Seller TAX identifier,The Seller's VAT identifier (also known as Seller VAT identification number).,売り手税ID,売り手の税ID(売り手の税識別番号ともよばれる）。,Identifier,1700,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID='VAT']/cbc:CompanyID,BT-31,,,売り手消費税識別子,Identifier,,,,,,2230,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,
ibt-032,0..1,2,Seller tax registration identifier,The local identification (defined by the Seller's address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.,売り手税登録ID,税務上の売り手の所在地における登録ID（売り手の住所で定義された値）。または売り手が登録済みの税務状況を示すことを可能にする参照ID。,Identifier,1740,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID!='VAT']/cbc:CompanyID,BT-32,1..1,2,売り手の適格請求書発行事業者登録番号,Identifier,登録された請求者の適格請求書発行事業者登録番号,,◎,,,2230,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='TC'],,
ibt-033,0..1,2,Seller additional legal information,Additional legal information relevant for the Seller.,売り手追加法的情報,売り手に関する追加の法的情報。,Text,1810,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm,BT-33,,,売り手追加法的情報,Text,,,,,,1990,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Description,,
ibt-034,1..1,2,Seller electronic address,Identifies the Seller's electronic address to which the application level response to the invoice may be delivered. The identification scheme identifier of the Seller electronic address.,売り手電子アドレス,請求書に対するアプリケーションレベルの応答が配信される売り手の電子アドレスを識別する。,Identifier,1490,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID,BT-34,0..1,2,売り手電子機器アドレス スキーム識別子,Identifier,請求書に対するアプリケーションレベルの応答が配信されるセラーの電子アドレスを識別,,,,✔,2200,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID,,
ibt-034-1,1..1,3,Seller electronic address Scheme identifier,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,スキーマID,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,Code,1500,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID,BT-34-1,,,,,,,,,,,,,
ibg-05,1..1,2,SELLER POSTAL ADDRESS,A group of business terms providing information about the address of the Seller.,売り手住所,売り手の住所に関する情報を提供するビジネス用語のグループ。,,1590,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress,BG-5,0..1,2,売り手の住所,,受注者の住所に関する情報,〇,,,,1940,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty,,
ibt-035,0..1,3,Seller address line 1,The main address line in an address.,売り手住所欄1,売り手の住所の主な記載欄。,Text,1600,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName,BT-35,1..1,3,売り手住所欄1,Text,受注者の住所,〇,,,,2130,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineOne,,
ibt-036,0..1,3,Seller address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,売り手住所欄2,売り手の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。,Text,1610,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,BT-36,,,売り手住所欄2,Text,,,,,,2140,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineTwo,,
ibt-162,0..1,3,Seller address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,売り手住所欄3,売り手の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。,Text,1660,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,BT-162,,,売り手住所欄3,Text,,,,,,2150,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineThree,,
ibt-037,0..1,3,Seller city,"The common name of the city, town or village, where the Seller address is located.",売り手住所 市区町村,売り手が所在する市、町、村の通称。,Text,1620,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName,BT-37,,,売り手市,Text,,,,,,2160,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CityName,,
ibt-038,0..1,3,Seller post code,The identifier for an addressable group of properties according to the relevant postal service.,売り手郵便番号,売り手の住所の郵便番号。,Text,1630,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone,BT-38,1..1,3,売り手郵便番号,Text,受注者の郵便番号,〇,,,,2120,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,
ibt-039,0..1,3,Seller country subdivision,The subdivision of a country.,売り手住所 都道府県,売り手の住所の地方区分。,Text,1640,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,BT-39,,,売り手の地方区分,Text,,,,,,2180,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,
ibt-040,1..1,3,Seller country code,A code that identifies the country.,売り手国コード,売り手の住所の国コード。,Code,1680,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,BT-40,0..1,3,売り手国コード,Code,,,,,,2170,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CountryID,,
