GL02,GL55,GL55-11,GL60-01,GL02-01,GL02-06,GL02-03,GL04-03,GL55-01,GL55-03,GL56-01,GL57-01,GL57-02,GL60-02
8,1,,貸方消費税コード,,,,,,,,,,0
9,,,,6,2022-07-11,,,,,,,,
9,2,,,,,,,2,イロハ社労士事務所､労保諸手続報酬払い,,PC02,2023-04-15,
9,2,借方,,,,999,諸口,,," 49,895 ",,,
9,2,,借方消費税コード,,,,,,,,,,0
9,2,貸方,,,,110,城北信当座預金,,," 49,895 ",,,
9,2,,貸方消費税コード,,,,,,,,,,0
10,,,,6,2022-07-11,,,,,,,,
10,3,,,,,,,3,イロハ社労士事務所､源泉所得税,,PC02,2023-04-15,
10,3,借方,,,,999,諸口,,," 5,105 ",,,
10,3,,借方消費税コード,,,,,,,,,,0
10,3,貸方,,,,208,預り金,,," 5,105 ",,,
10,3,,貸方消費税コード,,,,,,,,,,0
10,3,,貸方資金区分,,,,,,,,,,4
11,,,,7,2022-07-12,,,,,,,,
11,1,,,,,,,1,ＸＹＺ司法書士､解散登記法定費用分,,PC02,2023-04-15,
11,1,借方,,,,154,仮払金,,," 50,000 ",,,
11,1,,借方消費税コード,,,,,,,,,,0
11,1,,借方資金区分,,,,,,,,,,64
11,1,貸方,,,,110,城北信当座預金,,," 50,000 ",,,
11,1,,貸方消費税コード,,,,,,,,,,0
12,,,,8,2022-07-14,,,,,,,,
12,1,,,,,,,1,㈱越後屋,,PC01,2022-09-02,
12,1,借方,,,,111,三菱東京UFJ当座預金,,," 110,000 ",,,
12,1,,借方消費税コード,,,,,,,,,,0
12,1,貸方,,,,131,売掛金,,," 110,000 ",,,
12,1,,貸方消費税コード,,,,,,,,,,0
12,1,,貸方資金区分,,,,,,,,,,2
13,,,,9,2022-07-20,,,,,,,,
13,1,,,,,,,1,大手町機工､売掛回収,,PC02,2023-04-15,
13,1,借方,,,,111,三菱東京UFJ当座預金,,," 29,810 ",,,
13,1,,借方消費税コード,,,,,,,,,,0
13,1,貸方,,,,999,諸口,,," 29,810 ",,,
13,1,,貸方消費税コード,,,,,,,,,,0
14,,,,9,2022-07-20,,,,,,,,
14,2,,,,,,,2,大手町機工､振込料,,PC02,2023-04-15,
14,2,借方,,,,512,支払手数料,,, 880 ,,,
14,2,,借方消費税コード,,,,,,,,,,32
14,2,,借方消費税税率,,,,,,,,,,10
14,2,,借方資金区分,,,,,,,,,,56
14,2,貸方,,,,999,諸口,,, 880 ,,,
14,2,,貸方消費税コード,,,,,,,,,,0
15,,,,9,2022-07-20,,,,,,,,
15,3,,,,,,,3,大手町機工､振込入金,,PC02,2023-04-15,
15,3,借方,,,,999,諸口,,," 30,690 ",,,
15,3,,借方消費税コード,,,,,,,,,,0
15,3,貸方,,,,131,売掛金,,," 30,690 ",,,
15,3,,貸方消費税コード,,,,,,,,,,0
15,3,,貸方資金区分,,,,,,,,,,2
16,,,,10,2022-07-25,,,,,,,,
16,1,,,,,,,1,"八重洲商事駐車場､13,000X税1,300､8月分",,PC02,2023-04-15,
16,1,借方,,,,528,地代・家賃,,," 14,300 ",,,
16,1,,借方消費税コード,,,,,,,,,,32
16,1,,借方消費税税率,,,,,,,,,,10
16,1,,借方資金区分,,,,,,,,,,55
16,1,貸方,,,,110,城北信当座預金,,," 14,300 ",,,
16,1,,貸方消費税コード,,,,,,,,,,0
17,,,,11,2022-07-25,,,,,,,,
17,1,,,,,,,1,銀行振替,,PC01,2022-09-02,
17,1,借方,,,,110,城北信当座預金,,," 6,600,000 ",,,
17,1,,借方消費税コード,,,,,,,,,,0
17,1,貸方,,,,111,三菱東京UFJ当座預金,,," 6,600,000 ",,,
17,1,,貸方消費税コード,,,,,,,,,,0
18,,,,12,2022-07-25,,,,,,,,
18,1,,,,,,,1,日比谷建業㈱､売掛回収,,PC02,2023-04-15,
18,1,借方,,,,111,三菱東京UFJ当座預金,,," 6,486,393 ",,,
18,1,,借方消費税コード,,,,,,,,,,0
18,1,貸方,,,,999,諸口,,," 6,486,393 ",,,
18,1,,貸方消費税コード,,,,,,,,,,0
19,,,,12,2022-07-25,,,,,,,,
19,2,,,,,,,2,日比谷建業㈱､振込料,,PC02,2023-04-15,
19,2,借方,,,,512,支払手数料,,, 550 ,,,
19,2,,借方消費税コード,,,,,,,,,,32
19,2,,借方消費税税率,,,,,,,,,,10
19,2,,借方資金区分,,,,,,,,,,56
19,2,貸方,,,,999,諸口,,, 550 ,,,
19,2,,貸方消費税コード,,,,,,,,,,0
20,,,,12,2022-07-25,,,,,,,,
20,3,,,,,,,3,日比谷建業㈱､振込入金,,PC02,2023-04-15,
20,3,借方,,,,999,諸口,,," 6,486,943 ",,,
20,3,,借方消費税コード,,,,,,,,,,0
20,3,貸方,,,,131,売掛金,,," 6,486,943 ",,,
20,3,,貸方消費税コード,,,,,,,,,,0
20,3,,貸方資金区分,,,,,,,,,,2
21,,,,13,2022-07-25,,,,,,,,
21,1,,,,,,,1,日比谷建業㈱,,PC02,2023-04-15,
21,1,借方,,,,130,受取手形,,," 1,210,000 ",,,
21,1,,借方消費税コード,,,,,,,,,,0
21,1,,借方資金区分,,,,,,,,,,3
21,1,貸方,,,,131,売掛金,,," 1,210,000 ",,,
21,1,,貸方消費税コード,,,,,,,,,,0
21,1,,貸方資金区分,,,,,,,,,,2
22,,,,14,2022-07-25,,,,,,,,
22,1,,,,,,,1,NTTﾌｧｲﾅﾝｽ､電話料金,,PC01,2022-09-02,
22,1,借方,,,,523,通信費,,," 6,496 ",,,
22,1,,借方消費税コード,,,,,,,,,,32
22,1,,借方消費税税率,,,,,,,,,,10
22,1,,借方資金区分,,,,,,,,,,56
22,1,貸方,,,,110,城北信当座預金,,," 6,496 ",,,
22,1,,貸方消費税コード,,,,,,,,,,0
23,,,,15,2022-07-25,,,,,,,,
23,1,,,,,,,1,神田産業㈱､日比谷建業㈱分裏書,,PC02,2023-04-15,
23,1,借方,,,,201,買掛金,,," 1,210,000 ",,,
23,1,,借方消費税コード,,,,,,,,,,0
23,1,,借方資金区分,,,,,,,,,,43
23,1,貸方,,,,130,受取手形,,," 1,210,000 ",,,
23,1,,貸方消費税コード,,,,,,,,,,0
23,1,,貸方資金区分,,,,,,,,,,3
24,,,,16,2022-07-25,,,,,,,,
24,1,,,,,,,1,神田産業㈱,,PC02,2023-04-15,
24,1,借方,,,,201,買掛金,,," 509,464 ",,,
24,1,,借方消費税コード,,,,,,,,,,0
24,1,,借方資金区分,,,,,,,,,,43
24,1,貸方,,,,110,城北信当座預金,,," 509,464 ",,,
24,1,,貸方消費税コード,,,,,,,,,,0
25,,,,17,2022-07-25,,,,,,,,
25,1,,,,,,,1,神田産業㈱､相殺,,PC02,2023-04-15,
25,1,借方,,,,201,買掛金,,," 1,100,000 ",,,
25,1,,借方消費税コード,,,,,,,,,,0
25,1,,借方資金区分,,,,,,,,,,43
25,1,貸方,,,,131,売掛金,,," 1,100,000 ",,,
25,1,,貸方消費税コード,,,,,,,,,,0
25,1,,貸方資金区分,,,,,,,,,,2
26,,,,26,2022-07-26,,,,,,,,
26,1,,,,,,,1,麹町税務署､源泉所得税納付,,PC02,2023-04-15,
26,1,借方,,,,208,預り金,,," 7,373 ",,,
26,1,,借方消費税コード,,,,,,,,,,0
26,1,,借方資金区分,,,,,,,,,,68
26,1,貸方,,,,100,現金,,," 7,373 ",,,
26,1,,貸方消費税コード,,,,,,,,,,0
27,,,,27,2022-07-26,,,,,,,,
27,1,,,,,,,1,城北信金､定期預金解約,,PC03,2022-09-06,
27,1,借方,,,,110,城北信当座預金,,," 10,007,756 ",,,
27,1,,借方消費税コード,,,,,,,,,,0
27,1,貸方,,,,999,諸口,,," 10,007,756 ",,,
27,1,,貸方消費税コード,,,,,,,,,,0
28,,,,27,2022-07-26,,,,,,,,
28,2,,,,,,,2,城北信金､定期預金解約,,PC03,2022-09-06,
28,2,借方,,,,999,諸口,,," 10,007,678 ",,,
28,2,,借方消費税コード,,,,,,,,,,0
28,2,貸方,,,,125,城北信定期預金,,," 10,007,678 ",,,
28,2,,貸方消費税コード,,,,,,,,,,0
28,2,,貸方資金区分,,,,,,,,,,28
29,,,,27,2022-07-26,,,,,,,,
29,3,,,,,,,3,城北信金､定期預金利息,,PC03,2022-09-06,
29,3,借方,,,,999,諸口,,, 91 ,,,
29,3,,借方消費税コード,,,,,,,,,,0
29,3,貸方,,,,600,受取利息,,, 91 ,,,
29,3,,貸方消費税コード,,,,,,,,,,20
29,3,,貸方資金区分,,,,,,,,,,6
30,,,,27,2022-07-26,,,,,,,,
30,4,,,,,,,4,城北信金､利子所得税,,PC03,2022-09-06,
30,4,借方,,,,526,租税公課,,, 13 ,,,
30,4,,借方消費税コード,,,,,,,,,,0
30,4,,借方資金区分,,,,,,,,,,59
30,4,貸方,,,,999,諸口,,, 13 ,,,
30,4,,貸方消費税コード,,,,,,,,,,0
31,,,,28,2022-07-26,,,,,,,,
31,1,,,,,,,1,城北信金､定期預金解約,,PC03,2022-09-06,
31,1,借方,,,,110,城北信当座預金,,," 5,890,111 ",,,
31,1,,借方消費税コード,,,,,,,,,,0
31,1,貸方,,,,999,諸口,,," 5,890,111 ",,,
31,1,,貸方消費税コード,,,,,,,,,,0
32,,,,28,2022-07-26,,,,,,,,
32,2,,,,,,,2,城北信金､定期預金解約,,PC01,2022-09-02,
32,2,借方,,,,999,諸口,,," 5,890,100 ",,,
32,2,,借方消費税コード,,,,,,,,,,0
32,2,貸方,,,,125,城北信定期預金,,," 5,890,100 ",,,
32,2,,貸方消費税コード,,,,,,,,,,0
32,2,,貸方資金区分,,,,,,,,,,28
33,,,,28,2022-07-26,,,,,,,,
33,3,,,,,,,3,城北信金､定期預金利息,,PC03,2022-09-06,
33,3,借方,,,,999,諸口,,, 12 ,,,
33,3,,借方消費税コード,,,,,,,,,,0
33,3,貸方,,,,600,受取利息,,, 12 ,,,
33,3,,貸方消費税コード,,,,,,,,,,20
33,3,,貸方資金区分,,,,,,,,,,6
34,,,,28,2022-07-26,,,,,,,,
34,4,,,,,,,4,城北信金､利子所得税,,PC03,2022-09-06,
34,4,借方,,,,526,租税公課,,, 1 ,,,
34,4,,借方消費税コード,,,,,,,,,,0
34,4,,借方資金区分,,,,,,,,,,59
34,4,貸方,,,,999,諸口,,, 1 ,,,
34,4,,貸方消費税コード,,,,,,,,,,0
35,,,,29,2022-07-28,,,,,,,,
35,1,,,,,,,1,ＸＹＺ司法書士､解散登記分,,PC02,2023-04-15,
35,1,借方,,,,512,支払手数料,,," 64,700 ",,,
35,1,,借方消費税コード,,,,,,,,,,32
35,1,,借方消費税税率,,,,,,,,,,10
35,1,,借方資金区分,,,,,,,,,,56
35,1,貸方,,,,999,諸口,,," 64,700 ",,,
35,1,,貸方消費税コード,,,,,,,,,,0
36,,,,29,2022-07-28,,,,,,,,
36,2,,,,,,,2,ＸＹＺ司法書士､解散登記分,,PC02,2023-04-15,
36,2,借方,,,,999,諸口,,," 50,000 ",,,
36,2,,借方消費税コード,,,,,,,,,,0
36,2,貸方,,,,154,仮払金,,," 50,000 ",,,
36,2,,貸方消費税コード,,,,,,,,,,0
36,2,,貸方資金区分,,,,,,,,,,9
37,,,,29,2022-07-28,,,,,,,,
37,3,,,,,,,3,ＸＹＺ司法書士､解散登記分,,PC02,2023-04-15,
37,3,借方,,,,999,諸口,,," 50,673 ",,,
37,3,,借方消費税コード,,,,,,,,,,0
37,3,貸方,,,,110,城北信当座預金,,," 50,673 ",,,
37,3,,貸方消費税コード,,,,,,,,,,0
38,,,,29,2022-07-28,,,,,,,,
38,4,,,,,,,4,ＸＹＺ司法書士､解散登記分印紙代等,,PC02,2023-04-15,
38,4,借方,,,,526,租税公課,,," 40,772 ",,,
38,4,,借方消費税コード,,,,,,,,,,0
38,4,,借方資金区分,,,,,,,,,,59
38,4,貸方,,,,999,諸口,,," 40,772 ",,,
38,4,,貸方消費税コード,,,,,,,,,,0
39,,,,29,2022-07-28,,,,,,,,
39,5,,,,,,,5,ＸＹＺ司法書士､源泉所得税,,PC02,2023-04-15,
39,5,借方,,,,999,諸口,,," 4,799 ",,,
39,5,,借方消費税コード,,,,,,,,,,0
39,5,貸方,,,,208,預り金,,," 4,799 ",,,
39,5,,貸方消費税コード,,,,,,,,,,0
39,5,,貸方資金区分,,,,,,,,,,4
40,,,,30,2022-07-25,,,,,,,,
40,1,,,,,,,1,ＡＢＣ社会保険労働事務所､労保精算金,,PC02,2023-04-15,
40,1,借方,,,,531,保険料,,, 15 ,,,
40,1,,借方消費税コード,,,,,,,,,,30
40,1,,借方資金区分,,,,,,,,,,56
40,1,貸方,,,,100,現金,,, 15 ,,,
40,1,,貸方消費税コード,,,,,,,,,,0
41,,,,31,2022-07-29,,,,,,,,
41,1,,,,,,,1,美土代町金商㈱,,PC02,2023-04-15,
41,1,借方,,,,201,買掛金,,," 22,143 ",,,
41,1,,借方消費税コード,,,,,,,,,,0
41,1,,借方資金区分,,,,,,,,,,43
41,1,貸方,,,,110,城北信当座預金,,," 22,143 ",,,
41,1,,貸方消費税コード,,,,,,,,,,0
42,,,,32,2022-07-29,,,,,,,,
42,1,,,,,,,1,㈱大塚商会､保守料,,PC03,2022-09-06,
42,1,借方,,,,529,修繕費,,," 4,840 ",,,
42,1,,借方消費税コード,,,,,,,,,,32
42,1,,借方消費税税率,,,,,,,,,,10
42,1,,借方資金区分,,,,,,,,,,56
42,1,貸方,,,,111,三菱東京UFJ当座預金,,," 4,840 ",,,
42,1,,貸方消費税コード,,,,,,,,,,0
43,,,,33,2022-07-29,,,,,,,,
43,1,,,,,,,1,㈲錦町ｵｰﾄ､ﾄﾗｯｸ整備代,,PC02,2023-04-15,
43,1,借方,,,,529,修繕費,,," 61,380 ",,,
43,1,,借方消費税コード,,,,,,,,,,32
43,1,,借方消費税税率,,,,,,,,,,10
43,1,,借方資金区分,,,,,,,,,,56
43,1,貸方,,,,110,城北信当座預金,,," 61,380 ",,,
43,1,,貸方消費税コード,,,,,,,,,,0
44,,,,34,2022-07-29,,,,,,,,
44,1,,,,,,,1,小川町工業,,PC02,2023-04-15,
44,1,借方,,,,201,買掛金,,," 2,601,610 ",,,
44,1,,借方消費税コード,,,,,,,,,,0
44,1,,借方資金区分,,,,,,,,,,43
44,1,貸方,,,,110,城北信当座預金,,," 2,601,610 ",,,
44,1,,貸方消費税コード,,,,,,,,,,0
45,,,,35,2022-07-29,,,,,,,,
45,1,,,,,,,1,㈱三崎産業,,PC02,2023-04-15,
45,1,借方,,,,201,買掛金,,," 528,125 ",,,
45,1,,借方消費税コード,,,,,,,,,,0
45,1,,借方資金区分,,,,,,,,,,43
45,1,貸方,,,,110,城北信当座預金,,," 528,125 ",,,
45,1,,貸方消費税コード,,,,,,,,,,0
46,,,,36,2022-07-29,,,,,,,,
46,1,,,,,,,1,アラカワ㈱,,PC02,2023-04-15,
46,1,借方,,,,201,買掛金,,," 26,400 ",,,
46,1,,借方消費税コード,,,,,,,,,,0
46,1,,借方資金区分,,,,,,,,,,43
46,1,貸方,,,,110,城北信当座預金,,," 26,400 ",,,
46,1,,貸方消費税コード,,,,,,,,,,0
47,,,,37,2022-07-29,,,,,,,,
47,1,,,,,,,1,鍛冶町製作所,,PC02,2023-04-15,
47,1,借方,,,,201,買掛金,,," 28,050 ",,,
47,1,,借方消費税コード,,,,,,,,,,0
47,1,,借方資金区分,,,,,,,,,,43
47,1,貸方,,,,110,城北信当座預金,,," 28,050 ",,,
47,1,,貸方消費税コード,,,,,,,,,,0
48,,,,38,2022-07-29,,,,,,,,
48,1,,,,,,,1,東京産業㈱､相殺,,PC02,2023-04-15,
48,1,借方,,,,201,買掛金,,," 119,521 ",,,
48,1,,借方消費税コード,,,,,,,,,,0
48,1,,借方資金区分,,,,,,,,,,43
48,1,貸方,,,,131,売掛金,,," 119,521 ",,,
48,1,,貸方消費税コード,,,,,,,,,,0
48,1,,貸方資金区分,,,,,,,,,,2
49,,,,39,2022-07-29,,,,,,,,
49,1,,,,,,,1,東京産業㈱,,PC02,2023-04-15,
49,1,借方,,,,201,買掛金,,," 116,979 ",,,
49,1,,借方消費税コード,,,,,,,,,,0
49,1,,借方資金区分,,,,,,,,,,43
49,1,貸方,,,,110,城北信当座預金,,," 116,979 ",,,
49,1,,貸方消費税コード,,,,,,,,,,0
50,,,,40,2022-07-29,,,,,,,,
50,1,,,,,,,1,ニホン工業㈱,,PC02,2023-04-15,
50,1,借方,,,,201,買掛金,,," 892,100 ",,,
50,1,,借方消費税コード,,,,,,,,,,0
50,1,,借方資金区分,,,,,,,,,,43
50,1,貸方,,,,110,城北信当座預金,,," 892,100 ",,,
50,1,,貸方消費税コード,,,,,,,,,,0
51,,,,41,2022-07-29,,,,,,,,
51,1,,,,,,,1,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却,,PC02,2023-04-15,
51,1,借方,,,,110,城北信当座預金,,," 775,800 ",,,
51,1,,借方消費税コード,,,,,,,,,,0
51,1,貸方,,,,999,諸口,,," 775,800 ",,,
51,1,,貸方消費税コード,,,,,,,,,,0
52,,,,41,2022-07-29,,,,,,,,
52,2,,,,,,,2,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却収入,,PC02,2023-04-15,
52,2,借方,,,,999,諸口,,," 850,000 ",,,
52,2,,借方消費税コード,,,,,,,,,,0
52,2,貸方,,,,701,固定資産譲渡収入,,," 850,000 ",,,
52,2,,貸方消費税コード,,,,,,,,,,2
52,2,,貸方消費税税率,,,,,,,,,,10
52,2,,貸方資金区分,,,,,,,,,,7
53,,,,41,2022-07-29,,,,,,,,
53,3,,,,,,,3,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却件登録閉鎖手数料,,PC02,2023-04-15,
53,3,借方,,,,512,支払手数料,,," 69,000 ",,,
53,3,,借方消費税コード,,,,,,,,,,32
53,3,,借方消費税税率,,,,,,,,,,10
53,3,,借方資金区分,,,,,,,,,,56
53,3,貸方,,,,999,諸口,,," 69,000 ",,,
53,3,,貸方消費税コード,,,,,,,,,,0
54,,,,41,2022-07-29,,,,,,,,
54,4,,,,,,,4,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却件登録閉鎖法定費用,,PC02,2023-04-15,
54,4,借方,,,,512,支払手数料,,," 5,200 ",,,
54,4,,借方消費税コード,,,,,,,,,,30
54,4,,借方資金区分,,,,,,,,,,56
54,4,貸方,,,,999,諸口,,," 5,200 ",,,
54,4,,貸方消費税コード,,,,,,,,,,0
55,,,,42,2022-07-29,,,,,,,,
55,1,,,,,,,1,札の辻､ｶﾞｿﾘﾝ代,,PC02,2023-04-15,
55,1,借方,,,,525,消耗品費,,," 12,636 ",,,
55,1,,借方消費税コード,,,,,,,,,,32
55,1,,借方消費税税率,,,,,,,,,,10
55,1,,借方資金区分,,,,,,,,,,56
55,1,貸方,,,,110,城北信当座預金,,," 12,636 ",,,
55,1,,貸方消費税コード,,,,,,,,,,0
56,,,,42,2022-07-29,,,,,,,,
56,2,,,,,,,2,北海道太郎､社有乗用車マークＸ売却,,PC02,2023-04-15,
56,2,借方,,,,153,未収入金,,," 100,000 ",,,
56,2,,借方消費税コード,,,,,,,,,,0
56,2,,借方資金区分,,,,,,,,,,8
56,2,貸方,,,,701,固定資産譲渡収入,,," 100,000 ",,,
56,2,,貸方消費税コード,,,,,,,,,,2
56,2,,貸方消費税税率,,,,,,,,,,10
56,2,,貸方資金区分,,,,,,,,,,7
57,,,,43,2022-07-02,,,,,,,,
57,1,,,,,,,1,ライフ､中元贈答品,,PC01,2022-09-02,
57,1,借方,,,,521,接待交際費,,," 8,910 ",,,
57,1,,借方補助科目,,,,,,,,,,2
57,1,,借方補助科目名,,,,,,,,,,少額交際費
57,1,,借方消費税コード,,,,,,,,,,32
57,1,,借方消費税税率,,,,,,,,,,10
57,1,,借方資金区分,,,,,,,,,,56
57,1,貸方,,,,100,現金,,," 8,910 ",,,
57,1,,貸方消費税コード,,,,,,,,,,0
58,,,,44,2022-07-04,,,,,,,,
58,1,,,,,,,1,日本郵便､ﾊｶﾞｷ代他,,PC02,2023-04-15,
58,1,借方,,,,523,通信費,,," 1,470 ",,,
58,1,,借方消費税コード,,,,,,,,,,32
58,1,,借方消費税税率,,,,,,,,,,10
58,1,,借方資金区分,,,,,,,,,,56
58,1,貸方,,,,100,現金,,," 1,470 ",,,
58,1,,貸方消費税コード,,,,,,,,,,0
59,,,,45,2022-07-04,,,,,,,,
59,1,,,,,,,1,実用興業､ﾀｸｼｰ代,,PC01,2022-09-02,
59,1,借方,,,,522,旅費・交通費,,," 1,220 ",,,
59,1,,借方消費税コード,,,,,,,,,,32
59,1,,借方消費税税率,,,,,,,,,,10
59,1,,借方資金区分,,,,,,,,,,56
59,1,貸方,,,,100,現金,,," 1,220 ",,,
59,1,,貸方消費税コード,,,,,,,,,,0
60,,,,46,2022-07-06,,,,,,,,
60,1,,,,,,,1,日本交通､ﾀｸｼｰ代,,PC02,2023-04-15,
60,1,借方,,,,522,旅費・交通費,,, 980 ,,,
60,1,,借方消費税コード,,,,,,,,,,32
60,1,,借方消費税税率,,,,,,,,,,10
60,1,,借方資金区分,,,,,,,,,,56
60,1,貸方,,,,100,現金,,, 980 ,,,
60,1,,貸方消費税コード,,,,,,,,,,0
61,,,,47,2022-07-06,,,,,,,,
61,1,,,,,,,1,総合食品ストア､北海道扱返金,,PC02,2023-04-15,
61,1,借方,,,,202,借入金,,," 12,063 ",,,
61,1,,借方補助科目,,,,,,,,,,7
61,1,,借方補助科目名,,,,,,,,,,その他の借入金
61,1,,借方消費税コード,,,,,,,,,,0
61,1,,借方資金区分,,,,,,,,,,84
61,1,貸方,,,,100,現金,,," 12,063 ",,,
61,1,,貸方消費税コード,,,,,,,,,,0
62,,,,48,2022-07-07,,,,,,,,
62,1,,,,,,,1,日月東交通､ﾀｸｼｰ代,,PC01,2022-09-02,
62,1,借方,,,,522,旅費・交通費,,," 2,900 ",,,
62,1,,借方消費税コード,,,,,,,,,,32
62,1,,借方消費税税率,,,,,,,,,,10
62,1,,借方資金区分,,,,,,,,,,56
62,1,貸方,,,,100,現金,,," 2,900 ",,,
62,1,,貸方消費税コード,,,,,,,,,,0
63,,,,49,2022-07-07,,,,,,,,
63,1,,,,,,,1,明治交通､ﾀｸｼｰ代,,PC01,2022-09-02,
63,1,借方,,,,522,旅費・交通費,,," 1,140 ",,,
63,1,,借方消費税コード,,,,,,,,,,32
63,1,,借方消費税税率,,,,,,,,,,10
63,1,,借方資金区分,,,,,,,,,,56
63,1,貸方,,,,100,現金,,," 1,140 ",,,
63,1,,貸方消費税コード,,,,,,,,,,0
64,,,,50,2022-07-08,,,,,,,,
64,1,,,,,,,1,千代田区役所､収入証紙,,PC02,2023-04-15,
64,1,借方,,,,526,租税公課,,, 300 ,,,
64,1,,借方消費税コード,,,,,,,,,,0
64,1,,借方資金区分,,,,,,,,,,59
64,1,貸方,,,,100,現金,,, 300 ,,,
64,1,,貸方消費税コード,,,,,,,,,,0
65,,,,51,2022-07-09,,,,,,,,
65,1,,,,,,,1,大和自動車､ﾀｸｼｰ代,,PC02,2023-04-15,
65,1,借方,,,,522,旅費・交通費,,, 900 ,,,
65,1,,借方消費税コード,,,,,,,,,,32
65,1,,借方消費税税率,,,,,,,,,,10
65,1,,借方資金区分,,,,,,,,,,56
65,1,貸方,,,,100,現金,,, 900 ,,,
65,1,,貸方消費税コード,,,,,,,,,,0
66,,,,52,2022-07-09,,,,,,,,
66,1,,,,,,,1,実用興業､ﾀｸｼｰ代,,PC01,2022-09-02,
66,1,借方,,,,522,旅費・交通費,,, 900 ,,,
66,1,,借方消費税コード,,,,,,,,,,32
66,1,,借方消費税税率,,,,,,,,,,10
66,1,,借方資金区分,,,,,,,,,,56
66,1,貸方,,,,100,現金,,, 900 ,,,
66,1,,貸方消費税コード,,,,,,,,,,0
67,,,,53,2022-07-12,,,,,,,,
67,1,,,,,,,1,実用興業､ﾀｸｼｰ代,,PC01,2022-09-02,
67,1,借方,,,,522,旅費・交通費,,, 900 ,,,
67,1,,借方消費税コード,,,,,,,,,,32
67,1,,借方消費税税率,,,,,,,,,,10
67,1,,借方資金区分,,,,,,,,,,56
67,1,貸方,,,,100,現金,,, 900 ,,,
67,1,,貸方消費税コード,,,,,,,,,,0
68,,,,54,2022-07-12,,,,,,,,
68,1,,,,,,,1,六花亭､食品贈答品,,PC03,2022-09-06,
