GL02,GL02-GL55,GL55-GL60,GL55-GL61,GL02-01,GL64-01,GL64-02,GL64-03,GL64-04,GL57-01,GL57-02,GL55-03,GL55-04,GL55-05,GL63-01,GL63-02,GL63-03,GL56-01,GL56-02,GL69-02,GL60-01,GL60-02,GL60-03,GL61-01,GL61-02,GL61-03
0001-20090402-142-6-1-473,0,,,,,,,,,,account,高速代,debit,740,車両費,VehiclesExpense,2458,ISO4217:JPY,2009-04-02,部門,040,大阪,,,
0001-20090402-142-6-1-473,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,122,ISO4217:JPY,2009-04-02,部門,040,大阪,,,
0001-20090402-142-6-1-473,2,,,,,,,,,,account,高速代,credit,111,現金,CashHand,14050,ISO4217:JPY,2009-04-02,部門,000,共通部門,,,
0001-20090402-142-6-1-473,3,,,,,,,,,,account,駐車代,debit,740,車両費,VehiclesExpense,591,ISO4217:JPY,2009-04-02,部門,040,大阪,,,
0001-20090402-142-6-1-473,4,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,29,ISO4217:JPY,2009-04-02,部門,040,大阪,,,
0001-20090402-142-6-1-473,5,,,,,,,,,,account,ガソリン代,debit,740,車両費,VehiclesExpense,4620,ISO4217:JPY,2009-04-02,部門,040,大阪,,,
0001-20090402-142-6-1-473,6,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,230,ISO4217:JPY,2009-04-02,部門,040,大阪,,,
0001-20090402-142-6-1-473,7,,,,,,,,,,account,洗車券代,debit,740,車両費,VehiclesExpense,5715,ISO4217:JPY,2009-04-02,部門,040,大阪,,,
0001-20090402-142-6-1-473,8,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,285,ISO4217:JPY,2009-04-02,部門,040,大阪,,,
0001-20090402-19-3-1-467,,,,3-467,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090402-19-3-1-467,0,,,,,,,,,,account,旅費,debit,726,旅費交通費,TravelingExpense,10477,ISO4217:JPY,2009-04-02,部門,010,札幌,,,
0001-20090402-19-3-1-467,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,523,ISO4217:JPY,2009-04-02,部門,010,札幌,,,
0001-20090402-19-3-1-467,2,,,,,,,,,,account,旅費,credit,111,現金,CashHand,11000,ISO4217:JPY,2009-04-02,部門,000,共通部門,,,
0001-20090402-68-4-1-469,,,,4-469,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090402-68-4-1-469,0,,,,,,,,,,account,トイレットペーパー他,debit,791,雑費,MiscellaneousExpense,2829,ISO4217:JPY,2009-04-02,部門,010,札幌,,,
0001-20090402-68-4-1-469,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,141,ISO4217:JPY,2009-04-02,部門,010,札幌,,,
0001-20090402-68-4-1-469,2,,,,,,,,,,account,トイレットペーパー他,credit,111,現金,CashHand,2970,ISO4217:JPY,2009-04-02,部門,000,共通部門,,,
0001-20090403-134-8-1-477,,,,8-477,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090403-134-8-1-477,0,,,,,,,,,,account,用紙,debit,754,事務用消耗品費,StationeryExpense,14858,ISO4217:JPY,2009-04-03,部門,010,札幌,,,
0001-20090403-134-8-1-477,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,742,ISO4217:JPY,2009-04-03,部門,010,札幌,,,
0001-20090403-134-8-1-477,2,,,,,,,,,,account,用紙,credit,111,現金,CashHand,15600,ISO4217:JPY,2009-04-03,部門,000,共通部門,,,
0001-20090403-41-7-1-475,,,,7-475,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090403-41-7-1-475,0,,,,,,,,,,account,結婚式会費,debit,733,交際接待費,EntertainmentExpense,12000,ISO4217:JPY,2009-04-03,部門,020,東京,,,
0001-20090403-41-7-1-475,1,,,,,,,,,,account,結婚式会費,credit,111,現金,CashHand,12000,ISO4217:JPY,2009-04-03,部門,000,共通部門,,,
0001-20090404-310-9-1-479,,,,9-479,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090404-310-9-1-479,0,,,,,,,,,,account,ガソリン代,debit,740,車両費,VehiclesExpense,6486,ISO4217:JPY,2009-04-04,部門,050,九州,,,
0001-20090404-310-9-1-479,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,324,ISO4217:JPY,2009-04-04,部門,050,九州,,,
0001-20090404-310-9-1-479,2,,,,,,,,,,account,ガソリン代,credit,111,現金,CashHand,18270,ISO4217:JPY,2009-04-04,部門,000,共通部門,,,
0001-20090404-310-9-1-479,3,,,,,,,,,,account,高速代,debit,740,車両費,VehiclesExpense,9715,ISO4217:JPY,2009-04-04,部門,050,九州,,,
0001-20090404-310-9-1-479,4,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,485,ISO4217:JPY,2009-04-04,部門,050,九州,,,
0001-20090404-310-9-1-479,5,,,,,,,,,,account,駐車代,debit,740,車両費,VehiclesExpense,1200,ISO4217:JPY,2009-04-04,部門,050,九州,,,
0001-20090404-310-9-1-479,6,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,60,ISO4217:JPY,2009-04-04,部門,050,九州,,,
0001-20090405-133-11-1-483,,,,11-483,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090405-133-11-1-483,0,,,,,,,,,,account,税理士報酬,debit,746,支払報酬,ProfessionalsFee,133058,ISO4217:JPY,2009-04-05,部門,020,東京,,,
0001-20090405-133-11-1-483,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,6652,ISO4217:JPY,2009-04-05,部門,020,東京,,,
0001-20090405-133-11-1-483,2,,,,,,,,,,account,税理士報酬,credit,131,普通預金,OrdinaryDeposit,139710,ISO4217:JPY,2009-04-05,,,,,,
0001-20090405-133-11-1-483,2,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090405-133-11-1-483,2,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
0001-20090405-139-12-1-485,,,,12-485,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090405-139-12-1-485,0,,,,,,,,,,account,制服代,debit,724,福利厚生費,WelfareExpense,52981,ISO4217:JPY,2009-04-05,部門,040,大阪,,,
0001-20090405-139-12-1-485,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2649,ISO4217:JPY,2009-04-05,部門,040,大阪,,,
0001-20090405-139-12-1-485,2,,,,,,,,,,account,制服代,credit,322,未払金,AccountsPayableOther,55630,ISO4217:JPY,2009-04-05,部門,000,共通部門,,,
0001-20090405-254-13-1-487,,,,13-487,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090405-254-13-1-487,0,,,,,,,,,,account,09年4月5日伝票No190株式会社　渡辺産業,debit,131,普通預金,OrdinaryDeposit,2959035,ISO4217:JPY,2009-04-05,,,,,,
0001-20090405-254-13-1-487,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090405-254-13-1-487,0,1,,,,,,,,,,,,,,,,,,補助科目,50,福岡　北九州,,,
0001-20090405-254-13-1-487,1,,,,,,,,,,account,09年4月5日伝票No190株式会社　渡辺産業,credit,152,売掛金,AccountsReceivableTradeGross,2959035,ISO4217:JPY,2009-04-05,部門,000,共通部門,customer,022,㈱渡辺産業
0001-20090405-254-13-1-487,2,,,,,,,,,,account,09年4月5日伝票No190株式会社　渡辺産業,debit,741,支払手数料,CommissionExpense,600,ISO4217:JPY,2009-04-05,部門,050,九州,,,
0001-20090405-254-13-1-487,3,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,30,ISO4217:JPY,2009-04-05,部門,050,九州,,,
0001-20090405-254-13-1-487,4,,,,,,,,,,account,09年4月5日伝票No190株式会社　渡辺産業,credit,152,売掛金,AccountsReceivableTradeGross,630,ISO4217:JPY,2009-04-05,部門,000,共通部門,customer,022,㈱渡辺産業
0001-20090405-255-14-1-489,,,,14-489,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090405-255-14-1-489,0,,,,,,,,,,account,09年4月5日伝票No191佐々木販売株式会社,debit,131,普通預金,OrdinaryDeposit,1508295,ISO4217:JPY,2009-04-05,,,,,,
0001-20090405-255-14-1-489,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090405-255-14-1-489,0,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
0001-20090405-255-14-1-489,1,,,,,,,,,,account,09年4月5日伝票No191佐々木販売株式会社,credit,152,売掛金,AccountsReceivableTradeGross,1508295,ISO4217:JPY,2009-04-05,部門,000,共通部門,customer,026,佐々木販売㈱
0001-20090405-255-14-1-489,2,,,,,,,,,,account,09年4月5日伝票No191佐々木販売株式会社,debit,741,支払手数料,CommissionExpense,450,ISO4217:JPY,2009-04-05,部門,020,東京,,,
0001-20090405-255-14-1-489,3,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,22,ISO4217:JPY,2009-04-05,部門,020,東京,,,
0001-20090405-255-14-1-489,4,,,,,,,,,,account,09年4月5日伝票No191佐々木販売株式会社,credit,152,売掛金,AccountsReceivableTradeGross,472,ISO4217:JPY,2009-04-05,部門,000,共通部門,customer,026,佐々木販売㈱
0001-20090405-256-15-1-491,,,,15-491,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090405-256-15-1-491,0,,,,,,,,,,account,09年4月5日伝票No192岩下物産株式会社,debit,131,普通預金,OrdinaryDeposit,2171384,ISO4217:JPY,2009-04-05,,,,,,
0001-20090405-256-15-1-491,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090405-256-15-1-491,0,1,,,,,,,,,,,,,,,,,,補助科目,30,三井　名古屋,,,
0001-20090405-256-15-1-491,1,,,,,,,,,,account,09年4月5日伝票No192岩下物産株式会社,credit,152,売掛金,AccountsReceivableTradeGross,2171384,ISO4217:JPY,2009-04-05,部門,000,共通部門,customer,027,岩下物産㈱
0001-20090405-256-15-1-491,2,,,,,,,,,,account,09年4月5日伝票No192岩下物産株式会社,debit,741,支払手数料,CommissionExpense,700,ISO4217:JPY,2009-04-05,部門,030,名古屋,,,
0001-20090405-256-15-1-491,3,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,35,ISO4217:JPY,2009-04-05,部門,030,名古屋,,,
0001-20090405-256-15-1-491,4,,,,,,,,,,account,09年4月5日伝票No192岩下物産株式会社,credit,152,売掛金,AccountsReceivableTradeGross,735,ISO4217:JPY,2009-04-05,部門,000,共通部門,customer,027,岩下物産㈱
0001-20090405-76-10-1-481,,,,10-481,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090405-76-10-1-481,0,,,,,,,,,,account,制服代,debit,724,福利厚生費,WelfareExpense,53334,ISO4217:JPY,2009-04-05,部門,020,東京,,,
0001-20090405-76-10-1-481,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2666,ISO4217:JPY,2009-04-05,部門,020,東京,,,
0001-20090405-76-10-1-481,2,,,,,,,,,,account,制服代,credit,322,未払金,AccountsPayableOther,56000,ISO4217:JPY,2009-04-05,部門,000,共通部門,,,
0001-20090406-10-16-1-493,,,,16-493,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-10-16-1-493,0,,,,,,,,,,account,ガソリン代,debit,740,車両費,VehiclesExpense,4023,ISO4217:JPY,2009-04-06,部門,010,札幌,,,
0001-20090406-10-16-1-493,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,201,ISO4217:JPY,2009-04-06,部門,010,札幌,,,
0001-20090406-10-16-1-493,2,,,,,,,,,,account,ガソリン代,credit,111,現金,CashHand,4224,ISO4217:JPY,2009-04-06,部門,000,共通部門,,,
0001-20090406-106-19-1-499,,,,19-499,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-106-19-1-499,0,,,,,,,,,,account,食事代　ホテルララダ2名,debit,733,交際接待費,EntertainmentExpense,5372,ISO4217:JPY,2009-04-06,部門,040,大阪,,,
0001-20090406-106-19-1-499,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,268,ISO4217:JPY,2009-04-06,部門,040,大阪,,,
0001-20090406-106-19-1-499,2,,,,,,,,,,account,食事代　ホテルララダ2名,credit,111,現金,CashHand,37820,ISO4217:JPY,2009-04-06,部門,000,共通部門,,,
0001-20090406-106-19-1-499,3,,,,,,,,,,account,飲食代　スナック北新地,debit,733,交際接待費,EntertainmentExpense,30648,ISO4217:JPY,2009-04-06,部門,040,大阪,,,
0001-20090406-106-19-1-499,4,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1532,ISO4217:JPY,2009-04-06,部門,040,大阪,,,
0001-20090406-110-20-1-501,,,,20-501,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-110-20-1-501,0,,,,,,,,,,account,タクシー代,debit,726,旅費交通費,TravelingExpense,2181,ISO4217:JPY,2009-04-06,部門,040,大阪,,,
0001-20090406-110-20-1-501,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,109,ISO4217:JPY,2009-04-06,部門,040,大阪,,,
0001-20090406-110-20-1-501,2,,,,,,,,,,account,タクシー代,credit,111,現金,CashHand,2290,ISO4217:JPY,2009-04-06,部門,000,共通部門,,,
0001-20090406-123-21-1-503,,,,21-503,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-123-21-1-503,0,,,,,,,,,,account,切手代,debit,727,通信費,CommunicationCost,38096,ISO4217:JPY,2009-04-06,部門,040,大阪,,,
0001-20090406-123-21-1-503,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1904,ISO4217:JPY,2009-04-06,部門,040,大阪,,,
0001-20090406-123-21-1-503,2,,,,,,,,,,account,切手代,credit,111,現金,CashHand,40000,ISO4217:JPY,2009-04-06,部門,000,共通部門,,,
0001-20090406-124-22-1-505,,,,22-505,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-124-22-1-505,0,,,,,,,,,,account,収入印紙,debit,738,租税公課,TaxesOtherThanIncomeTaxes,6000,ISO4217:JPY,2009-04-06,部門,040,大阪,,,
0001-20090406-124-22-1-505,1,,,,,,,,,,account,収入印紙,credit,111,現金,CashHand,6000,ISO4217:JPY,2009-04-06,部門,000,共通部門,,,
0001-20090406-147-23-1-507,,,,23-507,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-147-23-1-507,0,,,,,,,,,,account,ガソリン代,debit,740,車両費,VehiclesExpense,4882,ISO4217:JPY,2009-04-06,部門,050,九州,,,
0001-20090406-147-23-1-507,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,244,ISO4217:JPY,2009-04-06,部門,050,九州,,,
0001-20090406-147-23-1-507,2,,,,,,,,,,account,ガソリン代,credit,322,未払金,AccountsPayableOther,5126,ISO4217:JPY,2009-04-06,部門,000,共通部門,,,
0001-20090406-156-24-1-509,,,,24-509,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-156-24-1-509,0,,,,,,,,,,account,出張旅費,debit,726,旅費交通費,TravelingExpense,7143,ISO4217:JPY,2009-04-06,部門,050,九州,,,
0001-20090406-156-24-1-509,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,357,ISO4217:JPY,2009-04-06,部門,050,九州,,,
0001-20090406-156-24-1-509,2,,,,,,,,,,account,出張旅費,credit,111,現金,CashHand,7500,ISO4217:JPY,2009-04-06,部門,000,共通部門,,,
0001-20090406-236-25-1-511,,,,25-511,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-236-25-1-511,0,,,,,,,,,,account,ゴルフプレー代2名,debit,733,交際接待費,EntertainmentExpense,25239,ISO4217:JPY,2009-04-06,部門,020,東京,,,
0001-20090406-236-25-1-511,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1261,ISO4217:JPY,2009-04-06,部門,020,東京,,,
0001-20090406-236-25-1-511,2,,,,,,,,,,account,ゴルフプレー代2名,credit,111,現金,CashHand,26500,ISO4217:JPY,2009-04-06,部門,000,共通部門,,,
0001-20090406-305-26-1-513,,,,26-513,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-305-26-1-513,0,,,,,,,,,,account,資金移動,debit,131,普通預金,OrdinaryDeposit,1000000,ISO4217:JPY,2009-04-06,,,,,,
0001-20090406-305-26-1-513,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090406-305-26-1-513,0,1,,,,,,,,,,,,,,,,,,補助科目,40,三菱東京　梅田,,,
0001-20090406-305-26-1-513,1,,,,,,,,,,account,資金移動,credit,131,普通預金,OrdinaryDeposit,1000000,ISO4217:JPY,2009-04-06,,,,,,
0001-20090406-305-26-1-513,1,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090406-305-26-1-513,1,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
0001-20090406-42-17-1-495,,,,17-495,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-42-17-1-495,0,,,,,,,,,,account,昼食代　フロンティホテル,debit,733,交際接待費,EntertainmentExpense,4429,ISO4217:JPY,2009-04-06,部門,020,東京,,,
0001-20090406-42-17-1-495,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,221,ISO4217:JPY,2009-04-06,部門,020,東京,,,
0001-20090406-42-17-1-495,2,,,,,,,,,,account,昼食代　フロンティホテル,credit,111,現金,CashHand,4650,ISO4217:JPY,2009-04-06,部門,000,共通部門,,,
0001-20090406-84-18-1-497,,,,18-497,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090406-84-18-1-497,0,,,,,,,,,,account,切手代,debit,727,通信費,CommunicationCost,66667,ISO4217:JPY,2009-04-06,部門,030,名古屋,,,
0001-20090406-84-18-1-497,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3333,ISO4217:JPY,2009-04-06,部門,030,名古屋,,,
0001-20090406-84-18-1-497,2,,,,,,,,,,account,切手代,credit,111,現金,CashHand,70000,ISO4217:JPY,2009-04-06,部門,000,共通部門,,,
0001-20090407-102-35-1-531,,,,35-531,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090407-102-35-1-531,0,,,,,,,,,,account,手土産代　阿部商店,debit,733,交際接待費,EntertainmentExpense,1000,ISO4217:JPY,2009-04-07,部門,040,大阪,,,
0001-20090407-102-35-1-531,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,50,ISO4217:JPY,2009-04-07,部門,040,大阪,,,
0001-20090407-102-35-1-531,2,,,,,,,,,,account,手土産代　阿部商店,credit,111,現金,CashHand,1050,ISO4217:JPY,2009-04-07,部門,000,共通部門,,,
0001-20090407-20-27-1-515,,,,27-515,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090407-20-27-1-515,0,,,,,,,,,,account,旅費,debit,726,旅費交通費,TravelingExpense,37143,ISO4217:JPY,2009-04-07,部門,010,札幌,,,
0001-20090407-20-27-1-515,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1857,ISO4217:JPY,2009-04-07,部門,010,札幌,,,
0001-20090407-20-27-1-515,2,,,,,,,,,,account,旅費,credit,111,現金,CashHand,39000,ISO4217:JPY,2009-04-07,部門,000,共通部門,,,
0001-20090407-21-28-1-517,,,,28-517,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090407-21-28-1-517,0,,,,,,,,,,account,JR代,debit,726,旅費交通費,TravelingExpense,66191,ISO4217:JPY,2009-04-07,部門,010,札幌,,,
0001-20090407-21-28-1-517,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3309,ISO4217:JPY,2009-04-07,部門,010,札幌,,,
0001-20090407-21-28-1-517,2,,,,,,,,,,account,JR代,credit,111,現金,CashHand,69500,ISO4217:JPY,2009-04-07,部門,000,共通部門,,,
0001-20090407-22-29-1-519,,,,29-519,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090407-22-29-1-519,0,,,,,,,,,,account,旅費,debit,726,旅費交通費,TravelingExpense,47620,ISO4217:JPY,2009-04-07,部門,010,札幌,,,
0001-20090407-22-29-1-519,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2380,ISO4217:JPY,2009-04-07,部門,010,札幌,,,
0001-20090407-22-29-1-519,2,,,,,,,,,,account,旅費,credit,111,現金,CashHand,50000,ISO4217:JPY,2009-04-07,部門,000,共通部門,,,
0001-20090407-43-30-1-521,,,,30-521,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090407-43-30-1-521,0,,,,,,,,,,account,手土産代　阿部商事,debit,733,交際接待費,EntertainmentExpense,6315,ISO4217:JPY,2009-04-07,部門,020,東京,,,
0001-20090407-43-30-1-521,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,315,ISO4217:JPY,2009-04-07,部門,020,東京,,,
0001-20090407-43-30-1-521,2,,,,,,,,,,account,手土産代　阿部商事,credit,111,現金,CashHand,6630,ISO4217:JPY,2009-04-07,部門,000,共通部門,,,
0001-20090407-56-31-1-523,,,,31-523,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090407-56-31-1-523,0,,,,,,,,,,account,旅費,debit,726,旅費交通費,TravelingExpense,20477,ISO4217:JPY,2009-04-07,部門,020,東京,,,
0001-20090407-56-31-1-523,1,,,,,,,,,,account,,debit,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1023,ISO4217:JPY,2009-04-07,部門,020,東京,,,
0001-20090407-56-31-1-523,2,,,,,,,,,,account,旅費,credit,111,現金,CashHand,21500,ISO4217:JPY,2009-04-07,部門,000,共通部門,,,
0001-20090407-57-32-1-525,,,,32-525,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,
0001-20090407-57-32-1-525,0,,,,,,,,,,account,JR代,debit,726,旅費交通費,TravelingExpense,93143,ISO4217:JPY,2009-04-07,部門,020,東京,,,
