num,group,UN _CCL_ID,kind,den1,den2,den3,den4,den5,den6,den7,den8,den9,den10,den11,den12,den,name,name_ja,desc_ja,occurs,ver,identifier
32,ヘッダ部,UN01005864,BBIE,,CIIH_ Exchanged_ Document. Type. Code,,,,,,,,,,,CIIH_ Exchanged_ Document. Type. Code,ram:TypeCode,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",1..1,v4,UNCL1001
33,ヘッダ部,UN01005865,BBIE,,CIIH_ Exchanged_ Document. Issue. Date Time,,,,,,,,,,,CIIH_ Exchanged_ Document. Issue. Date Time,ram:IssueDateTime,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,1..1,v4,日付様式
34,ヘッダ部,UN01005874,BBIE,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,,,,,,,,,,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,ram:PreviousRevisionID,インボイス文書履歴番号,インボイス文書の変更履歴を管理する番,0..1,v4,
35,ヘッダ部,UN01005875,BBIE,,CIIH_ Exchanged_ Document. Category. Code,,,,,,,,,,,CIIH_ Exchanged_ Document. Category. Code,ram:CategoryCode,インボイス文書類型コード,"インボイス文書の類型（単一文書日本円取引、単一文書外貨建て取引、統合文書日本円取引等）を識別するコード
デフォルトは「単一文書日本円取引」",1..1,v4,JECxxxx
36,ヘッダ部,UN01014636,BBIE,,CIIH_ Exchanged_ Document. Subtype. Code,,,,,,,,,,,CIIH_ Exchanged_ Document. Subtype. Code,ram:SubtypeCode,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",1..1,v4,JECxxxx
37,ヘッダ部,UN01005876,ASBIE,,CIIH_ Exchanged_ Document. Included. CI_ Note,,,,,,,,,,,CIIH_ Exchanged_ Document. Included. CI_ Note,ram:IncludedCINote,インボイス文書／注釈グループ,インボイス文書に含まれる注釈。,0..n,v4,  
38,ヘッダ部,UN01005557,ABIE,,,CI_ Note. Details,,,,,,,,,,CI_ Note. Details,ram:CINoteType,インボイス文書注釈クラス,インボイス文書の注釈を記述するためのクラス, -,v4,  
39,ヘッダ部,UN01005558,BBIE,,,,CI_ Note. Subject. Text,,,,,,,,,CI_ Note. Subject. Text,ram:Subject,インボイス文書注釈表題,注釈内容の表題を示す。,0..1,v4,"言語コード
ISO639"
40,ヘッダ部,UN01005560,BBIE,,,,CI_ Note. Content. Text,,,,,,,,,CI_ Note. Content. Text,ram:Content,インボイス文書注釈内容,注釈項目毎の内容情報を入力するフリースペース。,0..1,v4,"言語コード
ISO639"
41,ヘッダ部,UN01005562,BBIE,,,,CI_ Note. Identification. Identifier,,,,,,,,,CI_ Note. Identification. Identifier,ram:ID,インボイス文書注釈識別子,注釈の識別番号,0..1,v4,  
42,ヘッダ部,UN01012702,ASBIE,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,,,,,,,,,,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,ram:ReferenceCIReferencedDocument,インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,0..n,v4,  
43,ヘッダ部,UN01005579,ABIE,,,CI_ Referenced_ Document. Details,,,,,,,,,,CI_ Referenced_ Document. Details,ram:CIReferencedDocumentType,（ヘッダ参照）文書クラス,インボイス文書が参照する文書クラス,－,v4,  
44,ヘッダ部,UN01005580,BBIE,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,ram:IssuerAssignedID,（ヘッダ参照）文書番号,インボイス文書が参照する参照文書の番号,1..1,v4,  
45,ヘッダ部,UN01005582,BBIE,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,ram:IssueDateTime,（ヘッダ参照）文書発行日,インボイス文書が参照する参照文書の発行日,0..1,v4,日時様式
46,ヘッダ部,UN01005588,BBIE,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,ram:RevisionID,（ヘッダ参照）文書履歴番号,インボイス文書が参照する文書の変更履歴を管理する番号。,0..1,v４,
47,ヘッダ部,UN01006415,BBIE,,,,CI_ Referenced_ Document. Information. Text,,,,,,,,,CI_ Referenced_ Document. Information. Text,ram:Information,（ヘッダ参照）文書情報,インボイス文書が参照する参照文書に記載の情報,0..1,v4,"言語コード
ISO639"
48,ヘッダ部,UN01009672,BBIE,,,,CI_ Referenced_ Document. Type. Code,,,,,,,,,CI_ Referenced_ Document. Type. Code,ram:TypeCode,（ヘッダ参照）文書タイプコード,インボイス文書が参照する参照文書の文書タイプを識別するコード,1..1,v4,UNCL1001
49,ヘッダ部,UN01011455,BBIE,,,,CI_ Referenced_ Document. Attachment. Binary Object,,,,,,,,,CI_ Referenced_ Document. Attachment. Binary Object,ram:AttachmentBinaryObject,（ヘッダ参照）文書添付ファイル,"インボイス文書の添付バイナリファイルの有無を識別するコード
なしの場合はNULL（デファクト）
ありの場合はヘッダの添付バイナリファイル識別子（UN01006015）を指定する。",0..1,v4,JECxxxx
50,ヘッダ部,UN01014899,BBIE,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,,,CI_ Referenced_ Document. Subtype. Code,ram:SubtypeCode,（ヘッダ参照）文書サブタイプコード,インボイス文書が参照する参照文書のサブタイプコード,0..1,v4,JECxxxx
51,ヘッダ部,JPS2200015,ASBIE,,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,,,,,,,,,,,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,ram:AttachedSpecifiedBinaryFile,付加文書／添付ファイルグループ,参照文書の添付バイナリファイルに関するグループ,0..n,v4,  
52,ヘッダ部,UN01006014,ABIE,,,Specified_ Binary File. Details,,,,,,,,,,Specified_ Binary File. Details,ram:SpecifiedBinaryFileType,添付バイナリファイルクラス,添付バイナリファイルを記述するためのクラス,－,v4,  
53,ヘッダ部,UN01006015,BBIE,,,,Specified_ Binary File. Identification. Identifier,,,,,,,,,Specified_ Binary File. Identification. Identifier,ram:ID,添付バイナリファイル識別子,添付バイナリファイルの識別子,0..1,v4,  
54,ヘッダ部,UN01006019,BBIE,,,,Specified_ Binary File. File Name. Text,,,,,,,,,Specified_ Binary File. File Name. Text,ram:FileName,添付バイナリファイル名,添付バイナリファイルの名称,0..1,v4,"言語コード
ISO639"
55,ヘッダ部,UN01006020,BBIE,,,,Specified_ Binary File. URI. Identifier,,,,,,,,,Specified_ Binary File. URI. Identifier,ram:URIID,添付バイナリファイルURI識別子,添付バイナリファイルの外部保管URI識別子,0..1,v4,  
56,ヘッダ部,UN01006021,BBIE,,,,Specified_ Binary File. MIME. Code,,,,,,,,,Specified_ Binary File. MIME. Code,ram:MIMECode,添付バイナリファイルのMIMEコード,添付バイナリファイルのMIMEコード,1..1,v4,RFC1341
57,ヘッダ部,UN01006026,BBIE,,,,Specified_ Binary File. Description. Text,,,,,,,,,Specified_ Binary File. Description. Text,ram:Description,添付バイナリファイルの説明文,添付バイナリファイルの説明文,0..1,v4,"言語コード
ISO639"
58,ヘッダ部,UN01005936,ASMA,CIIH_ Supply Chain_ Trade Transaction. Details,,,,,,,,,,,,CIIH_ Supply Chain_ Trade Transaction. Details,rsm:CIIHSupplyChainTradeTransaction,インボイス文書取引内容クラス,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,1..1,v4,  
59,ヘッダ部,UN01005937,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,,,,,,,,,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,ram:ApplicableCIIHSupplyChainTradeAgreement,インボイス文書取引内容／契約グループ,インボイス文書取引に適用される契約に関するグループ。,1..1,v4,  
60,ヘッダ部,UN01005878,ABIE,,,CIIH_ Supply Chain_ Trade Agreement. Details,,,,,,,,,,CIIH_ Supply Chain_ Trade Agreement. Details,ram:CIIHSupplyChainTradeAgreementType,インボイス文書契約クラス,インボイス文書に関する契約に関する情報からなるクラス。,－,v4,  
61,ヘッダ部,UN01005879,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,,,,,,,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,ram:SellerCITradeParty,インボイス文書契約／受注者グループ,受注者に関するグループ。,1..1,v4,  
62,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,CI_ Trade_ Party. Details,ram:CITradePartyType,受注者クラス,受注者に関する情報からなるクラス。,－,v4,  
63,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,CI_ Trade_ Party. Identification. Identifier,ram:ID,受注者コード,注文を受ける企業/工場・事業所・事業部門等を表すコード。デフォルトはデータなし。,1..1,v4,  
64,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,ram:GlobalID,受注者国際企業コード,注文を受ける企業を表す国際企業コード。中小企業共通EDIでは法人番号を利用,0..1,v4,コード表識別子
65,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,CI_ Trade_ Party. Name. Text,ram:Name,受注者名称,注文を受ける企業/工場・事業所・事業部門等を表す名称。適格請求書、または区分記載請求書を発行する事業者名。,1..1,v4,"言語コード
ISO639"
66,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,ram:RegisteredID,適格請求書発行事業者登録番号,"国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）
T1234567890123",1..1,v4,コード表識別子
67,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,ram:DefinedCITradeContact,受注者／連絡先グループ,受注者の連絡先に関するグループ,0..1,v4, 
68,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,CI_ Trade_ Contact. Details,ram:CITradeContactType,受注者連絡先クラス,連絡先に関する情報からなるクラス。,－,v4, 
69,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,CI_ Trade_ Contact. Identification. Identifier,ram:ID,受注部門コード,受注者の受注部門を表すコード。,0..1,v4, 
70,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,CI_ Trade_ Contact. Person Name. Text,ram:PersonName,受注者担当名,受注者連絡先の個人の、文字で表現された名前。,0..1,v4,"言語コード
ISO639"
71,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,CI_ Trade_ Contact. Department Name. Text,ram:DepartmentName,受注者部門名,受注者の受注部門の名称。,0..1,v4,"言語コード
ISO639"
72,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,ram:PersonID,受注者担当コード,受注者個人を表すコード,0..1,v4, 
73,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,ram:TelephoneCIUniversalCommunication,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,v4, 
74,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,v4, 
75,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,受注者電話番号,受注者の電話番号。,0..1,v4, 
76,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,ram:FaxCIUniversalCommunication,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,v4,　
77,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,v4,　
78,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,受注者FAX番号,受注者のFAX番号,0..1,v4,　
79,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,ram:EmailURICIUniversalCommunication,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,v4, 
80,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,電子メール通信クラス,通信（Email）に関する情報からなるクラス。,－,v4, 
81,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,CI_ Universal_ Communication. URI. Identifier,ram:URIID,受注者メールアドレス,受注者の電子メールアドレス。,0..1,v4, 
82,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,ram:PostalCITradeAddress,受注者／住所グループ,受注者の住所に関するグループ。,0..1,v4, 
83,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,CI_ Trade_ Address. Details,ram:CITradeAddressType,受注者住所クラス,受注者住所に関する情報からなるクラス。,－,v4, 
84,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,CI_ Trade_ Address. Postcode. Code,ram:PostcodeCode,受注者郵便番号,受注者の郵便番号。,0..1,v4, 
85,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,CI_ Trade_ Address. Line One. Text,ram:LineOne,受注者住所1,受注者の住所1行目。,0..1,v1,"言語コード
ISO639"
86,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,CI_ Trade_ Address. Line Two. Text,ram:LineTwo,受注者住所2,受注者の住所2行目。,0..1,v4,"言語コード
ISO639"
87,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,CI_ Trade_ Address. Line Three. Text,ram:LineThree,受注者住所3,受注者の住所3行目。,0..1,v4,"言語コード
ISO639"
88,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,CI_ Trade_ Address. Country. Identifier,ram:CountryID,受注者国識別子,受注者の国ID。デフォルトは「JP」,1..1,v4,ISO3166
89,ヘッダ部,UN01005763,ASBIE,,,,,,CI_ Trade_ Party. URI. CI_ Universal_ Communication,,,,,,,CI_ Trade_ Party. URI. CI_ Universal_ Communication,ram:EndPointURICIUniversalCommunication,送信者／国際EDIアドレスグループ,送信者の国際EDIアドレスグループ,1..1,v4,
90,ヘッダ部,UN01005857,ABIE,,,,,,,CI_ Universal_ Communication. Details,,,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,国際EDIアドレスクラス,国際EDIアドレスクラス,－,v4,
91,ヘッダ部,UN01005859,BBIE,,,,,,,,CI_ Universal_ Communication. Channel. Code,,,,,CI_ Universal_ Communication. Channel. Code,ram:ChannelCode,国際EDIアドレス登録機関コード,国際EDIアドレス登録機関のコード,1..1,v4,ISO6523
92,ヘッダ部,UN01005860,BBIE,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,国際EDIアドレス,国際EDIアドレス番号,1..1,v4,
93,ヘッダ部,UN01005880,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,,,,,,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,ram:BuyerCITradeParty,インボイス文書契約／発注者グループ,発注者に関するグループ。,1..1,v4, 
94,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,CI_ Trade_ Party. Details,ram:CITradePartyType,発注者クラス,発注者に関する情報からなるクラス。,－,v4, 
95,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,CI_ Trade_ Party. Identification. Identifier,ram:ID,発注者コード,注文を行う企業/工場・事業所・事業部門等を表すコード。デフォルトはデータなし。,1..1,v4, 
96,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,ram:GlobalID,発注者国際企業コード,注文を行う企業を表す国際企業コード。中小企業共通EDIでは法人番号を利用,0..1,v4,コード表識別子
97,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,CI_ Trade_ Party. Name. Text,ram:Name,発注者名称,発注を行う企業/工場・事業所・事業部門等の名称,1..1,v1,"言語コード
ISO639"
98,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,ram:RegisteredID,適格請求書発行事業者登録番号,"登録された発注者の適格請求書発行事業者登録番号
（免税事業者についてはなし）",0..1,v4,コード表識別子
99,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,ram:DefinedCITradeContact,発注者／連絡先グループ,発注者の連絡先に関するグループ,0..1,v4, 
100,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,CI_ Trade_ Contact. Details,ram:CITradeContactType,発注者連絡先クラス,連絡先に関する情報からなるクラス。, -,v4, 
101,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,CI_ Trade_ Contact. Identification. Identifier,ram:ID,発注者部門コード,発注者の発注部門を表すコード。,0..1,v4, 
102,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,CI_ Trade_ Contact. Person Name. Text,ram:PersonName,発注者担当名,発注者の発注担当者の名称,0..1,v4,"言語コード
ISO639"
103,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,CI_ Trade_ Contact. Department Name. Text,ram:DepartmentName,発注者部門名,発注者の発注部門の名称。,0..1,v4,"言語コード
ISO639"
104,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,ram:PersonID,発注者担当コード,発注者個人を表すコード,0..1,v4, 
