SemSort,ID,,Level,Card,BT,Desc.,DT,SyntSort,Path,Typ,Card,Match,Rules
1550,BT-39,IBT-039,3,0..1,Seller country subdivision,The subdivision of a country.,Text,2180,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:CountrySubDivisionName,Element,0..n,CAR-3,
1560,BT-40,IBT-040,3,1..1,Seller country code,A code that identifies the country.,Code,2170,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:CountryID,Element,0..1,,
1570,BG-6,IBG-06,2,0..1,SELLER CONTACT,A group of business terms providing contact information about the Seller.s,,2040,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact,Element,0..n,CAR-3,
1580,BT-41,IBT-041,3,0..1,Seller contact point,A contact point for a legal entity or person.,Text,2050,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:PersonName,Element,0..1,STR-5,
1590,,,,,,,,2060,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:DepartmentName,Element,0..1,STR-5,
1600,BT-42,IBT-042,3,0..1,Seller contact telephone number,A phone number for the contact point.,Text,2080,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication/ram:CompleteNumber,Element,0..1,,
1610,BT-43,IBT-043,3,0..1,Seller contact email address,An e-mail address for the contact point.,Text,2100,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication/ram:URIID,Element,0..1,,
1620,BG-7,IBG-07,1,1..1,BUYER,A group of business terms providing information about the Buyer.,,2250,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty,Element,0..1,,
1630,BT-44,IBT-044,2,1..1,Buyer name,The full name of the Buyer.,Text,2290,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:Name,Element,0..1,CAR-2,
1640,BT-45,IBT-045,2,0..1,Buyer trading name,"A name by which the Buyer is known, other than Buyer name (also known as Business name).",Text,2330,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:SpecifiedCILegalOrganization/ram:TradingBusinessName,Element,0..1,,
1650,BT-46,IBT-046,2,0..n,Buyer identifier,An identifier of the Buyer.,Identifier,2260,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:ID,Element,0..1,"SYN-1,CAR-3","GlobalID, if global identifier exists and can be stated in @schemeID, ID else"
1660,,,,,,,,2270,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:GlobalID,Element,0..1,"SYN-1,CAR-3","GlobalID, if global identifier exists and can be stated in @scheme ID, ID else"
1670,BT-46–1,IBT-46–1,3,0..1,Buyer identifier identification scheme identifier,The identification scheme identifier of the Buyer identifier.,String,2280,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:GlobalID/@schemeID,Attribute,,,
1680,BT-47,IBT-047,2,0..1,Buyer legal registration identifier,An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.,Identifier,2310,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:SpecifiedCILegalOrganization/ram:ID,Element,0..1,,
1690,BT-47–1,IBT-47–1,3,0..1,Buyer legal registration identifier identification scheme identifier,The identification scheme identifier of the Buyer legal registration identifier.,String,2320,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:SpecifiedCILegalOrganization/ram:ID/@schemeID,Attribute,,,
1700,BT-48,IBT-048,2,0..1,Buyer VAT identifier,The Buyer's VAT identifier (also known as Buyer VAT identification number).,Identifier,2530,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:SpecifiedCITaxRegistration/ram:ID[@schemeID='VA'],Element,0..1,,@schemeID=”VA”
1710,BT-49,IBT-049,2,0..1,Buyer electronic address,Identifies the Buyer's electronic address to which a business document should be delivered.,Identifier,2500,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:URIUniversalCommunication/ram:URIID,Element,0..1,CAR-3,
1720,BT-49–1,IBT-49–1,3,1..1,Buyer electronic address identification scheme identifier,The identification scheme identifier of the Buyer electronic address.,String,2510,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID,Attribute,,,
1730,BG-8,IBG-08,2,1..1,BUYER POSTAL ADDRESS,A group of business terms providing information about the postal address for the Buyer.,,2410,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:PostalCITradeAddress,Element,0..1,,
1740,BT-50,IBT-050,3,0..1,Buyer address line 1,The main address line in an address.,Text,2430,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:PostalCITradeAddress/ram:LineOne,Element,0..1,,
1750,BT-51,IBT-051,3,0..1,Buyer address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,Text,2440,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:PostalCITradeAddress/ram:LineTwo,Element,0..1,,
1760,BT-163,IBT-163,3,0..1,Buyer address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,Text,2450,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:PostalCITradeAddress/ram:LineThree,Element,0..1,,
1770,BT-52,IBT-052,3,0..1,Buyer city,"The common name of the city, town or village, where the Buyer's address is located.",Text,2460,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:PostalCITradeAddress/ram:CityName,Element,0..1,,
1780,BT-53,IBT-053,3,0..1,Buyer post code,The identifier for an addressable group of properties according to the relevant postal service.,Text,2420,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:PostalCITradeAddress/ram:PostcodeCode,Element,0..1,,
1790,BT-54,IBT-054,3,0..1,Buyer country subdivision,The subdivision of a country.,Text,2480,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:PostalCITradeAddress/ram:CountrySubDivisionName,Element,0..n,CAR-3,
1800,BT-55,IBT-055,3,1..1,Buyer country code,A code that identifies the country.,Code,2470,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:PostalCITradeAddress/ram:CountryID,Element,0..1,,
1810,BG-9,IBG-09,2,0..1,BUYER CONTACT,A group of business terms providing contact information relevant for the Buyer.,,2340,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact,Element,0..n,CAR-3,
1820,BT-56,IBT-056,3,0..1,Buyer contact point,A contact point for a legal entity or person.,Text,2350,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:PersonName,Element,0..1,STR-5,
1830,,,,,,,,2360,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:DepartmentName,Element,0..1,STR-5,
1840,BT-57,IBT-057,3,0..1,Buyer contact telephone number,A phone number for the contact point.,Text,2380,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication/ram:CompleteNumber,Element,0..1,,
1850,BT-58,IBT-058,3,0..1,Buyer contact email address,An e-mail address for the contact point.,Text,2400,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication/ram:URIID,Element,0..1,,
1860,BG-10,IBG-10,1,0..1,PAYEE,"A group of business terms providing information about the Payee, i.e. the role that receives the payment.",,3130,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PostalCITradeAddress,Element,0..1,,
1870,BT-59,IBT-059,2,1..1,Payee name,The name of the Payee.,Text,3170,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PostalCITradeAddress/ram:Name,Element,0..1,,
1880,BT-60,IBT-060,2,0..1,Payee identifier,An identifier for the Payee.,Identifier,3140,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PostalCITradeAddress/ram:ID,Element,0..n,"SYN-1,CAR-3","GlobalID, if global identifier exists and can be stated in @schemeID, ID else"
