semSort,id,card,level,businessTerm,desc,dataType,businessTerm_ja,desc_ja,synSort,element,synDatatype,xPath,occur
1280,ibt-023,1..1,2,Business process type,"Identifies the business process context in which the transaction appears	 to enable the Buyer to process the Invoice in an appropriate way.",Text,ビジネスプロセスタイプ,取引プロセスの名称。買い手が適切な方法で請求書を処理することができるように、取引が行われたビジネスプロセスを識別する。,1020,cbc:ProfileID,udt:IdentifierType,/Invoice/cbc:ProfileID,0..1
1290,ibt-024,1..1,2,Specification identifier,"An identification of the specification containing the total set of rules regarding semantic content	 cardinalities and business rules to which the data contained in the instance document conforms.",Identifier,仕様ID,取引プロセスのID。セマンティックコンテンツ、カーディナリティや、インスタンス文書に含まれているデータが準拠すべきビジネスルールに関するルール一式を含む、仕様を識別する。,1010,cbc:CustomizationID,udt:IdentifierType,/Invoice/cbc:CustomizationID,0..1
1300,ibg-03,0..n,1,PRECEDING INVOICE REFERENCE,A group of business terms providing information on one or more preceding Invoices.,,先行請求書への参照,1つのあるいはそれ以上の先行請求書に関する情報を提供するビジネス用語のグループ。,1210,cac:BillingReference,cac:BillingReferenceType,/Invoice/cac:BillingReference,0..n
1310,ibt-025,1..1,2,Preceding Invoice reference,The identification of an Invoice that was previously sent by the Seller.,Document Reference,先行請求書への参照,売り手が以前に送付した請求書番号。,1230,cbc:ID,udt:IdentifierType,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID,1..1
1320,ibt-026,0..1,2,Preceding Invoice issue date,The date when the Preceding Invoice was issued.,Date,先行請求書発行日,先行請求書の発行日。,1240,cbc:IssueDate,udt:DateType,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate,0..1
1330,ibg-04,1..1,1,SELLER,A group of business terms providing information about the Seller.,,売り手,売り手に係る情報を提供するビジネス用語のグループ。,1470,cac:AccountingSupplierParty,cac:SupplierPartyType,/Invoice/cac:AccountingSupplierParty,1..1
1340,ibt-027,1..1,2,Seller name,The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.,Text,売り手名称,売り手が所在国の法人登録簿に法人、または課税対象者として登録されている、またはその他の方法で1人または複数の人として登録されている完全な正式名称。,1780,cbc:RegistrationName,udt:NameType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,0..1
1350,ibt-028,0..1,2,Seller trading name,"A name by which the Seller is known	 other than Seller name (also known as Business name).",Text,売り手商号,売り手名称以外で、知られているビジネス上の名称（商号ともよばれる）。,1580,cbc:Name,udt:NameType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name,1..1
1360,ibt-029,0..n,2,Seller identifier,An identification of the Seller.,Identifier,売り手ID,売り手を表すID。,1550,cbc:ID,udt:IdentifierType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID[not(@schemeID='SEPA')],1..1
1370,ibt-029-1,0..1,3,Seller identifier Scheme identifier,"If used, the identification scheme identifier shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",String,スキーマID,使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,1560,@schemeID,xsd:normalizedString,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID[not(@schemeID='SEPA')]/@schemeID,0..1
1380,ibt-030,0..1,2,Seller legal registration identifier,An identifier issued by an official registrar that identifies the Seller as a legal entity or person.,Identifier,売り手法人ID,公的機関が発行した売り手を法人や個人として識別するID。,1790,cbc:CompanyID,udt:IdentifierType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,0..1
1390,ibt-030-1,0..1,3,Seller legal registration identifier Scheme identifier,,String,スキーマID,,1800,@schemeID,udt:IdentifierType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,0..1
1400,ibt-031,0..1,2,Seller TAX identifier,The Seller’s TAX identifier (also known as Seller TAX identification number).,Identifier,売り手税ID,売り手の税ID(売り手の税識別番号ともよばれる）。,1700,cbc:CompanyID,udt:IdentifierType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,0..1
1405,ibt-031q,0..1,2,Qualifier for the type of the seller tax identifier,,Identifier,,,1710,cbc:ID,udt:IdentifierType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID,0..1
1410,ibt-032,0..1,2,Seller TAX registration identifier,The local identification (defined by the Seller’s address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.,Identifier,売り手税登録ID,税務上の売り手の所在地における登録ID（売り手の住所で定義された値）。または売り手が登録済みの税務状況を示すことを可能にする参照ID。,1740,cbc:CompanyID,udt:IdentifierType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID!='VAT']/cbc:CompanyID,0..1
1415,ibt-032q,0..1,2,Qualifier for the type of the seller tax identifier,,Identifier,,,1750,cbc:ID,udt:IdentifierType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[cac:TaxScheme/cbc:ID!='VAT']/cac:TaxScheme/cbc:ID,0..1
1420,ibt-033,0..1,2,Seller additional legal information,Additional legal information relevant for the Seller.,Text,売り手追加法的情報,売り手に関する追加の法的情報。,1810,cbc:CompanyLegalForm,udt:TextType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm,0..1
1430,ibt-034,1..1,2,Seller electronic address,Identifies the Seller’s electronic address to which the application level response to the invoice may be delivered.,Identifier,売り手電子アドレス,請求書に対するアプリケーションレベルの応答が配信される売り手の電子アドレスを識別する。,1490,cbc:EndpointID,udt:IdentifierType,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID,0..1
1440,ibt-034-1,1..1,3,Seller electronic address Scheme identifier,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,String,スキーマID,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,1500,@schemeID,xsd:normalizedString,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID,0..1
1450,ibt-090,0..1,3,Bank assigned creditor identifier,Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.,Identifier,銀行が採番した債権者の識別子,売り手や支払先の取引銀行が一意に割り当てた売り手や支払先の銀行参照識別子。,1520,cbc:ID,udt:IdentifierType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID[@schemeID='SEPA'],1..1
1460,ibg-05,1..1,2,SELLER POSTAL ADDRESS,A group of business terms providing information about the address of the Seller.,,売り手住所,売り手の住所に関する情報を提供するビジネス用語のグループ。,1590,cac:PostalAddress,cac:AddressType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress,0..1
1470,ibt-035,0..1,3,Seller address line 1,The main address line in an address.,Text,売り手住所欄1,売り手の住所の主な記載欄。,1600,cbc:StreetName,udt:NameType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName,0..1
1480,ibt-036,0..1,3,Seller address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,Text,売り手住所欄2,売り手の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。,1610,cbc:AdditionalStreetName,udt:NameType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,0..1
1490,ibt-162,0..1,3,Seller address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,Text,売り手住所欄3,売り手の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。,1660,cbc:Line,udt:TextType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,1..1
1500,ibt-037,0..1,3,Seller city,"The common name of the city	 town or village	 where the Seller address is located.",Text,売り手住所 市区町村,売り手が所在する市、町、村の通称。,1620,cbc:CityName,udt:NameType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName,0..1
1510,ibt-038,0..1,3,Seller post code,The identifier for an addressable group of properties according to the relevant postal service.,Text,売り手郵便番号,売り手の住所の郵便番号。,1630,cbc:PostalZone,udt:TextType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone,0..1
1520,ibt-039,0..1,3,Seller country subdivision,The subdivision of a country.,Text,売り手住所 都道府県,売り手の住所の地方区分。,1640,cbc:CountrySubentity,udt:TextType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,0..1
1530,ibt-040,1..1,3,Seller country code,A code that identifies the country.,Code,売り手国コード,売り手の住所の国コード。,1680,cbc:IdentificationCode,udt:CodeType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,0..1
1540,ibg-06,0..1,2,SELLER CONTACT,A group of business terms providing contact information about the Seller.,,売り手連絡先,売り手の連絡先に係る情報を提供するビジネス用語のグループ。,1820,cac:Contact,cac:ContactType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact,0..1
1550,ibt-041,0..1,3,Seller contact point,A contact point for a legal entity or person.,Text,売り手連絡先,売り手の連絡先の個人の、文字で表現された名前（部門名を含む）。,1830,cbc:Name,udt:NameType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name,0..1
1560,ibt-042,0..1,3,Seller contact telephone number,A phone number for the contact point.,Text,売り手連絡先電話番号,売り手の連絡先電話番号。,1840,cbc:Telephone,udt:TextType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone,0..1
1570,ibt-043,0..1,3,Seller contact email address,An e-mail address for the contact point.,Text,売り手連絡先電子メールアドレス,売り手の連絡先電子メールアドレス。,1850,cbc:ElectronicMail,udt:TextType,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail,0..1
1580,ibg-07,1..1,1,BUYER,A group of business terms providing information about the Buyer.,,買い手,買い手に係る情報を提供するビジネス用語のグループ。,1860,cac:AccountingCustomerParty,cac:CustomerPartyType,/Invoice/cac:AccountingCustomerParty,1..1
1590,ibt-044,1..1,2,Buyer name,The full name of the Buyer.,Text,買い手名称,買い手の名称。,2110,cbc:RegistrationName,udt:NameType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,0..1
1600,ibt-045,0..1,2,Buyer trading name,"A name by which the Buyer is known	 other than Buyer name (also known as Business name).",Text,買い手商号,買い手名称以外で、知られているビジネス上の名称。,1940,cbc:Name,udt:NameType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name,1..1
1610,ibt-046,0..1,2,Buyer identifier,An identifier of the Buyer.,Identifier,買い手ID,買い手を表すID。,1910,cbc:ID,udt:IdentifierType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID,1..1
1620,ibt-046-1,0..1,3,Buyer identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",String,スキーマID,使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,1920,@schemeID,xsd:normalizedString,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID,0..1
1630,ibt-047,0..1,2,Buyer legal registration identifier,An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.,Identifier,買い手法人ID,買い手を表す法人ID。,2120,cbc:CompanyID,udt:IdentifierType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,0..1
1640,ibt-047-1,0..1,3,Buyer legal registration identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",String,スキーマID,使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,2130,@schemeID,xsd:normalizedString,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,0..1
1650,ibt-048,0..1,2,Buyer TAX identifier,The Buyer’s TAX identifier (also known as Buyer TAX identification number).,Identifier,買い手税ID,買い手の税ID番号。日本の場合は、適格請求書発行事業者登録番号。,2060,cbc:CompanyID,udt:IdentifierType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,0..1
1655,ibt-048q,0..1,2,Qualifier for the type of the buyer tax identifier,,Identifier,,,2070,cbc:ID,udt:IdentifierType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID,0..1
1660,ibt-049,1..1,2,Buyer electronic address,Identifies the Buyer’s electronic address to which the invoice is delivered.,Identifier,買い手電子アドレス,請求書の送信先となる買い手の電子アドレスを識別する。,1880,cbc:EndpointID,udt:IdentifierType,/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID,0..1
1670,ibt-049-1,1..1,3,Buyer electronic address Scheme identifier,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,String,スキーマID,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,1890,@schemeID,xsd:normalizedString,/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID,0..1
1680,ibg-08,1..1,2,BUYER POSTAL ADDRESS,A group of business terms providing information about the postal address for the Buyer.,,買い手住所,買い手の住所に関する情報を提供するビジネス用語のグループ。,1950,cac:PostalAddress,cac:AddressType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress,0..1
1690,ibt-050,0..1,3,Buyer address line 1,The main address line in an address.,Text,買い手住所欄1,買い手の住所の主な記載欄。,1960,cbc:StreetName,udt:NameType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName,0..1
1700,ibt-051,0..1,3,Buyer address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,Text,買い手住所欄2,買い手の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。,1970,cbc:AdditionalStreetName,udt:NameType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,0..1
1710,ibt-163,0..1,3,Buyer address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,Text,買い手住所欄3,買い手の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。,2020,cbc:Line,udt:TextType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,1..1
1720,ibt-052,0..1,3,Buyer city,"The common name of the city	 town or village	 where the Buyer’s address is located.",Text,買い手住所 市区町村,買い手が所在する市、町、村の通称。,1980,cbc:CityName,udt:NameType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName,0..1
1730,ibt-053,0..1,3,Buyer post code,The identifier for an addressable group of properties according to the relevant postal service.,Text,買い手郵便番号,買い手の住所の郵便番号。,1990,cbc:PostalZone,udt:TextType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone,0..1
1740,ibt-054,0..1,3,Buyer country subdivision,The subdivision of a country.,Text,買い手住所 都道府県,買い手の住所の地方区分。,2000,cbc:CountrySubentity,udt:TextType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,0..1
1750,ibt-055,1..1,3,Buyer country code,A code that identifies the country.,Code,買い手国コード,買い手の住所の国コード。,2040,cbc:IdentificationCode,udt:CodeType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,0..1
1760,ibg-09,0..1,2,BUYER CONTACT,A group of business terms providing contact information relevant for the Buyer.,,買い手連絡先,買い手の連絡先に係る情報を提供するビジネス用語のグループ。,2140,cac:Contact,cac:ContactType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact,0..1
1770,ibt-056,0..1,3,Buyer contact point,A contact point for a legal entity or person.,Text,買い手連絡先,買い手の法人や個人の連絡先。,2150,cbc:Name,udt:NameType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name,0..1
1780,ibt-057,0..1,3,Buyer contact telephone number,A phone number for the contact point.,Text,買い手連絡先電話番号,買い手の連絡先電話番号。,2160,cbc:Telephone,udt:TextType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone,0..1
1790,ibt-058,0..1,3,Buyer contact email address,An e-mail address for the contact point.,Text,買い手連絡先電子メールアドレス,買い手の連絡先電子メールアドレス。,2170,cbc:ElectronicMail,udt:TextType,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail,0..1
1800,ibg-10,0..1,1,PAYEE,"A group of business terms providing information about the Payee	 i.e. the role that receives the payment.",,支払先,支払先に係る情報を提供するビジネス用語のグループ。,2180,cac:PayeeParty,cac:PartyType,/Invoice/cac:PayeeParty,0..1
1810,ibt-059,1..1,2,Payee name,The name of the Payee.,Text,支払先名称,支払先の名称。,2230,cbc:Name,udt:NameType,/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name,1..1
1820,ibt-060,0..1,2,Payee identifier,An identifier for the Payee.,Identifier,支払先ID,支払先のID。,2200,cbc:ID,udt:IdentifierType,/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID,1..1
1830,ibt-060-1,0..1,3,Payee identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",String,スキーマID,使用する場合、識別スキーマは、ISO/ IEC 6523 保守機関として公開されたリストから選択しなければならない。,2210,@schemeID,xsd:normalizedString,/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID,0..1
1840,ibt-061,0..1,2,Payee legal registration identifier,An identifier issued by an official registrar that identifies the Payee as a legal entity or person.,Identifier,支払先登録企業ID,公的登録機関が発行した公的識別子としての支払先の国際企業ID。,2250,cbc:CompanyID,udt:IdentifierType,/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID,0..1
1850,ibt-061-1,0..1,3,Payee legal registration identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",String,スキーマID,使用する場合、公的機登録機関の識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,2260,@schemeID,xsd:normalizedString,/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,0..1
1860,ibg-11,0..1,1,SELLER TAX REPRESENTATIVE PARTY,A group of business terms providing information about the Seller’s tax representative.,,売り手税務代理人,売り手の税務代理人に係る情報を提供するビジネス用語のグループ。,2270,cac:TaxRepresentativeParty,cac:PartyType,/Invoice/cac:TaxRepresentativeParty,0..1
1870,ibt-062,1..1,2,Seller tax representative name,The full name of the Seller’s tax representative party.,Text,売り手税務代理人名称,売り手の税務代理人の名称。,2290,cbc:Name,udt:NameType,/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name,1..1
1880,ibt-063,1..1,2,Seller tax representative TAX identifier,The TAX identifier of the Seller’s tax representative party.,Identifier,売り手税務代理人税ID,売り手の税務代理人の税ID。,2410,cbc:CompanyID,udt:IdentifierType,/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID,0..1
1885,ibt-063-1,1..1,2,Qualifier for the seller tax representative TAX identifier,,Identifier,,,2420,cbc:ID,udt:IdentifierType,/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID,0..1
1890,ibg-12,1..1,2,SELLER TAX REPRESENTATIVE POSTAL ADDRESS,A group of business terms providing information about the postal address for the tax representative party.,,売り手税務代理人住所,税務代理人の住所に関する情報を提供するビジネス用語のグループ。,2300,cac:PostalAddress,cac:AddressType,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress,0..1
