JBG-00,JBG-74,JBG-79,JBT-003,JBT-011,JBT-019,JBT-021,JBT-022,JBT-048,JBT-050,JBT-050-1,JBT-053,JBT-053-1,JBT-067,JBT-070,JBT-073,JBT-073-1,JBT-087,JBT-090,JBT-212,JBT-213,JBT-312,JBT-313,JBT-314,JBT-315,JBT-316,JBT-317,JBT-318,JBT-320,JBT-321,JBT-322,JBT-323,JBT-324,JBT-326,JBT-345,JBT-365,JBT-370,JBT-371,JBT-373,JBT-374,JBT-376,JBT-402,JBT-404,JBT-412,JBT-419,JBT-424,JBT-425
0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検定済教科書(算数),,,
0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検定済教科書(算数),,,
0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検定済教科書(算数),,,
0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,1,H87
0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,1,H87
0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,1,H87
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3490,,,,,,,,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,H87,,,,,,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,H87,,,,,,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,H87,,,,,,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAT,E,0,,,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAT,E,0,,,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAT,E,0,,,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-18,2023-10-18,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-18,2023-10-18,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-18,2023-10-18,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検定済教科書(算数),,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検定済教科書(算数),,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検定済教科書(算数),,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,1,H87
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,1,H87
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,1,H87
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3490,,,,,,,,,,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,H87,,,,,,,,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,H87,,,,,,,,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,H87,,,,,,,,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAT,E,0,,,,,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAT,E,0,,,,,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAT,E,0,,,,,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-18,2023-10-18,,,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-18,2023-10-18,,,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-18,2023-10-18,,,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検定済教科書(算数),,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検定済教科書(算数),,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検定済教科書(算数),,,
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,1,H87
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,1,H87
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,1,H87
