GL02,GL02-GL57,GL02-GL64,GL02-GL55,GL55-GL56,GL55-GL60,GL55-GL61,GL55-GL63,GL02-01,GL57-01,GL57-02,GL64-01,GL64-02,GL64-03,GL64-04,GL55-01,GL55-03,GL55-04,GL55-05,GL56-01,GL56-02,GL60-01,GL60-02,GL60-03,GL61-01,GL61-02,GL61-03,GL63-01,GL63-02,GL63-03
0001-20090405-255-14-1-489,,,0,,,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
0001-20090405-255-14-1-489,,,1,,,,,,,,,,,,255,account,09年4月5日伝票No191佐々木販売株式会社,credit,1508295,ISO4217:JPY,customer,026,佐々木販売㈱,部門,000,共通部門,152,売掛金,AccountsReceivableTradeGross
0001-20090405-255-14-1-489,,,2,,,,,,,,,,,,255,account,09年4月5日伝票No191佐々木販売株式会社,debit,450,ISO4217:JPY,,,,部門,020,東京,741,支払手数料,CommissionExpense
0001-20090405-255-14-1-489,,,3,,,,,,,,,,,,255,account,,debit,22,ISO4217:JPY,,,,部門,020,東京,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090405-255-14-1-489,,,4,,,,,,,,,,,,255,account,09年4月5日伝票No191佐々木販売株式会社,credit,472,ISO4217:JPY,customer,026,佐々木販売㈱,部門,000,共通部門,152,売掛金,AccountsReceivableTradeGross
0001-20090405-256-15-1-491,,,,,,,,15-491,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090405-256-15-1-491,,,0,,,,,,,,,,,,256,account,09年4月5日伝票No192岩下物産株式会社,debit,2171384,ISO4217:JPY,,,,,,,131,普通預金,OrdinaryDeposit
0001-20090405-256-15-1-491,,,0,,,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090405-256-15-1-491,,,0,,,1,,,,,,,,,,,,,,,,,,補助科目,30,三井　名古屋,,,
0001-20090405-256-15-1-491,,,1,,,,,,,,,,,,256,account,09年4月5日伝票No192岩下物産株式会社,credit,2171384,ISO4217:JPY,customer,027,岩下物産㈱,部門,000,共通部門,152,売掛金,AccountsReceivableTradeGross
0001-20090405-256-15-1-491,,,2,,,,,,,,,,,,256,account,09年4月5日伝票No192岩下物産株式会社,debit,700,ISO4217:JPY,,,,部門,030,名古屋,741,支払手数料,CommissionExpense
0001-20090405-256-15-1-491,,,3,,,,,,,,,,,,256,account,,debit,35,ISO4217:JPY,,,,部門,030,名古屋,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090405-256-15-1-491,,,4,,,,,,,,,,,,256,account,09年4月5日伝票No192岩下物産株式会社,credit,735,ISO4217:JPY,customer,027,岩下物産㈱,部門,000,共通部門,152,売掛金,AccountsReceivableTradeGross
0001-20090405-76-10-1-481,,,,,,,,10-481,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090405-76-10-1-481,,,0,,,,,,,,,,,,76,account,制服代,debit,53334,ISO4217:JPY,,,,部門,020,東京,724,福利厚生費,WelfareExpense
0001-20090405-76-10-1-481,,,1,,,,,,,,,,,,76,account,,debit,2666,ISO4217:JPY,,,,部門,020,東京,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090405-76-10-1-481,,,2,,,,,,,,,,,,76,account,制服代,credit,56000,ISO4217:JPY,,,,部門,000,共通部門,322,未払金,AccountsPayableOther
0001-20090406-10-16-1-493,,,,,,,,16-493,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-10-16-1-493,,,0,,,,,,,,,,,,10,account,ガソリン代,debit,4023,ISO4217:JPY,,,,部門,010,札幌,740,車両費,VehiclesExpense
0001-20090406-10-16-1-493,,,1,,,,,,,,,,,,10,account,,debit,201,ISO4217:JPY,,,,部門,010,札幌,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090406-10-16-1-493,,,2,,,,,,,,,,,,10,account,ガソリン代,credit,4224,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090406-106-19-1-499,,,,,,,,19-499,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-106-19-1-499,,,0,,,,,,,,,,,,106,account,食事代　ホテルララダ2名,debit,5372,ISO4217:JPY,,,,部門,040,大阪,733,交際接待費,EntertainmentExpense
0001-20090406-106-19-1-499,,,1,,,,,,,,,,,,106,account,,debit,268,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090406-106-19-1-499,,,2,,,,,,,,,,,,106,account,食事代　ホテルララダ2名,credit,37820,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090406-106-19-1-499,,,3,,,,,,,,,,,,106,account,飲食代　スナック北新地,debit,30648,ISO4217:JPY,,,,部門,040,大阪,733,交際接待費,EntertainmentExpense
0001-20090406-106-19-1-499,,,4,,,,,,,,,,,,106,account,,debit,1532,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090406-110-20-1-501,,,,,,,,20-501,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-110-20-1-501,,,0,,,,,,,,,,,,110,account,タクシー代,debit,2181,ISO4217:JPY,,,,部門,040,大阪,726,旅費交通費,TravelingExpense
0001-20090406-110-20-1-501,,,1,,,,,,,,,,,,110,account,,debit,109,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090406-110-20-1-501,,,2,,,,,,,,,,,,110,account,タクシー代,credit,2290,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090406-123-21-1-503,,,,,,,,21-503,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-123-21-1-503,,,0,,,,,,,,,,,,123,account,切手代,debit,38096,ISO4217:JPY,,,,部門,040,大阪,727,通信費,CommunicationCost
0001-20090406-123-21-1-503,,,1,,,,,,,,,,,,123,account,,debit,1904,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090406-123-21-1-503,,,2,,,,,,,,,,,,123,account,切手代,credit,40000,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090406-124-22-1-505,,,,,,,,22-505,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-124-22-1-505,,,0,,,,,,,,,,,,124,account,収入印紙,debit,6000,ISO4217:JPY,,,,部門,040,大阪,738,租税公課,TaxesOtherThanIncomeTaxes
0001-20090406-124-22-1-505,,,1,,,,,,,,,,,,124,account,収入印紙,credit,6000,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090406-147-23-1-507,,,,,,,,23-507,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-147-23-1-507,,,0,,,,,,,,,,,,147,account,ガソリン代,debit,4882,ISO4217:JPY,,,,部門,050,九州,740,車両費,VehiclesExpense
0001-20090406-147-23-1-507,,,1,,,,,,,,,,,,147,account,,debit,244,ISO4217:JPY,,,,部門,050,九州,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090406-147-23-1-507,,,2,,,,,,,,,,,,147,account,ガソリン代,credit,5126,ISO4217:JPY,,,,部門,000,共通部門,322,未払金,AccountsPayableOther
0001-20090406-156-24-1-509,,,,,,,,24-509,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-156-24-1-509,,,0,,,,,,,,,,,,156,account,出張旅費,debit,7143,ISO4217:JPY,,,,部門,050,九州,726,旅費交通費,TravelingExpense
0001-20090406-156-24-1-509,,,1,,,,,,,,,,,,156,account,,debit,357,ISO4217:JPY,,,,部門,050,九州,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090406-156-24-1-509,,,2,,,,,,,,,,,,156,account,出張旅費,credit,7500,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090406-236-25-1-511,,,,,,,,25-511,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-236-25-1-511,,,0,,,,,,,,,,,,236,account,ゴルフプレー代2名,debit,25239,ISO4217:JPY,,,,部門,020,東京,733,交際接待費,EntertainmentExpense
0001-20090406-236-25-1-511,,,1,,,,,,,,,,,,236,account,,debit,1261,ISO4217:JPY,,,,部門,020,東京,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090406-236-25-1-511,,,2,,,,,,,,,,,,236,account,ゴルフプレー代2名,credit,26500,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090406-305-26-1-513,,,,,,,,26-513,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-305-26-1-513,,,0,,,,,,,,,,,,305,account,資金移動,debit,1000000,ISO4217:JPY,,,,,,,131,普通預金,OrdinaryDeposit
0001-20090406-305-26-1-513,,,0,,,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090406-305-26-1-513,,,0,,,1,,,,,,,,,,,,,,,,,,補助科目,40,三菱東京　梅田,,,
0001-20090406-305-26-1-513,,,1,,,,,,,,,,,,305,account,資金移動,credit,1000000,ISO4217:JPY,,,,,,,131,普通預金,OrdinaryDeposit
0001-20090406-305-26-1-513,,,1,,,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090406-305-26-1-513,,,1,,,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
0001-20090406-42-17-1-495,,,,,,,,17-495,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-42-17-1-495,,,0,,,,,,,,,,,,42,account,昼食代　フロンティホテル,debit,4429,ISO4217:JPY,,,,部門,020,東京,733,交際接待費,EntertainmentExpense
0001-20090406-42-17-1-495,,,1,,,,,,,,,,,,42,account,,debit,221,ISO4217:JPY,,,,部門,020,東京,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090406-42-17-1-495,,,2,,,,,,,,,,,,42,account,昼食代　フロンティホテル,credit,4650,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090406-84-18-1-497,,,,,,,,18-497,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090406-84-18-1-497,,,0,,,,,,,,,,,,84,account,切手代,debit,66667,ISO4217:JPY,,,,部門,030,名古屋,727,通信費,CommunicationCost
0001-20090406-84-18-1-497,,,1,,,,,,,,,,,,84,account,,debit,3333,ISO4217:JPY,,,,部門,030,名古屋,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090406-84-18-1-497,,,2,,,,,,,,,,,,84,account,切手代,credit,70000,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090407-102-35-1-531,,,,,,,,35-531,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090407-102-35-1-531,,,0,,,,,,,,,,,,102,account,手土産代　阿部商店,debit,1000,ISO4217:JPY,,,,部門,040,大阪,733,交際接待費,EntertainmentExpense
0001-20090407-102-35-1-531,,,1,,,,,,,,,,,,102,account,,debit,50,ISO4217:JPY,,,,部門,040,大阪,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090407-102-35-1-531,,,2,,,,,,,,,,,,102,account,手土産代　阿部商店,credit,1050,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090407-20-27-1-515,,,,,,,,27-515,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090407-20-27-1-515,,,0,,,,,,,,,,,,20,account,旅費,debit,37143,ISO4217:JPY,,,,部門,010,札幌,726,旅費交通費,TravelingExpense
0001-20090407-20-27-1-515,,,1,,,,,,,,,,,,20,account,,debit,1857,ISO4217:JPY,,,,部門,010,札幌,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090407-20-27-1-515,,,2,,,,,,,,,,,,20,account,旅費,credit,39000,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090407-21-28-1-517,,,,,,,,28-517,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090407-21-28-1-517,,,0,,,,,,,,,,,,21,account,JR代,debit,66191,ISO4217:JPY,,,,部門,010,札幌,726,旅費交通費,TravelingExpense
0001-20090407-21-28-1-517,,,1,,,,,,,,,,,,21,account,,debit,3309,ISO4217:JPY,,,,部門,010,札幌,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090407-21-28-1-517,,,2,,,,,,,,,,,,21,account,JR代,credit,69500,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090407-22-29-1-519,,,,,,,,29-519,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090407-22-29-1-519,,,0,,,,,,,,,,,,22,account,旅費,debit,47620,ISO4217:JPY,,,,部門,010,札幌,726,旅費交通費,TravelingExpense
0001-20090407-22-29-1-519,,,1,,,,,,,,,,,,22,account,,debit,2380,ISO4217:JPY,,,,部門,010,札幌,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090407-22-29-1-519,,,2,,,,,,,,,,,,22,account,旅費,credit,50000,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090407-43-30-1-521,,,,,,,,30-521,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090407-43-30-1-521,,,0,,,,,,,,,,,,43,account,手土産代　阿部商事,debit,6315,ISO4217:JPY,,,,部門,020,東京,733,交際接待費,EntertainmentExpense
0001-20090407-43-30-1-521,,,1,,,,,,,,,,,,43,account,,debit,315,ISO4217:JPY,,,,部門,020,東京,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090407-43-30-1-521,,,2,,,,,,,,,,,,43,account,手土産代　阿部商事,credit,6630,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
0001-20090407-56-31-1-523,,,,,,,,31-523,pca,2008-08-19,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,,,,,,,,,,,,,,,
0001-20090407-56-31-1-523,,,0,,,,,,,,,,,,56,account,旅費,debit,20477,ISO4217:JPY,,,,部門,020,東京,726,旅費交通費,TravelingExpense
0001-20090407-56-31-1-523,,,1,,,,,,,,,,,,56,account,,debit,1023,ISO4217:JPY,,,,部門,020,東京,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes
0001-20090407-56-31-1-523,,,2,,,,,,,,,,,,56,account,旅費,credit,21500,ISO4217:JPY,,,,部門,000,共通部門,111,現金,CashHand
