num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
9421,0001-20091010-87-1452-1-3365,1,2009-10-10,152,売掛金,09年10月10日伝票No326かめだデパート,8047202,0,28404468
9442,0001-20091010-98-1457-1-3375,0,2009-10-10,121,当座預金,手形割引　かめだデパート,0,5139621,23264847
9446,0001-20091010-98-1457-1-3375,2,2009-10-10,821,支払利息,手形割引料,0,38759,23226088
9734,0001-20091020-99-1507-1-3475,3,2009-10-20,121,当座預金,手形満期　もみじデパート,0,10229420,12996668
9735,0001-20091020-99-1507-1-3475,4,2009-10-20,121,当座預金,手形割引　もみじデパート,0,11046104,1950564
9739,0001-20091020-99-1507-1-3475,6,2009-10-20,821,支払利息,手形割引料,0,83471,1867093
9904,0001-20091025-105-1554-1-3569,1,2009-10-25,152,売掛金,09年10月25日伝票No336今井百貨店,16830269,0,18697362
10372,0001-20091031-116-1611-1-3683,1,2009-10-31,152,売掛金,09年10月31日伝票No342もみじデパート,10087452,0,28784814
10524,0001-20091031-137-1630-1-3721,1,2009-10-31,121,当座預金,手形満期　今井百貨店,0,14812990,13971824
10529,0001-20091031-138-1631-1-3723,1,2009-10-31,121,当座預金,手形満期　かめだデパート,0,6632047,7339777
,,,2009-10,,※※月計※※,,34964923,47982412,
10877,0001-20091110-90-1679-1-3819,1,2009-11-10,152,売掛金,09年11月10日伝票No359かめだデパート,6195437,0,13535214
11180,0001-20091120-148-1755-1-3971,0,2009-11-20,121,当座預金,手形割引　かめだデパート,0,7986848,5548366
11184,0001-20091120-148-1755-1-3971,2,2009-11-20,821,支払利息,手形割引料,0,60354,5488012
11492,0001-20091125-107-1788-1-4037,1,2009-11-25,152,売掛金,09年11月25日伝票No370今井百貨店,15101377,0,20589389
11853,0001-20091130-119-1848-1-4157,1,2009-11-30,152,売掛金,09年11月30日伝票No377もみじデパート,11348566,0,31937955
12000,0001-20091130-138-1866-1-4193,1,2009-11-30,121,当座預金,手形満期　今井百貨店,0,17349331,14588624
,,,2009-11,,※※月計※※,,32645380,25396533,
12295,0001-20091210-101-1916-1-4293,1,2009-12-10,152,売掛金,09年12月10日伝票No386かめだデパート,7208477,0,21797101
12719,0001-20091220-141-1991-1-4443,0,2009-12-20,121,当座預金,手形割引　かめだデパート,0,6149070,15648031
12723,0001-20091220-141-1991-1-4443,2,2009-12-20,821,支払利息,手形割引料,0,46367,15601664
12728,0001-20091220-148-1992-1-4445,1,2009-12-20,121,当座預金,手形満期　もみじデパート,0,10087452,5514212
12972,0001-20091225-117-2037-1-4535,1,2009-12-25,152,売掛金,09年12月25日伝票No396今井百貨店,18116847,0,23631059
13535,0001-20091231-129-2093-1-4647,1,2009-12-31,152,売掛金,09年12月31日伝票No403もみじデパート,11160581,0,34791640
13648,0001-20091231-141-2105-1-4671,3,2009-12-31,121,当座預金,手形満期　今井百貨店,0,14559712,20231928
,,,2009-12,,※※月計※※,,36485905,30842601,
13968,0001-20100110-92-2151-1-4763,1,2010-01-10,152,売掛金,10年1月10日伝票No412かめだデパート,8667020,0,28898948
14315,0001-20100120-139-2236-1-4933,0,2010-01-20,121,当座預金,手形割引　かめだデパート,0,7154819,21744129
14319,0001-20100120-139-2236-1-4933,2,2010-01-20,821,支払利息,手形割引料,0,53658,21690471
14543,0001-20100125-108-2267-1-4995,1,2010-01-25,152,売掛金,10年1月25日伝票No422今井百貨店,21490807,0,43181278
15020,0001-20100131-120-2325-1-5111,1,2010-01-31,152,売掛金,10年1月31日伝票No429もみじデパート,18386056,0,61567334
15162,0001-20100131-138-2343-1-5147,1,2010-01-31,121,当座預金,手形満期　今井百貨店,0,16830269,44737065
15184,0001-20100131-142-2346-1-5153,1,2010-01-31,121,当座預金,手形満期　もみじデパート,0,11348566,33388499
,,,2010-01,,※※月計※※,,48543883,35387312,
15469,0001-20100210-91-2388-1-5237,1,2010-02-10,152,売掛金,10年2月10日伝票No438かめだデパート,10047298,0,43435797
16162,0001-20100225-107-2503-1-5467,1,2010-02-25,152,売掛金,10年2月25日伝票No448今井百貨店,18354869,0,61790666
16445,0001-20100228-119-2556-1-5573,1,2010-02-28,152,売掛金,10年2月28日伝票No455もみじデパート,12162331,0,73952997
16597,0001-20100228-140-2575-1-5611,1,2010-02-28,121,当座預金,手形満期　今井百貨店,0,15101377,58851620
16602,0001-20100228-141-2576-1-5613,1,2010-02-28,121,当座預金,手形満期　もみじデパート,0,11160581,47691039
,,,2010-02,,※※月計※※,,40564498,26261958,
16996,0001-20100310-90-2620-1-5701,1,2010-03-10,152,売掛金,10年3月10日伝票No464かめだデパート,9610589,0,57301628
17282,0001-20100320-139-2690-1-5841,1,2010-03-20,121,当座預金,手形満期　今井百貨店,0,18116847,39184781
17287,0001-20100320-140-2691-1-5843,1,2010-03-20,121,当座預金,手形満期　かめだデパート,0,8667020,30517761
17630,0001-20100325-106-2728-1-5917,1,2010-03-25,152,売掛金,10年3月25日伝票No474今井百貨店,13932999,0,44450760
17981,0001-20100331-118-2794-1-6049,1,2010-03-31,152,売掛金,10年3月31日伝票No481もみじデパート,7794519,0,52245279
18149,0001-20100331-141-2814-1-6089,1,2010-03-31,121,当座預金,手形満期　もみじデパート,0,18386056,33859223
,,,2010-03,,※※月計※※,手形満期　もみじデパート,31338107,45169923,33859223
